player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Joey Harrington,1011,QB,ATL,11,73.4,297,314,6.7,2.6,5,12,3.7,63.1,198,0,141,9.2,351,20,95,2,91.1,72.9,73.7,43.9,4,7,367,0,20.6,79.7,8.3,29,8,0,8,7,11,3.0,2031,6.5
Jay Cutler,2956,QB,DEN,11,72.7,289,300,8.9,2.6,7,16,5.0,64.7,194,0,100,7.6,324,16,124,10,41.0,76.3,77.1,49.3,3,10,341,0,16.0,89.6,4.9,16,8,1,0,13,16,4.7,2384,7.9
Ben Roethlisberger,1732,QB,PIT,11,75.3,275,288,10.3,3.16,2,22,7.4,67.0,193,0,130,6.8,335,14,134,25,29.5,90.4,89.2,62.8,2,9,346,0,26.9,106.0,10.4,35,12,2,7,23,19,5.5,2380,8.3
Matt Schaub,1811,QB,HST,10,77.3,256,284,9.0,2.74,5,12,4.0,66.5,189,0,109,4.5,307,9,99,13,64.0,80.5,82.1,40.0,3,9,321,3,13.8,87.4,4.9,15,8,4,16,9,8,2.5,2212,7.8
Jeff Garcia,550,QB,TB,11,81.5,249,283,7.9,2.9,10,11,3.7,64.7,183,0,142,9.9,318,20,106,30,70.9,88.6,91.0,45.1,3,3,332,4,10.6,97.4,4.7,15,20,4,17,12,3,0.9,2154,7.6
Marc Bulger,684,QB,SL,9,69.8,262,279,8.5,2.44,6,11,3.8,60.9,170,0,104,7.1,310,13,97,26,48.0,63.1,64.1,36.5,4,9,324,2,27.9,73.3,9.4,29,2,2,5,6,19,5.9,1789,6.4
Vince Young,2948,QB,TEN,10,68.9,254,264,9.6,3.01,5,9,3.3,61.4,162,0,103,7.4,319,13,108,31,83.4,66.0,66.2,61.0,1,13,325,3,16.5,65.3,5.3,17,38,1,3,5,20,6.2,1663,6.3
Damon Huard,215,QB,KC,9,70.6,245,262,8.7,2.45,6,12,4.4,62.2,163,0,87,5.8,290,10,88,16,90.7,71.4,72.3,38.5,1,11,303,2,28.7,74.7,8.6,25,3,0,10,8,11,3.6,1766,6.7
Kurt Warner,112,QB,ARZ,9,72.6,237,254,9.7,2.47,4,15,5.7,62.6,159,0,87,7.6,267,13,93,1,27.9,83.6,88.1,25.6,7,8,278,2,14.9,91.3,4.9,13,0,1,5,13,14,5.0,2016,7.9
Brian Griese,379,QB,CHI,6,72.9,207,219,8.1,2.43,3,14,6.2,62.1,136,0,69,9.9,234,15,69,6,45.1,69.8,76.0,24.5,3,10,242,4,18.8,77.3,5.6,13,2,2,4,9,10,4.1,1516,6.9
David Garrard,1109,QB,JAX,8,76.7,193,209,9.6,2.93,7,7,3.2,65.1,136,0,81,8.1,241,12,86,15,83.1,84.9,85.7,63.7,2,0,253,3,21.0,103.1,7.1,17,15,1,6,9,2,0.8,1626,7.8
