player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Ryan Glasgow,11893,DI,CIN,5,0,0,7,60.1,2,1,34,100.0,8.8,3,0,4.4,0,37,37,3,0,62.0,1,1,15,100.0,13.3,2,6.7,0,17,17,2
Carlos Watkins,11897,DI,HST,5,0,0,13,59.3,0,2,71,100.0,8.5,6,0,2.8,1,77,77,3,0,56.2,0,1,39,100.0,5.1,2,1.3,0,44,44,1
Grover Stewart,11899,DI,IND,9,0,0,14,58.6,1,6,153,97.0,5.2,8,1,3.6,2,169,164,9,0,64.5,1,5,47,100.0,10.6,5,8.5,1,53,53,7
Damontae Kazee,11904,CB,ATL,9,0,0,2,62.5,0,2,8,4.2,12.5,1,1,12.5,0,265,11,2,0,76.5,0,2,3,4.9,33.3,1,33.3,0,102,5,2
Desmond King II,11906,CB,LAC,10,0,2,27,87.9,2,2,16,6.5,18.8,3,4,31.3,3,276,18,7,0,90.6,0,1,5,5.4,60.0,3,70.0,3,130,7,4
Jayon Brown,11910,LB,TEN,8,0,0,31,64.9,2,6,42,15.4,14.3,6,0,11.9,1,293,45,9,0,65.4,2,5,30,25.6,13.3,4,11.7,0,129,33,7
Brian Hill,11911,HB,ATL,1,0,0,2,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Anthony Walker,11916,LB,IND,9,0,0,14,55.5,0,3,12,5.5,33.3,4,0,20.8,1,255,14,4,0,49.4,0,0,5,6.6,0.0,0,0.0,0,91,6,0
Matt Milano,11918,LB,BUF,8,0,0,4,65.6,3,5,44,14.3,11.4,5,2,11.4,1,308,44,9,0,63.7,2,1,17,14.8,17.6,3,14.7,1,115,17,4
Avery Moss,11922,ED,MIA,5,0,0,17,50.1,0,2,76,96.6,3.9,3,1,1.3,0,89,86,2,0,52.9,0,2,17,95.5,5.9,1,5.9,0,22,21,2
Marquel Lee,11923,LB,OAK,3,0,0,23,59.1,0,0,0,16.7,,0,0,,0,6,1,0,0,59.1,0,0,0,33.3,,0,,0,3,1,0
Davon Godchaux,11934,DI,MIA,9,1,0,17,53.6,2,5,173,97.9,4.6,8,0,2.6,1,191,187,8,1,59.3,1,1,54,100.0,5.6,3,3.7,1,58,58,3
Caleb Brantley,11939,DI,WAS,1,0,0,32,54.2,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,,0,0,0,,,0,,0,0,0,0
