player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Jared Goff,10635,QB,LA,8,2.68,2.62,3.21,5.72,332,26,79.9,139,145,5.8,1.94,4,4,2.6,73.8,107,45,3.6,148,44.6,4,53,,,,88.0,81.6,82.2,,79.7,,,,,2,3,155,6.7,107.9,2.0,3,0,0,0,9,2,1.3,1121,7.7,63.2,152,169,10.9,3.3,2,11,5.9,50.3,85,85,11.5,183,55.1,11,58,,,,53.9,60.4,83.2,,60.6,,54.3,,,7,4,202,10.6,68.8,4.9,9,5,0,8,2,13,6.4,1246,7.4
Matthew Stafford,4924,QB,DET,8,2.62,2.52,3.36,5.11,318,11,74.5,149,151,7.2,1.9,0,5,3.2,70.2,106,45,4.5,156,49.1,5,58,,,,88.3,80.4,82.3,,78.5,,,,,0,1,160,11.1,108.0,3.2,5,0,0,2,10,3,1.9,1018,6.7,63.6,129,138,16.2,3.36,1,20,13.4,58.7,81,75,1.2,160,50.3,1,63,,,,29.5,82.1,82.6,,78.9,,74.2,,,3,4,172,17.3,105.4,8.1,13,9,0,5,9,9,5.2,1481,10.7
Matt Ryan,4317,QB,ATL,7,2.68,2.57,3.15,5.08,313,2,83.0,135,138,6.5,1.95,3,2,1.3,80.4,111,39,0.9,143,45.7,1,55,,,,66.0,74.4,82.2,,73.1,,,,,0,4,156,12.8,107.0,3.5,5,0,0,0,8,5,3.2,1097,7.9,75.4,130,147,11.0,3.3,1,8,5.1,61.9,91,79,7.1,170,54.3,7,54,,,,49.8,68.2,82.8,,67.8,,59.2,,,4,4,183,17.7,88.6,8.2,14,9,0,12,7,7,3.8,1073,7.3
Daniel Jones,39395,QB,NYG,8,2.86,2.68,3.25,5.03,302,21,74.6,122,129,5.2,1.95,3,4,2.9,67.4,87,40,4.4,132,43.7,4,40,,,,87.3,75.5,81.8,,74.1,,,,,4,3,140,7.5,90.7,2.3,3,0,0,0,6,4,2.9,824,6.4,71.3,115,128,11.4,3.58,1,8,5.6,57.8,74,92,9.8,169,56.0,8,47,,,,22.0,53.6,82.9,,55.4,,50.9,,,5,5,188,25.0,74.7,13.6,23,18,0,7,5,15,8.0,852,6.7
Baker Mayfield,46518,QB,CLV,8,2.75,2.61,3.6,5.56,301,8,78.4,139,146,4.9,1.83,6,2,1.3,67.1,98,15,10.1,147,48.8,11,51,,,,88.3,77.2,82.3,,75.6,,,,,0,7,160,6.7,75.7,0.7,1,0,0,1,4,4,2.5,1001,6.9,59.1,110,124,12.8,3.64,3,8,5.8,49.2,61,88,6.2,153,50.8,4,37,,,,47.3,65.7,82.6,,63.5,,72.3,,,2,5,170,25.0,66.7,14.4,22,7,0,9,3,6,3.5,962,7.8
Joe Flacco,4332,QB,DEN,8,2.58,2.45,3.27,5.98,293,10,80.9,136,150,6.0,2.01,6,4,2.6,68.7,103,40,6.4,153,52.2,7,53,,,,66.3,74.4,82.3,,73.1,,,,,4,3,159,7.5,86.1,2.0,3,0,0,4,4,4,2.5,946,6.3,74.2,97,111,8.7,3.23,1,4,3.2,61.3,68,67,5.6,139,47.4,4,36,,,,23.1,54.8,82.2,,54.1,,65.5,,,2,2,154,34.3,84.5,16.5,23,5,0,11,2,6,3.9,876,7.9
Dak Prescott,10769,QB,DAL,8,2.75,2.63,3.76,4.88,293,9,86.8,129,132,7.0,1.94,1,5,3.5,78.8,104,27,7.1,133,45.4,8,52,,,,87.5,85.6,81.9,,83.3,,,,,1,2,144,3.7,110.4,0.8,1,0,0,1,7,2,1.4,1024,7.8,74.4,133,140,13.2,3.42,0,10,6.5,61.4,86,71,13.1,160,54.6,13,62,,,,89.0,77.0,82.7,,71.9,,87.5,,,1,6,175,12.7,94.8,5.6,9,11,0,6,8,9,5.1,1355,9.7
Josh Allen,46601,QB,BUF,8,3.05,2.72,4.4,4.74,291,4,81.3,107,111,4.4,1.83,2,0,0.0,70.3,78,16,10.3,113,38.8,9,32,,,,86.0,73.7,81.2,,72.4,,,,,0,2,118,12.5,90.1,1.8,2,0,0,2,4,0,0.0,666,6.0,67.6,111,130,14.2,3.82,1,4,2.9,53.8,70,93,6.7,178,61.2,5,58,,,,25.1,52.2,83.0,,52.3,,57.0,,,2,5,189,20.4,77.9,10.7,19,29,0,16,6,13,6.9,987,7.6
Lamar Jackson,46416,QB,BLT,8,3.0,2.67,3.94,5.41,283,3,78.0,118,125,6.6,1.98,4,4,3.1,68.0,85,23,7.6,126,44.5,7,44,,,,86.7,80.0,81.5,,78.3,,,,,1,3,129,4.3,90.4,0.8,1,0,0,2,5,1,0.8,849,6.8,70.6,102,112,12.7,3.85,3,7,5.7,60.7,68,73,5.6,156,55.1,4,58,,,,88.7,77.8,82.5,,68.5,,90.1,,,1,2,168,23.3,101.9,10.9,17,27,0,6,7,4,2.4,964,8.6
Kirk Cousins,7102,QB,MIN,9,2.96,2.86,3.34,5.21,277,18,83.3,96,99,5.3,1.98,3,1,0.9,76.8,76,23,5.0,100,36.1,4,36,,,,85.4,81.5,80.8,,79.6,,,,,0,0,107,4.3,112.0,1.0,1,0,0,0,5,0,0.0,691,7.0,79.1,134,154,11.0,3.51,0,15,9.0,63.6,98,89,7.5,177,63.9,8,63,,,,29.6,80.2,83.0,,81.6,,41.6,,,2,3,191,16.9,112.1,8.5,15,8,0,18,11,6,3.1,1528,9.9
Jacoby Brissett,10725,QB,IND,8,2.96,2.69,3.92,5.52,265,14,81.1,95,98,4.8,1.81,2,2,1.9,72.4,71,18,7.8,98,37.0,6,37,,,,85.2,56.4,80.7,,56.4,,,,,0,2,104,0.0,107.5,0.0,0,0,0,1,8,4,3.8,619,6.3,73.9,119,135,9.4,3.64,4,4,2.6,60.7,82,79,6.8,167,63.0,6,49,,,,46.4,63.5,82.9,,62.9,,61.3,,,1,1,185,15.2,96.2,7.2,12,20,0,11,6,5,2.7,1030,7.6
Derek Carr,8671,QB,OAK,8,2.62,2.52,3.46,6.0,264,23,87.6,121,129,5.2,1.92,4,5,3.8,74.4,96,20,9.4,130,49.2,10,47,,,,87.0,79.7,81.6,,77.9,,,,,0,4,133,5.0,102.1,0.8,1,0,0,4,7,5,3.8,1018,7.9,75.0,112,121,9.1,3.3,0,6,4.7,67.8,82,48,2.4,134,50.8,2,50,,,,34.5,83.9,81.8,,85.1,,39.0,,,0,0,141,16.7,108.4,6.0,8,5,0,9,6,3,2.1,966,8.0
Patrick Mahomes,11765,QB,KC,7,2.71,2.61,3.48,5.03,257,16,78.4,111,113,4.8,1.8,1,3,2.5,73.5,83,18,4.6,113,44.0,4,39,,,,86.2,70.7,81.3,,69.7,,,,,1,0,121,0.0,104.6,0.0,0,0,0,0,4,1,0.8,801,7.1,70.5,112,128,14.4,3.43,1,15,10.1,57.8,74,56,6.3,144,56.0,5,53,,,,29.2,81.0,82.5,,77.8,,73.8,,,4,1,167,14.3,120.5,5.6,8,8,0,11,11,6,3.6,1379,10.8
Jimmy Garoppolo,8697,QB,SF,8,2.45,2.36,3.24,4.98,244,28,83.3,132,137,3.6,1.85,3,1,0.7,75.9,104,21,5.5,139,57.0,6,55,,,,87.6,67.5,81.9,,66.7,,,,,0,4,145,9.5,102.6,1.4,2,0,0,2,9,5,3.4,904,6.6,74.1,85,89,11.7,3.27,0,5,5.2,62.9,56,43,11.1,104,42.6,7,41,,,,58.3,84.0,81.1,,80.8,,72.6,,,0,3,115,23.3,97.7,9.6,10,5,0,4,4,4,3.5,902,10.1
Mitchell Trubisky,11757,QB,CHI,7,2.55,2.42,3.6,4.62,239,6,78.0,118,122,4.8,1.87,2,3,2.3,70.5,86,28,6.5,122,51.0,6,32,,,,86.7,64.9,81.5,,64.3,,,,,0,1,129,0.0,84.6,0.0,0,0,0,2,2,1,0.8,636,5.2,63.2,87,93,11.9,3.27,0,6,5.9,53.8,50,57,9.1,116,48.5,5,32,,,,34.6,36.8,81.4,,37.9,,57.5,,,2,2,125,29.8,74.7,14.7,17,6,0,4,3,11,8.8,581,6.2
Teddy Bridgewater,8667,QB,NO,6,2.88,2.68,3.66,5.28,218,20,84.6,91,97,3.6,1.94,2,1,1.0,74.2,72,20,6.5,98,45.0,5,31,,,,85.1,63.8,2.3,,64.2,,,,,1,0,102,5.0,101.7,1.0,1,0,0,3,4,1,1.0,559,5.8,76.1,88,98,8.8,3.64,1,6,5.8,61.2,60,52,10.4,120,55.0,7,38,,,,62.6,77.1,81.6,,75.2,,67.4,,,2,2,132,19.2,96.1,8.3,10,12,0,7,5,4,3.0,811,8.3
Kyle Allen,26152,QB,CAR,6,2.67,2.56,3.44,4.7,213,5,74.7,95,99,6.2,1.87,3,1,1.0,66.7,66,14,7.0,101,47.4,5,36,,,,56.8,58.2,80.8,,58.1,,,,,0,3,106,14.3,85.2,2.0,2,0,0,1,5,4,3.8,555,5.6,65.1,83,92,13.4,3.38,1,8,8.4,54.3,50,55,7.4,112,52.6,4,36,,,,20.0,51.8,81.1,,51.6,,63.5,,,1,1,117,32.7,90.7,16.1,18,2,0,7,4,9,7.7,736,8.0
Case Keenum,7323,QB,WAS,7,2.56,2.55,2.8,3.25,201,32,79.6,103,104,5.0,1.89,0,3,2.7,75.0,78,18,4.9,107,53.2,4,37,,,,58.5,56.1,81.1,,56.2,,,,,1,2,116,16.7,97.6,2.8,3,0,0,0,4,4,3.4,705,6.8,71.2,73,82,10.6,3.36,1,4,4.5,58.5,48,49,7.7,93,46.3,4,32,,,,21.6,52.5,80.6,,51.0,,74.1,,,4,2,102,18.4,93.4,9.7,9,2,0,4,5,7,6.9,638,7.8
Ryan Fitzpatrick,2467,QB,MIA,7,2.73,2.58,3.21,4.56,200,17,79.3,87,91,7.2,2.02,3,2,2.1,72.5,66,24,4.3,94,47.0,3,36,,,,84.9,87.9,80.5,,85.5,,,,,1,1,100,12.5,112.1,3.2,3,0,0,0,7,0,0.0,622,6.8,61.3,75,82,14.6,3.39,3,2,2.2,50.0,41,51,10.9,105,52.5,5,31,,,,30.0,58.8,81.0,,56.0,,69.7,,,1,6,113,21.6,46.4,10.5,11,12,0,3,1,6,5.3,573,7.0
Marcus Mariota,9435,QB,TEN,6,2.92,2.68,3.19,5.07,199,31,74.6,67,70,5.5,1.91,1,2,2.7,64.3,45,12,10.0,76,38.2,5,26,,,,83.4,70.0,79.7,,69.0,,,,,0,0,80,50.0,112.4,7.9,6,0,0,2,6,1,1.3,473,6.8,71.8,78,87,9.5,3.57,0,3,3.2,56.3,49,59,12.5,122,61.3,7,25,,,,26.6,56.3,81.5,,58.5,,51.5,,,2,2,130,32.2,77.1,15.6,19,16,0,7,1,7,5.4,706,8.1
Sam Darnold,29048,QB,NYJ,5,2.49,2.43,3.14,4.3,195,22,81.7,93,97,5.2,1.81,2,3,2.9,75.3,73,25,3.9,102,52.3,3,29,,,,57.1,56.5,80.9,,56.5,,,,,0,5,110,20.0,74.1,4.9,5,0,0,2,2,6,5.5,556,5.7,62.5,64,76,12.2,3.31,1,4,4.6,48.7,37,57,7.5,91,46.7,3,23,,,,55.2,43.3,2.9,,44.8,,60.2,,,2,4,103,22.8,66.8,14.3,13,2,0,9,4,6,5.8,521,6.9
Mason Rudolph,46569,QB,PIT,6,2.78,2.67,4.08,4.43,177,25,87.3,71,74,3.5,1.88,0,1,1.3,79.7,59,11,4.8,74,41.8,3,26,,,,83.1,74.3,79.5,,73.0,,,,,2,1,76,0.0,106.9,0.0,0,0,0,1,4,0,0.0,494,6.7,66.3,80,91,11.5,3.42,1,3,3.0,54.9,50,45,5.7,103,58.2,3,27,,,,25.3,38.3,81.0,,38.3,,63.3,,,6,3,113,13.3,83.3,5.8,6,6,0,4,6,9,8.0,594,6.5
Ryan Tannehill,7014,QB,TEN,4,2.78,2.65,3.15,4.82,133,31,77.6,58,58,7.0,2.05,0,4,6.6,75.9,44,10,2.2,60,45.1,1,23,,,,39.9,77.8,78.9,,76.2,,,,,0,2,64,20.0,111.6,3.3,2,0,0,0,5,2,3.1,444,7.7,72.7,55,57,11.3,3.38,0,4,6.1,70.2,40,31,0.0,73,54.9,0,28,,,,48.4,78.3,79.8,,75.9,,68.0,,,1,2,82,35.5,91.0,15.1,11,5,0,1,1,2,2.4,536,9.4
Josh Rosen,35460,QB,MIA,5,2.66,2.44,3.83,4.7,128,17,72.4,58,63,5.4,1.84,4,1,1.5,58.7,37,14,11.9,64,50.0,5,12,,,,82.4,55.2,79.2,,55.4,,,,,0,2,69,7.1,55.0,1.6,1,0,0,1,0,3,4.3,260,4.1,55.8,43,46,12.6,3.49,2,3,6.0,45.7,21,37,12.5,64,50.0,3,14,,,,42.1,40.1,79.1,,43.0,,48.2,,,1,3,68,40.5,48.0,23.4,15,3,0,0,1,6,8.8,307,6.7
Matt Moore,4018,QB,KC,4,2.48,2.38,3.0,7.1,99,16,69.2,52,55,3.5,1.94,3,0,0.0,61.8,34,12,5.6,57,57.6,2,20,,,,23.1,43.9,78.6,,44.9,,,,,0,0,59,16.7,79.3,3.5,2,0,0,0,1,2,3.4,259,4.7,75.8,33,35,13.7,3.21,0,3,8.3,71.4,25,16,0.0,42,42.4,0,15,,,,79.6,84.0,77.5,,83.0,,58.3,,,0,0,44,37.5,137.8,14.3,6,1,0,2,3,1,2.3,400,11.4
Cam Newton,6153,QB,CAR,2,2.27,2.25,2.66,4.6,95,5,70.7,58,61,8.0,1.9,1,0,0.0,62.3,38,9,7.3,62,65.3,3,19,,,,81.8,54.1,78.8,,54.4,,,,,2,1,63,11.1,71.8,1.6,1,0,0,0,0,2,3.2,360,5.9,54.5,22,27,13.5,3.07,0,0,0.0,44.4,12,18,0.0,32,33.7,0,10,,,,78.1,55.0,76.6,,55.8,,58.3,,,3,0,34,22.2,71.8,12.5,4,1,0,2,0,2,5.9,212,7.9
Eli Manning,1722,QB,NYG,2,2.59,2.53,4.2,4.7,92,21,78.4,51,54,5.2,1.99,2,1,1.8,72.2,39,6,2.5,54,58.7,1,19,,,,81.0,60.9,78.4,,60.6,,,,,0,1,56,0.0,83.1,0.0,0,0,0,1,0,2,3.6,370,6.9,69.2,26,35,13.8,3.44,1,2,5.6,48.6,17,13,5.6,38,41.3,1,10,,,,20.9,62.8,77.1,,63.2,,58.3,,,3,1,39,15.4,71.8,5.3,2,1,0,5,2,3,7.7,186,5.3
Drew Brees,802,QB,NO,3,2.45,2.44,2.9,,90,20,84.0,50,50,4.8,1.88,0,0,0.0,80.0,40,8,4.8,50,55.6,2,21,,,,80.5,85.7,78.0,,83.5,,,,,0,2,51,0.0,101.2,0.0,0,0,0,0,3,1,2.0,374,7.5,85.7,35,39,9.9,3.16,0,0,0.0,74.4,29,16,3.3,40,44.4,1,20,,,,79.3,88.1,77.3,,85.7,,,,,1,1,42,6.3,113.9,2.5,1,0,0,3,2,1,2.4,407,10.4
Luke Falk,46586,QB,NYJ,3,2.62,2.49,3.39,,90,22,83.8,37,39,3.0,1.85,2,0,0.0,71.8,28,8,9.7,40,44.4,3,8,,,,29.5,48.0,77.6,,48.6,,,,,0,1,45,12.5,74.5,2.5,1,0,0,0,0,3,6.7,218,5.6,66.7,30,34,9.0,3.31,1,0,0.0,55.9,19,35,5.0,49,54.4,1,7,,,,31.2,44.7,78.0,,45.6,,,,,0,2,51,42.9,48.4,30.6,15,0,0,3,0,2,3.9,198,5.8
Chase Daniel,5214,QB,CHI,2,2.52,2.46,2.88,4.7,68,6,79.4,34,35,3.5,1.9,0,2,5.6,77.1,27,9,0.0,35,51.5,0,10,,,,78.4,75.8,76.8,,74.4,,,,,0,0,36,0.0,99.2,0.0,0,0,0,1,1,1,2.8,196,5.6,76.0,25,25,11.3,3.27,0,2,6.9,68.0,17,15,10.5,32,47.1,2,12,,,,78.4,67.1,76.8,,69.3,,50.3,,,0,2,36,33.3,90.4,15.6,5,2,0,0,2,2,5.6,230,9.2
Ben Roethlisberger,1732,QB,PIT,2,2.55,2.39,6.05,5.9,65,25,71.8,39,40,8.2,1.82,1,1,2.2,65.0,26,6,7.1,40,61.5,2,11,,,,79.8,56.6,77.6,,56.7,,,,,0,1,45,0.0,74.8,0.0,0,0,0,0,0,2,4.4,278,7.0,57.1,21,22,11.4,3.72,1,0,0.0,40.9,9,10,25.0,25,38.5,3,3,,,,25.7,42.3,76.0,,43.9,,58.3,,,0,0,29,20.0,50.0,8.0,2,1,0,0,0,1,3.4,73,3.3
Matt Schaub,1811,QB,ATL,2,2.33,2.3,3.3,,58,2,81.1,37,38,6.4,1.97,0,0,0.0,78.9,30,7,0.0,38,65.5,0,19,,,,79.3,59.7,77.3,,59.5,,,,,0,1,42,0.0,108.6,0.0,0,0,0,1,2,2,4.8,322,8.5,88.2,17,18,9.8,3.02,0,0,0.0,83.3,15,8,0.0,20,34.5,0,9,,,,23.1,74.3,74.7,,73.0,,,,,1,0,20,25.0,113.7,10.0,2,0,0,0,0,1,5.0,203,11.3
Dwayne Haskins,41897,QB,WAS,3,3.15,2.75,4.26,4.82,57,32,76.0,25,26,4.6,1.97,1,0,0.0,69.2,18,3,5.3,27,47.4,1,10,,,,76.8,60.4,75.8,,60.2,,,,,0,2,27,33.3,59.6,3.7,1,0,0,0,0,0,0.0,199,7.7,52.9,17,18,9.6,4.21,0,0,0.0,50.0,9,19,0.0,30,52.6,0,5,,,,77.6,34.5,76.3,,29.2,,71.2,,,0,2,31,36.8,23.8,23.3,7,5,0,1,0,2,6.5,85,4.7
Colt McCoy,5609,QB,WAS,1,2.76,2.28,3.85,6.05,35,32,72.2,18,19,6.4,2.0,1,0,0.0,63.2,12,7,7.7,21,60.0,1,3,,,,23.7,38.1,75.0,,39.5,,,,,0,1,22,28.6,48.6,9.5,2,0,0,0,0,2,9.1,72,3.8,85.7,7,8,7.6,3.9,0,1,11.1,75.0,6,7,0.0,14,40.0,0,3,,,,21.2,57.7,73.7,,55.5,,63.4,,,0,0,15,57.1,89.1,28.6,4,2,0,1,0,1,6.7,47,5.9
Devlin Hodges,29838,QB,PIT,2,2.65,2.49,,5.05,31,25,93.8,16,16,2.3,1.84,0,0,0.0,87.5,14,4,6.7,16,51.6,1,6,,,,74.8,67.2,74.5,,66.4,,,,,0,0,19,0.0,117.7,0.0,0,0,0,0,1,0,0.0,116,7.3,72.7,11,13,9.2,3.52,0,0,0.0,61.5,8,6,0.0,15,48.4,0,7,,,,74.2,51.4,74.1,,49.3,,64.2,,,0,1,17,0.0,48.2,0.0,0,2,0,2,0,2,11.8,84,6.5
Brian Hoyer,5277,QB,IND,1,2.53,2.45,2.65,4.3,31,14,92.3,13,14,3.9,1.99,0,1,6.7,71.4,10,7,16.7,15,48.4,2,4,,,,73.9,75.9,73.9,,74.5,,,,,1,0,16,14.3,110.7,6.7,1,0,0,0,1,0,0.0,85,6.1,81.8,11,12,9.7,3.04,0,2,14.3,58.3,7,11,22.2,16,51.6,2,6,,,,74.2,79.1,74.3,,81.2,,55.7,,,0,1,18,27.3,84.4,18.8,3,1,0,1,2,1,5.6,83,6.9
