player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Jayon Brown,11910,LB,TEN,8,5,4.5,0,0,31,73.7,74.8,84.7,64.9,67.6,69.3,3.7,1,0,129,139,8.5,11,21
Nate Hairston,11913,CB,NYJ,5,0,6.2,0,0,22,49.1,53.9,85.3,,73.1,40.5,37.5,3,3,100,104,2.0,2,5
Anthony Walker,11916,LB,IND,10,15,1.4,0,0,14,67.2,56.0,83.5,54.9,42.1,42.3,26.2,11,0,186,193,8.1,15,16
Matt Milano,11918,LB,BUF,9,9,3.5,0,0,4,66.2,59.2,54.8,67.7,47.2,53.8,16.2,6,2,192,202,7.8,15,22
Jamal Agnew,11920,CB,DET,2,0,27.0,0,0,11,52.0,54.4,74.2,,65.3,52.1,0.0,0,0,7,7,0.0,0,1
Avery Moss,11922,ED,MIA,6,5,2.9,0,0,17,42.9,50.3,84.8,47.5,58.0,55.7,12.5,2,1,129,135,5.4,7,9
Marquel Lee,11923,LB,OAK,3,1,,0,0,23,44.7,29.2,69.8,59.1,32.9,71.4,0.0,0,0,12,12,0.0,0,0
Davon Godchaux,11934,DI,MIA,10,10,3.0,0,0,17,50.2,60.7,86.1,53.1,64.2,39.0,9.8,4,0,229,240,7.4,17,27
Caleb Brantley,11939,DI,WAS,1,0,,0,0,32,,25.8,72.0,54.2,27.9,,,0,0,4,4,0.0,0,0
Nathan Gerry,11940,LB,PHI,10,4,2.7,0,0,24,62.8,60.7,82.2,53.7,58.6,45.9,14.8,4,0,162,171,9.9,16,19
Chuck Clark,11941,S,BLT,9,4,3.9,0,0,3,80.6,73.5,83.4,52.6,60.4,71.2,14.3,3,0,139,141,2.9,4,14
Tanzel Smart,11944,DI,LA,8,1,5.0,0,0,26,,53.5,30.5,53.2,61.8,71.5,0.0,0,1,36,36,8.3,3,4
Xavier Woods,11946,S,DAL,9,8,12.1,0,0,9,81.3,75.6,16.4,,59.2,54.2,15.4,4,2,198,209,1.0,2,14
Jordan Evans,11947,LB,CIN,6,0,,0,0,7,59.6,53.7,78.0,58.8,49.4,70.5,,0,0,23,23,0.0,0,0
Vincent Taylor,11949,DI,BUF,1,0,2.0,0,0,4,62.7,83.5,72.2,57.4,70.5,69.0,0.0,0,0,5,5,20.0,1,1
Al-Quadin Muhammad,11951,ED,IND,10,2,3.4,0,1,14,67.2,67.0,89.0,57.7,63.5,29.5,25.0,3,0,118,122,5.1,6,7
D.J. Jones,11953,DI,SF,8,0,4.5,0,0,28,60.0,67.1,82.9,64.9,62.9,59.1,0.0,0,0,95,99,6.3,6,11
Brandon Wilson,11962,S,CIN,7,3,5.8,0,1,7,48.9,39.5,77.8,52.1,33.2,47.1,25.0,3,0,49,52,4.1,2,6
Rudy Ford,11963,S,PHI,1,1,9.0,0,0,24,62.9,67.4,72.4,,62.1,78.2,0.0,0,0,3,3,33.3,1,1
Ifeadi Odenigbo,11975,ED,MIN,11,0,0.7,0,0,18,60.8,72.9,84.0,69.1,65.5,40.2,0.0,0,0,33,33,9.1,3,3
Isaac Rochell,11980,ED,LAC,11,6,3.0,0,0,27,60.0,53.3,58.4,48.6,65.2,29.6,18.2,2,1,70,73,1.4,1,3
Joey Ivie,11984,DI,KC,5,2,,0,0,16,44.6,36.1,80.0,53.8,42.4,69.0,0.0,0,0,25,26,0.0,0,0
Elijah Lee,11987,LB,SF,2,0,3.5,0,0,28,76.5,70.3,72.2,,57.3,34.0,33.3,1,0,17,17,5.9,1,2
Treyvon Hester,11999,DI,WAS,7,4,0.0,0,0,32,,81.3,79.0,83.5,68.8,72.3,0.0,0,0,45,48,2.2,1,1
Ryan Lewis,12017,CB,MIA,5,0,1.0,0,0,17,34.1,41.2,81.2,,74.9,66.2,0.0,0,1,68,74,2.9,2,2
Michael Davis,12040,S,LAC,9,0,2.3,0,0,27,54.4,54.9,86.1,58.6,54.5,29.6,27.3,3,4,201,209,3.5,7,8
Bryan Cox Jr.,12092,ED,CLV,1,0,,0,0,8,60.0,65.0,74.2,62.4,60.3,69.6,,0,0,4,4,0.0,0,0
Josh Tupou,12093,DI,CIN,10,7,1.4,0,1,7,55.2,74.3,85.3,52.8,78.2,62.4,4.0,1,0,182,186,7.7,14,17
Isaiah Irving,12171,ED,CHI,7,1,4.3,0,0,6,44.5,56.0,15.2,64.2,64.6,59.7,16.7,1,1,34,35,2.9,1,4
Adam Butler,12214,DI,NE,10,0,1.2,0,0,19,52.9,57.8,84.0,63.0,52.7,64.5,0.0,0,1,67,70,13.4,9,9
Devaroe Lawrence,12222,DI,CLV,10,2,0.8,0,0,8,61.6,42.0,3.3,54.2,46.5,52.1,14.3,1,3,73,79,2.7,2,4
Arthur Maulet,12224,CB,NYJ,4,1,,0,0,22,65.7,64.9,81.4,60.0,55.6,82.1,0.0,0,0,33,34,0.0,0,0
Fadol Brown,12246,DI,GB,3,0,,0,0,12,,66.2,74.4,61.3,64.2,,,0,0,9,9,0.0,0,0
Jamal Perry,12259,CB,MIA,9,3,14.6,1,0,17,44.0,47.6,84.8,58.9,68.6,57.5,9.1,1,3,111,115,0.0,0,7
Zach Pascal,12303,WR,IND,1,0,-15.0,1,0,14,,60.7,60.0,,60.0,70.6,0.0,0,1,1,1,100.0,1,1
Joe Jones,12321,LB,DEN,1,0,,0,0,10,,53.7,67.5,,58.0,,,0,0,3,3,0.0,0,0
Sione Takitaki,12666,LB,CLV,2,0,2.0,0,0,8,63.6,80.3,73.6,58.5,81.6,75.7,0.0,0,0,7,8,28.6,2,2
Ken Webster,12955,CB,MIA,6,2,11.0,0,0,17,55.7,59.4,81.2,,70.3,82.6,0.0,0,0,60,62,3.3,2,3
Sam Beal,13822,CB,NYG,1,0,3.0,0,0,21,65.6,69.3,69.3,,64.5,75.5,0.0,0,0,7,7,14.3,1,1
Alexander Johnson,15267,LB,DEN,6,9,2.8,0,0,10,90.3,91.9,32.6,66.7,91.8,80.5,7.7,2,1,114,116,10.5,12,15
