player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Antonio Callaway,48101,WR,CLV,4,15,0,8,0,-1.0,1,100.0,,0,0,0.0,0,1,0,84.5,73.2,0,41,0.0,0,17,2,94.1,16,118.8,2,13.3,0,38,40,20.0,19.0,2.38,7.5,0,50.0,,0,0,50.0,1,1,0,31.0,51.4,1,10,0.0,0,24,1,95.8,23,25.0,2,13.3,0,10,0,0.0,10.0,0.43
Mark Ingram II,6180,HB,BLT,8,15,0,3,0,-4.0,0,100.0,,0,0,0.0,0,1,0,88.7,90.1,0,11,0.0,0,9,3,100.0,9,100.0,3,20.0,0,24,36,12.0,8.0,2.67,,0,,,0,0,,0,0,0,87.6,90.8,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0
Seth Roberts,9079,WR,BLT,8,15,0,3,0,,0,,,0,0,,0,0,0,,46.6,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,25.0,0,100.0,100.0,1,1,0.0,0,1,0,83.2,59.2,0,25,0.0,0,13,1,84.6,11,118.8,1,6.7,0,25,0,0.0,25.0,2.27
Allen Hurns,8931,WR,MIA,7,15,0,17,0,-3.0,0,100.0,,0,0,0.0,0,1,0,78.7,72.6,0,8,0.0,0,9,1,100.0,9,100.0,1,6.7,0,8,11,11.0,8.0,0.89,13.6,0,69.2,0.0,0,2,10.0,1,5,0,60.3,58.5,0,27,0.0,0,107,9,95.3,102,98.2,13,86.7,0,120,32,3.6,13.3,1.18
Miles Boykin,48209,WR,BLT,8,14,0,3,0,,0,,,0,0,,0,0,0,,46.5,0,0,0.0,0,8,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0,13.0,0,100.0,,0,0,0.0,0,1,0,56.7,54.0,0,9,0.0,0,12,1,91.7,11,143.8,1,7.1,1,9,0,0.0,9.0,0.82
Damion Ratley,48182,WR,CLV,5,14,0,8,0,,0,,,0,0,,0,0,0,,42.1,0,0,0.0,0,20,0,100.0,20,0.0,0,0.0,0,0,0,,,0.0,22.3,0,0.0,0.0,0,3,,0,0,0,79.4,61.6,1,0,0.0,0,29,0,96.6,28,0.0,4,28.6,0,0,0,,,0.0
Justin Hardy,9540,WR,ATL,8,14,0,2,0,,0,,,0,0,,0,0,0,,48.5,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,1.3,0,100.0,,0,0,0.0,0,2,0,79.4,63.0,0,23,0.0,0,17,4,88.2,15,115.6,4,28.6,0,47,42,10.5,11.8,3.13
Damion Willis,61737,WR,CIN,6,14,0,7,0,,0,,,0,0,,0,0,0,,44.5,0,0,0.0,0,18,0,94.4,17,0.0,0,0.0,0,0,0,,,0.0,9.2,0,60.0,0.0,0,1,0.0,0,1,0,33.8,51.9,0,12,0.0,0,52,3,92.3,48,73.8,5,35.7,0,26,5,1.7,8.7,0.54
Demetrius Harris,8524,TE,CLV,8,14,0,8,0,-3.0,3,100.0,,0,0,0.0,0,0,0,84.5,52.0,0,9,24.2,8,33,2,69.7,23,85.4,2,14.3,0,9,15,7.5,4.5,0.39,18.8,3,50.0,0.0,0,2,0.0,0,1,0,79.4,60.2,0,9,0.0,0,27,2,88.9,24,95.8,4,28.6,1,11,10,5.0,5.5,0.46
Donte Moncrief,8725,WR,PIT,5,14,0,25,0,,0,,,0,0,,0,0,0,,46.1,0,0,0.0,0,6,0,66.7,4,0.0,0,0.0,0,0,0,,,0.0,9.8,0,20.0,0.0,0,2,0.0,0,0,0,28.3,47.5,0,3,0.0,0,28,1,89.3,25,39.6,5,35.7,0,3,0,0.0,3.0,0.12
