player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Hale Hentges,47150,TE,WAS,7,5,0,32,-5.0,0,0.0,,0,0,,0,0,0,,51.1,0,0,27.3,3,11,0,63.6,7,39.6,1,20.0,0,0,0,,,0.0,0,0.7,0,66.7,100.0,1,1,33.3,1,1,0,29.9,49.0,0,13,15.0,3,20,2,85.0,17,75.7,3,60.0,0,13,17,8.5,6.5,0.76
Andre Roberts,5612,WR,BUF,10,5,0,4,26.0,0,0.0,,0,0,,0,0,0,,50.9,0,0,0.0,0,19,0,89.5,17,39.6,2,40.0,0,0,0,,,0.0,0,10.3,0,66.7,,0,0,33.3,1,0,0,29.9,48.0,0,7,0.0,0,12,2,91.7,11,75.7,3,60.0,0,13,2,1.0,6.5,1.18
Stephen Carlson,94365,TE,CLV,5,5,0,8,,0,,,0,0,,0,0,0,,46.5,0,0,7.7,1,13,0,84.6,11,0.0,0,0.0,0,0,0,,,0.0,0,11.7,2,66.7,100.0,1,1,0.0,0,1,0,68.3,68.5,0,21,25.0,6,24,2,75.0,18,96.5,3,60.0,0,28,14,7.0,14.0,1.56
Tyler Conklin,47124,TE,MIN,11,5,0,18,5.0,0,100.0,100.0,1,1,0.0,0,0,0,64.7,48.8,0,5,28.6,6,21,1,71.4,15,87.5,1,20.0,0,5,0,0.0,5.0,0.33,0,10.7,0,66.7,100.0,1,1,0.0,0,0,0,68.3,47.5,0,8,34.2,13,38,2,63.2,24,72.9,3,60.0,0,11,1,0.5,5.5,0.46
Lee Smith,6311,TE,BUF,11,5,0,4,9.0,0,100.0,100.0,1,1,0.0,0,2,0,68.3,73.0,0,8,56.5,26,46,2,39.1,18,139.6,2,40.0,1,16,1,0.5,8.0,0.89,0,6.3,0,66.7,,0,0,0.0,0,0,0,68.3,57.7,0,9,43.5,20,46,2,52.2,24,78.5,3,60.0,0,15,8,4.0,7.5,0.63
Trey Edmunds,38329,HB,PIT,5,5,0,25,1.0,0,100.0,,0,0,0.0,0,1,0,64.7,66.8,0,6,42.1,8,19,1,42.1,8,91.7,1,20.0,0,6,5,5.0,6.0,0.75,0,0.5,1,100.0,,0,0,0.0,0,1,0,72.1,65.0,0,11,20.6,7,34,4,79.4,27,103.1,4,80.0,0,35,33,8.3,8.8,1.3
Benny Snell Jr.,45954,HB,PIT,6,4,0,25,-1.0,0,100.0,,0,0,0.0,0,1,0,68.3,85.0,0,14,14.3,1,7,1,71.4,5,118.8,1,25.0,0,14,15,15.0,14.0,2.8,0,-0.3,0,66.7,,0,0,0.0,0,0,0,68.3,57.6,0,5,9.1,2,22,2,81.8,18,70.1,3,75.0,0,9,6,3.0,4.5,0.5
Jon Hilliman,45826,HB,NYG,3,4,0,21,-7.0,0,100.0,,0,0,0.0,0,0,1,64.7,28.0,0,-8,35.3,12,34,1,61.8,21,79.2,1,25.0,0,-8,-1,-1.0,-8.0,-0.38,0,5.5,0,50.0,0.0,0,1,0.0,0,0,0,64.7,53.6,0,5,18.5,5,27,1,81.5,22,56.3,2,50.0,0,5,1,1.0,5.0,0.23
Jason Moore,91472,WR,LAC,4,4,0,27,22.0,0,0.0,,0,0,,0,0,0,,55.1,0,0,0.0,0,7,0,100.0,7,39.6,1,25.0,0,0,0,,,0.0,0,25.7,0,66.7,,0,0,0.0,0,2,0,68.3,73.4,0,32,0.0,0,13,2,61.5,8,109.7,3,75.0,0,43,6,3.0,21.5,5.38
Mike Thomas,10840,WR,LA,5,4,0,26,0.0,0,100.0,,0,0,0.0,0,0,0,64.7,70.6,0,9,0.0,0,5,1,100.0,5,104.2,1,25.0,0,9,9,9.0,9.0,1.8,0,15.7,0,0.0,0.0,0,1,,0,0,0,,47.2,0,0,0.0,0,11,0,100.0,11,39.6,3,75.0,0,0,0,,,0.0
DeAndre Carter,9859,WR,HST,6,4,0,13,0.0,0,100.0,,0,0,0.0,0,1,0,68.3,61.2,0,8,0.0,0,19,2,89.5,17,81.3,2,50.0,0,7,7,3.5,3.5,0.41,0,21.0,0,50.0,,0,0,50.0,1,1,0,28.8,54.4,0,46,0.0,0,40,1,92.5,37,95.8,2,50.0,0,46,21,21.0,46.0,1.24
