player_name,primary_tour,last_played,playing_this_week,last_5_finishes,trend_index,baseline_index
"Janewattananond, Jazz",EURO,"Jun 12, 2022",no,T27 - CUT - T31 - T15 - T20,-0.35107549999999865,0.4750717222222238
"Martin, Ben",PGA,"Jun 12, 2022",no,CUT - CUT - T51 - 10 - T53,-0.355104,0.5879462985074628
"Haas, Bill",PGA,"Jun 12, 2022",no,T59 - CUT - T65 - T27 - CUT,-0.3629514999999997,0.008002377551020512
"Knox, Russell",PGA,"Jun 5, 2022",no,CUT - T35 - CUT - T15 - CUT,-0.36519299999999977,-0.6208412474226801
"Yu, Kevin",KFT,"Jun 12, 2022",web,2 - T67 - T13 - T52 - T44,-0.37428550000000016,0.35106426744186037
"Fischer, Zack",KFT,"Jun 12, 2022",web,T3 - CUT - CUT - CUT - T7,-0.3777259999999999,0.2756103043478263
"Vick, Travis",AM,"May 30, 2022",pga,5 - T7 - T20 - 2 - T37,-0.3830110000000001,0.5134606666666663
"Streelman, Kevin",PGA,"Jun 5, 2022",no,T67 - CUT - T41 - CUT - CUT,-0.3894125000000004,-0.608074782608696
"Burmester, Dean",EURO,"Jun 12, 2022",no,T40 - CUT - CUT - CUT - CUT,-0.3980154999999998,-0.45977851075268805
"Percy, Cameron",PGA,"Jun 12, 2022",no,CUT - CUT - CUT - CUT - T59,-0.40882649999999965,0.023869565573770846
"Coetzee, George",EURO,"May 29, 2022",no,T17 - 3 - T36 - CUT - CUT,-0.4146265000000004,0.04794770454545405
"Ortiz, Carlos",PGA,"Jun 12, 2022",no,T38 - CUT - CUT - T64 - T46,-0.41740249999999984,-0.2703202108433733
"Snedeker, Brandt",PGA,"Jun 12, 2022",no,CUT - CUT - T57 - T60 - T48,-0.41858050000000036,-0.045995012195122253
"Taylor, Vaughn",PGA,"Jun 12, 2022",no,CUT - WD - CUT - T73 - T48,-0.4352020000000002,0.08401366666666643
"Meissner, Mac",KFT,"Jun 12, 2022",web,T22 - CUT - T5 - T25 - T44,-0.4360660000000004,0.3256181025641022
"McAllister, Logan",AM,"Jun 12, 2022",web,T9 - T6 - 4 - T25 - CUT,-0.4374069999999999,0.1340283061224492
"Hodges, Lee",PGA,"Jun 12, 2022",no,T51 - CUT - CUT - T35 - T48,-0.4375230000000004,-0.20321388235294163
"Garnett, Brice",PGA,"Jun 12, 2022",no,CUT - T33 - CUT - T15 - CUT,-0.4391889999999997,-0.2159514999999998
"Schwab, Matthias",PGA,"Jun 12, 2022",no,T32 - CUT - T59 - T57 - CUT,-0.4422149999999999,-0.5251959999999999
"Lawrence, Thriston",EURO,"Jun 12, 2022",no,T36 - T58 - CUT - T18 - CUT,-0.4517730000000002,0.061266066666666674
"Kraft, Kelly",PGA,"Jun 12, 2022",no,CUT - T15 - T49 - CUT - T13,-0.4553679999999999,0.14585750000000008
"Tarrio Ben, Santiago",EURO,"Jun 12, 2022",no,T21 - T33 - CUT - T59 - T4,-0.456477,-0.06560321359223314
"Ryder, Sam",PGA,"Jun 12, 2022",no,3 - CUT - CUT - CUT - CUT,-0.4632989999999996,-0.4694783999999996
"Li, Haotong",EURO,"Jun 5, 2022",no,6 - T26 - CUT - T37 - T18,-0.47192550000000005,0.5304612187500002
"Nemecz, Lukas",EURO,"Jun 5, 2022",no,T26 - CUT - T58 - CUT - T29,-0.47243299999999994,0.2901002075471701
"Blaum, Ryan",KFT,"Jun 5, 2022",web,T29 - CUT - W/D - CUT - T47,-0.48066049999999994,0.9968376250000004
"Hammer, Cole",AM,"May 30, 2022",web,13 - T7 - T3 - T40 - T20,-0.48301099999999897,0.836084918367348
"Kruyswijk, Jacques",EURO,"Jun 12, 2022",no,T10 - T27 - CUT - CUT - T13,-0.4866590000000011,0.24756766666666558
"Brun, Julien",EURO,"Jun 12, 2022",no,T42 - T8 - CUT - T34 - CUT,-0.492626,-0.2607711923076923
"Forsstrom, Simon",NGL,"May 22, 2022",no,T13 - T2 - T18 - T3 - 1,-0.4942889999999995,1.9855096206896563
"Moore, Ryan",PGA,"Jun 12, 2022",no,CUT - T42 - T49 - 70 - T35,-0.49793399999999977,-0.13081733333333323
"Pettit, Turk",KFT,"Jun 11, 2022",no,T31 - T40 - CUT - T6 - 45,-0.5087705000000001,0.2977005344827587
"Samooja, Kalle",EURO,"Jun 5, 2022",pga,T38 - CUT - CUT - CUT - 1,-0.5137424999999999,0.33766825949367096
"Strydom, Ockie",AFR,"Jun 12, 2022",no,9 - 2 - T30 - T5 - T11,-0.5174625,0.6403150609756098
"McGirt, William",PGA,"Jun 5, 2022",no,CUT - T48 - CUT - CUT - CUT,-0.5192244999999998,-0.0490080416666665
"Higa, Kazuki",JPN,"Jun 12, 2022",no,T37 - T4 - T26 - 1 - T22,-0.5225824999999993,0.27344504901960864
"Del Solar, Cristobal",SAM,"Jun 12, 2022",no,T3 - 6 - T21 - 1 - T22,-0.5238615000000004,0.9562952307692305
"Putnam, Andrew",PGA,"Jun 5, 2022",pga,CUT - CUT - CUT - T15 - CUT,-0.5268754999999992,-0.675790277777777
"Ritchie, JC",EURO,"Jun 11, 2022",no,T64 - T13 - T24 - CUT - T17,-0.5298579999999998,0.09837400000000018
"Fichardt, Darren",EURO,"Jun 12, 2022",no,T26 - CUT - T37 - T40 - T37,-0.5329280000000011,0.7374381627906968
"Chassart, Adrien Dumont de",AM,"May 18, 2022",pga,T16 - 1 - T3 - 2 - T15,-0.5410310000000014,0.7526255454545441
"Lamprecht, Christo",AM,"May 30, 2022",no,T8 - T4 - T3 - T29 - T32,-0.5472099999999994,0.7940313725490206
"Campillo, Jorge",EURO,"Jun 5, 2022",no,T33 - CUT - T15 - T21 - CUT,-0.5476710000000005,0.14591178846153785
"Crick, Brandon",KFT,"Jun 12, 2022",web,CUT - CUT - T12 - T11 - T25,-0.556608499999999,0.49474136486486664
"Rey, Alejandro Del",CHA,"Jun 12, 2022",no,T60 - T37 - T10 - T5 - T8,-0.5589275000000015,1.5888078012048181
"Ramsay, Richie",EURO,"Jun 5, 2022",no,CUT - T3 - T15 - T43 - W/D,-0.5625914999999997,-0.2143466162790693
"Noh, Seung-Yul",PGA,"Jun 12, 2022",no,CUT - CUT - CUT - CUT - T35,-0.5729100000000001,0.17644838709677424
"Velo, Kevin",SAM,"Jun 12, 2022",no,T14 - T38 - 4 - T4 - T3,-0.5738614999999995,0.7280493823529416
"Kieffer, Maximilian",EURO,"Jun 12, 2022",no,CUT - T40 - T14 - CUT - T7,-0.5772205000000001,0.3219908253012048
