player_name,sample_size,baseline,major_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Hovland, Viktor",150,1.430,0.037,24,0.026,-0.010,0.007,-0.134,-0.040,0.022,-0.019,0.030,0.032,1.349,2.878,"U.S. Open","The Country Club"
"Young, Cameron",150,1.016,-0.007,25,0.025,0.073,0.049,0.174,-0.040,0.042,-0.005,0.015,0.052,1.341,2.900,"U.S. Open","The Country Club"
"Johnson, Dustin",150,1.209,0.070,37,-0.017,0.062,-0.062,-0.010,-0.040,0.033,0.017,0.029,0.079,1.291,2.917,"U.S. Open","The Country Club"
"Pereira, Mito",150,1.238,0.023,27,0.018,0.007,-0.038,0.017,-0.040,0.011,-0.025,0.028,0.014,1.239,2.865,"U.S. Open","The Country Club"
"Wise, Aaron",150,1.209,0.019,25,0.022,0.046,-0.016,-0.052,-0.040,0.014,-0.005,0.033,0.043,1.230,2.896,"U.S. Open","The Country Club"
"Varner III, Harold",150,1.183,-0.007,31,0.003,0.024,0.015,-0.029,-0.040,0.012,0.008,0.037,0.056,1.205,2.894,"U.S. Open","The Country Club"
"Homa, Max",150,1.385,-0.068,31,0.004,0.007,0.032,-0.201,-0.040,0.019,-0.004,0.030,0.045,1.162,2.900,"U.S. Open","The Country Club"
"Fleetwood, Tommy",150,1.206,0.057,31,0.004,0.025,-0.032,-0.099,-0.040,0.012,0.002,0.027,0.041,1.161,2.841,"U.S. Open","The Country Club"
"Bradley, Keegan",150,1.168,-0.023,36,-0.011,0.020,0.017,-0.018,-0.040,0.018,-0.013,0.026,0.030,1.144,2.887,"U.S. Open","The Country Club"
"Power, Seamus",150,1.024,0.022,35,-0.008,0.042,0.020,0.046,-0.040,0.010,0.000,0.023,0.034,1.140,2.871,"U.S. Open","The Country Club"
"Oosthuizen, Louis",150,1.093,0.138,39,-0.023,0.040,-0.062,-0.004,-0.040,-0.004,-0.019,0.021,-0.002,1.140,2.891,"U.S. Open","The Country Club"
"Gooch, Talor",150,1.143,0.023,30,0.007,0.064,-0.017,-0.104,-0.040,0.007,-0.007,0.036,0.035,1.112,2.897,"U.S. Open","The Country Club"
"Horschel, Billy",150,1.354,-0.037,35,-0.009,0.014,-0.019,-0.161,-0.040,-0.005,-0.031,0.026,-0.009,1.091,2.870,"U.S. Open","The Country Club"
"Berger, Daniel",150,1.270,-0.044,29,0.011,0.028,-0.067,-0.096,-0.040,0.001,-0.027,0.033,0.008,1.071,2.847,"U.S. Open","The Country Club"
"Koepka, Brooks",150,0.748,0.228,32,0.002,0.096,-0.035,-0.016,-0.040,0.029,0.023,0.015,0.067,1.051,2.885,"U.S. Open","The Country Club"
"Henley, Russell",150,1.103,0.013,33,-0.002,0.030,0.013,-0.131,-0.040,-0.006,-0.027,0.035,0.002,0.989,2.858,"U.S. Open","The Country Club"
"Hatton, Tyrrell",150,1.044,-0.059,30,0.007,0.011,0.007,-0.132,-0.040,0.008,0.016,0.025,0.049,0.887,2.925,"U.S. Open","The Country Club"
"Kim, Si Woo",150,0.777,-0.013,26,0.019,0.003,-0.011,0.089,-0.040,-0.001,-0.023,0.021,-0.003,0.820,2.869,"U.S. Open","The Country Club"
"List, Luke",150,0.536,-0.016,37,-0.016,0.048,0.001,0.239,-0.040,0.035,0.014,0.011,0.059,0.811,2.850,"U.S. Open","The Country Club"
"Munoz, Sebastian",150,0.875,-0.050,29,0.011,-0.023,-0.004,0.021,-0.040,0.007,-0.015,0.020,0.013,0.803,2.918,"U.S. Open","The Country Club"
"Garcia, Sergio",150,0.929,-0.015,42,-0.032,-0.029,-0.022,-0.024,-0.040,0.022,-0.004,0.013,0.032,0.798,2.863,"U.S. Open","The Country Club"
"Riley, Davis",150,0.852,-0.003,25,0.023,0.038,-0.047,-0.062,-0.040,0.016,-0.008,0.018,0.026,0.786,2.899,"U.S. Open","The Country Club"
"Rose, Justin",150,0.931,0.087,41,-0.030,-0.040,0.030,-0.173,-0.040,0.004,-0.009,0.016,0.010,0.776,2.918,"U.S. Open","The Country Club"
"Kokrak, Jason",150,0.713,-0.001,37,-0.014,0.055,-0.015,0.024,-0.040,0.027,-0.002,0.012,0.037,0.759,2.907,"U.S. Open","The Country Club"
"Ancer, Abraham",150,0.837,0.000,31,0.005,-0.056,0.004,-0.004,-0.040,-0.007,-0.040,0.012,-0.035,0.711,2.870,"U.S. Open","The Country Club"
"Simpson, Webb",150,0.807,0.054,36,-0.014,-0.012,-0.085,-0.005,-0.040,-0.003,-0.019,0.020,-0.002,0.704,2.880,"U.S. Open","The Country Club"
"Harman, Brian",150,0.930,0.014,35,-0.009,-0.102,-0.001,-0.073,-0.040,-0.017,-0.031,0.015,-0.032,0.686,2.826,"U.S. Open","The Country Club"
"Woodland, Gary",150,0.546,-0.016,38,-0.017,0.046,0.025,0.061,-0.040,0.023,0.012,0.015,0.049,0.654,2.864,"U.S. Open","The Country Club"
"Fox, Ryan",150,0.522,0.015,35,-0.009,0.021,0.076,-0.056,-0.040,0.040,0.054,0.020,0.114,0.642,2.901,"U.S. Open","The Country Club"
"Noren, Alex",150,0.869,-0.059,39,-0.024,-0.036,0.008,-0.098,-0.040,0.002,-0.005,0.018,0.015,0.636,2.876,"U.S. Open","The Country Club"
"Tringale, Cameron",150,0.657,-0.039,34,-0.007,0.042,-0.011,0.005,-0.040,0.004,-0.003,0.021,0.022,0.628,2.855,"U.S. Open","The Country Club"
"Hoge, Tom",150,0.785,0.023,33,-0.001,-0.074,0.002,-0.093,-0.040,-0.005,-0.014,0.022,0.003,0.605,2.894,"U.S. Open","The Country Club"
"Scott, Adam",150,0.660,0.029,41,-0.030,-0.019,-0.026,-0.044,-0.040,0.020,0.013,0.017,0.050,0.579,2.881,"U.S. Open","The Country Club"
"Leishman, Marc",150,0.670,0.043,38,-0.019,-0.027,-0.006,-0.093,-0.040,0.007,0.012,0.014,0.034,0.561,2.872,"U.S. Open","The Country Club"
"McCarthy, Denny",150,0.894,0.031,29,0.011,-0.013,-0.034,-0.303,-0.040,-0.010,-0.016,0.018,-0.007,0.539,2.850,"U.S. Open","The Country Club"
"Hadwin, Adam",150,0.712,-0.090,34,-0.006,0.002,-0.001,-0.050,-0.040,-0.005,-0.020,0.019,-0.006,0.521,2.877,"U.S. Open","The Country Club"
"Straka, Sepp",150,0.442,0.000,29,0.012,0.106,-0.006,-0.017,-0.040,0.016,-0.002,0.009,0.022,0.520,2.896,"U.S. Open","The Country Club"
"Reed, Patrick",150,0.566,0.112,31,0.003,-0.064,0.012,-0.078,-0.040,-0.011,-0.001,0.016,0.004,0.516,2.875,"U.S. Open","The Country Club"
"Herbert, Lucas",150,0.446,0.030,26,0.020,0.125,0.042,-0.188,-0.040,0.024,0.033,0.009,0.066,0.502,2.928,"U.S. Open","The Country Club"
"Lee, Kyounghoon",150,0.522,-0.041,30,0.006,0.060,-0.003,-0.009,-0.040,0.005,-0.012,0.012,0.006,0.501,2.905,"U.S. Open","The Country Club"
"NeSmith, Matthew",150,0.404,-0.002,28,0.013,0.072,0.000,0.040,-0.040,0.001,-0.020,0.015,-0.004,0.483,2.881,"U.S. Open","The Country Club"
"Horsfield, Sam",150,0.448,-0.026,25,0.022,0.001,0.101,-0.113,-0.040,0.014,0.013,0.019,0.047,0.441,2.955,"U.S. Open","The Country Club"
"Van Rooyen, Erik",150,0.394,0.010,32,0.001,0.069,-0.031,0.022,-0.040,0.007,-0.012,0.013,0.008,0.433,2.902,"U.S. Open","The Country Club"
"Pieters, Thomas",150,0.432,-0.055,30,0.008,0.008,-0.011,0.053,-0.040,0.015,0.011,0.011,0.037,0.431,2.882,"U.S. Open","The Country Club"
"Arnaus, Adri",150,0.299,0.007,27,0.016,-0.030,0.006,0.101,-0.040,0.032,0.031,0.003,0.065,0.425,2.968,"U.S. Open","The Country Club"
"Griffin, Lanto",150,0.554,0.006,34,-0.004,-0.016,0.017,-0.116,-0.040,0.007,0.003,0.013,0.022,0.423,2.887,"U.S. Open","The Country Club"
"Grace, Branden",150,0.193,0.054,34,-0.004,0.049,0.012,0.139,-0.040,-0.003,0.009,0.008,0.013,0.417,2.870,"U.S. Open","The Country Club"
"Rodgers, Patrick",150,0.422,0.010,29,0.009,-0.068,-0.022,0.035,-0.040,0.023,0.024,0.003,0.049,0.395,2.853,"U.S. Open","The Country Club"
"Na, Kevin",150,0.803,0.008,38,-0.020,-0.105,-0.017,-0.251,-0.040,-0.026,-0.012,0.032,-0.006,0.372,2.916,"U.S. Open","The Country Club"
"Merritt, Troy",150,0.634,-0.029,36,-0.013,-0.060,0.008,-0.170,-0.040,-0.015,-0.013,0.006,-0.022,0.308,2.888,"U.S. Open","The Country Club"
"Montgomery, Taylor",150,0.116,0.005,27,0.017,0.002,0.082,0.085,-0.040,0.031,0.009,-0.019,0.020,0.286,2.900,"U.S. Open","The Country Club"
"Hughes, Mackenzie",150,0.399,-0.020,31,0.004,0.008,-0.025,-0.078,-0.040,-0.001,0.018,0.012,0.029,0.278,2.874,"U.S. Open","The Country Club"
"Dahmen, Joel",150,0.412,-0.003,34,-0.006,-0.014,-0.002,-0.053,-0.040,-0.012,-0.032,0.009,-0.036,0.257,2.863,"U.S. Open","The Country Club"
"Stallings, Scott",150,0.381,-0.043,37,-0.015,0.037,0.013,-0.130,-0.040,0.010,0.015,0.011,0.037,0.240,2.920,"U.S. Open","The Country Club"
"Clark, Wyndham",150,0.089,-0.012,28,0.014,0.034,0.009,0.073,-0.040,0.040,0.033,-0.001,0.072,0.239,2.886,"U.S. Open","The Country Club"
"Lee, Min Woo",150,-0.241,0.013,23,0.029,0.073,-0.003,0.342,-0.040,0.040,0.020,-0.011,0.049,0.223,2.900,"U.S. Open","The Country Club"
"DeChambeau, Bryson",150,0.556,-0.029,28,0.013,0.018,-0.403,0.008,-0.040,0.060,0.038,-0.010,0.087,0.210,2.922,"U.S. Open","The Country Club"
"Taylor, Nick",150,0.185,0.034,34,-0.005,0.015,0.022,-0.036,-0.040,-0.005,-0.003,0.008,-0.000,0.175,2.865,"U.S. Open","The Country Club"
"Molinari, Francesco",150,0.248,0.062,39,-0.023,-0.030,0.069,-0.108,-0.040,-0.010,-0.010,0.010,-0.009,0.170,2.921,"U.S. Open","The Country Club"
"Mansell, Richard",150,-0.220,0.001,27,0.018,0.056,0.120,0.176,-0.040,0.033,0.010,-0.009,0.035,0.146,2.900,"U.S. Open","The Country Club"
"Hardy, Nick",150,-0.122,0.033,26,0.021,0.053,0.037,0.124,-0.040,0.020,0.011,-0.008,0.023,0.130,2.900,"U.S. Open","The Country Club"
"Kitayama, Kurt",150,-0.139,0.000,29,0.011,0.035,0.052,0.143,-0.040,0.030,0.031,0.002,0.063,0.125,2.914,"U.S. Open","The Country Club"
"Hossler, Beau",150,0.106,0.002,27,0.018,0.018,0.031,-0.067,-0.040,0.019,0.026,-0.006,0.039,0.107,2.972,"U.S. Open","The Country Club"
"Schenk, Adam",150,0.138,0.015,30,0.008,0.008,-0.053,0.005,-0.040,0.010,0.004,0.003,0.016,0.097,2.917,"U.S. Open","The Country Club"
"English, Harris",150,0.544,0.039,32,-0.001,-0.008,-0.232,-0.242,-0.040,0.002,-0.000,0.011,0.013,0.073,2.911,"U.S. Open","The Country Club"
"Kisner, Kevin",150,0.256,0.003,38,-0.019,-0.025,0.037,-0.110,-0.040,-0.019,-0.021,0.007,-0.032,0.072,2.904,"U.S. Open","The Country Club"
"Cink, Stewart",150,0.133,0.078,49,-0.054,-0.049,0.015,-0.054,-0.040,0.015,0.013,-0.001,0.026,0.056,2.937,"U.S. Open","The Country Club"
"Perez, Victor",150,0.030,-0.009,29,0.010,-0.004,0.015,-0.014,-0.040,0.011,0.020,0.004,0.035,0.024,2.917,"U.S. Open","The Country Club"
"Lee, Danny",150,0.127,-0.061,31,0.003,-0.086,0.016,0.026,-0.040,0.005,0.003,0.000,0.008,-0.008,2.901,"U.S. Open","The Country Club"
"Hoshino, Rikuya",150,-0.025,-0.024,26,0.022,-0.026,0.032,0.026,-0.040,0.007,-0.011,-0.003,-0.006,-0.041,2.900,"U.S. Open","The Country Club"
"Putnam, Andrew",150,0.084,-0.002,33,-0.002,-0.035,0.010,-0.032,-0.040,-0.037,-0.016,0.006,-0.048,-0.065,2.863,"U.S. Open","The Country Club"
"Bramlett, Joseph",150,-0.462,-0.001,34,-0.005,0.131,0.024,0.226,-0.040,0.037,0.026,-0.005,0.058,-0.069,2.915,"U.S. Open","The Country Club"
"Barnes, Erik",150,-0.090,-0.020,34,-0.006,0.005,0.051,0.005,-0.040,0.009,0.013,-0.006,0.016,-0.079,2.877,"U.S. Open","The Country Club"
"Daffue, MJ",150,-0.204,-0.020,33,-0.002,-0.012,0.098,0.034,-0.040,0.023,0.034,-0.002,0.055,-0.092,2.900,"U.S. Open","The Country Club"
"Besseling, Wil",150,-0.338,-0.020,36,-0.013,0.054,-0.008,0.171,-0.040,0.023,0.004,-0.019,0.008,-0.186,2.853,"U.S. Open","The Country Club"
"Seiffert, Chase",150,-0.259,-0.020,30,0.006,0.023,0.049,0.053,-0.040,-0.013,-0.017,0.000,-0.030,-0.217,2.920,"U.S. Open","The Country Club"
"Tarren, Callum",150,-0.415,-0.001,31,0.003,0.054,0.015,0.057,-0.040,0.032,0.039,-0.012,0.058,-0.268,2.880,"U.S. Open","The Country Club"
"Gotterup, Chris",150,-0.626,-0.020,22,0.032,-0.000,0.265,0.059,-0.040,0.033,0.033,-0.013,0.053,-0.277,2.900,"U.S. Open","The Country Club"
"Kim, Joohyung",150,-0.264,-0.031,19,0.042,0.021,0.005,0.004,-0.040,-0.007,-0.030,-0.008,-0.045,-0.308,2.900,"U.S. Open","The Country Club"
"Novak, Andrew",150,-0.301,-0.020,27,0.018,0.010,0.012,-0.023,-0.040,-0.000,0.023,-0.000,0.023,-0.322,2.914,"U.S. Open","The Country Club"
"Schneider, Marcel",150,-0.473,-0.015,32,0.001,0.051,0.092,0.041,-0.040,-0.009,0.005,-0.015,-0.019,-0.361,2.900,"U.S. Open","The Country Club"
"Hall, Harry",150,-0.380,-0.020,24,0.026,-0.008,-0.037,0.049,-0.040,0.017,0.029,-0.010,0.036,-0.373,2.900,"U.S. Open","The Country Club"
"Olesen, Thorbjorn",150,-0.290,0.069,32,0.001,0.005,0.001,-0.197,-0.040,-0.004,0.015,-0.002,0.009,-0.441,2.897,"U.S. Open","The Country Club"
"Bland, Richard",150,-0.150,0.014,49,-0.055,-0.049,-0.020,-0.122,-0.040,-0.031,-0.018,0.002,-0.047,-0.468,2.880,"U.S. Open","The Country Club"
"Buckley, Hayden",150,-0.578,-0.007,26,0.021,-0.013,-0.015,0.201,-0.040,-0.000,-0.021,-0.021,-0.043,-0.473,2.900,"U.S. Open","The Country Club"
"Paul, Yannik",150,-0.472,-0.020,28,0.014,-0.003,-0.014,0.021,-0.040,-0.002,0.007,-0.008,-0.003,-0.516,2.900,"U.S. Open","The Country Club"
"Samooja, Kalle",150,-0.536,-0.010,34,-0.005,-0.008,-0.008,0.049,-0.040,0.005,0.011,-0.016,-0.000,-0.559,2.906,"U.S. Open","The Country Club"
"Stevens, Samuel",150,-0.652,-0.020,25,0.022,0.004,0.061,0.053,-0.040,0.015,0.007,-0.014,0.009,-0.563,2.900,"U.S. Open","The Country Club"
"Sloan, Roger",150,-0.537,-0.020,35,-0.008,0.035,-0.010,0.020,-0.040,-0.008,0.003,-0.010,-0.015,-0.574,2.907,"U.S. Open","The Country Club"
"Crocker, Sean",150,-0.916,0.014,25,0.023,0.030,-0.078,0.357,-0.040,0.032,0.009,-0.022,0.018,-0.593,2.913,"U.S. Open","The Country Club"
"Norris, Shaun",150,-0.362,0.017,40,-0.024,-0.032,-0.004,-0.159,-0.040,-0.003,0.017,-0.005,0.008,-0.597,2.916,"U.S. Open","The Country Club"
"Chappell, Kevin",150,-0.560,0.071,35,-0.011,0.002,-0.079,-0.018,-0.040,0.016,0.033,-0.015,0.033,-0.601,2.905,"U.S. Open","The Country Club"
"Murray, Grayson",150,-0.903,-0.005,28,0.013,-0.003,0.173,0.100,-0.040,0.021,0.038,-0.016,0.043,-0.622,2.937,"U.S. Open","The Country Club"
"Stuard, Brian",150,-0.326,-0.034,39,-0.022,-0.108,0.057,-0.126,-0.040,-0.052,-0.051,0.001,-0.102,-0.701,2.855,"U.S. Open","The Country Club"
"Kim, Chan",150,-0.892,0.018,32,0.002,0.021,-0.008,0.113,-0.040,0.031,0.016,-0.022,0.025,-0.761,2.900,"U.S. Open","The Country Club"
"Bennett, Sam",150,-0.802,-0.020,22,0.034,0.011,0.122,-0.025,-0.040,-0.010,-0.002,-0.034,-0.047,-0.767,2.900,"U.S. Open","The Country Club"
"Vick, Travis",150,-0.897,-0.020,22,0.032,0.000,0.143,0.001,-0.040,-0.005,0.005,-0.017,-0.017,-0.797,2.900,"U.S. Open","The Country Club"
"Lingmerth, David",150,-0.675,0.068,34,-0.007,-0.077,0.101,-0.099,-0.040,-0.041,-0.024,-0.010,-0.076,-0.806,2.902,"U.S. Open","The Country Club"
"Nakajima, Keita",150,-0.896,-0.001,21,0.035,0.011,0.048,0.043,-0.040,0.006,0.001,-0.022,-0.015,-0.815,2.900,"U.S. Open","The Country Club"
"Soderberg, Sebastian",150,-0.880,0.004,31,0.003,0.012,-0.004,0.073,-0.040,0.001,0.021,-0.015,0.007,-0.825,2.918,"U.S. Open","The Country Club"
"Mickelson, Phil",150,-0.677,0.093,52,-0.063,-0.017,-0.113,-0.016,-0.040,0.006,0.022,-0.025,0.003,-0.830,2.945,"U.S. Open","The Country Club"
"Matthews, Brandon",150,-1.018,-0.020,27,0.016,0.001,0.053,0.076,-0.040,0.033,0.024,-0.027,0.029,-0.903,2.900,"U.S. Open","The Country Club"
"Kodaira, Satoshi",150,-0.814,-0.002,32,-0.000,-0.012,0.011,-0.016,-0.040,-0.026,-0.033,-0.024,-0.083,-0.956,2.912,"U.S. Open","The Country Club"
"Kozuma, Jinichiro",150,-0.880,0.002,27,0.016,-0.021,-0.009,-0.023,-0.040,-0.017,0.018,-0.014,-0.013,-0.969,2.900,"U.S. Open","The Country Club"
"Chassart, Adrien Dumont de",150,-1.141,-0.020,22,0.034,0.000,0.103,0.001,-0.040,-0.007,0.006,-0.024,-0.024,-1.087,2.900,"U.S. Open","The Country Club"
"McCarty, Matt",150,-1.164,-0.020,25,0.025,0.000,0.091,0.001,-0.040,-0.007,0.007,-0.025,-0.025,-1.132,2.900,"U.S. Open","The Country Club"
"Migliozzi, Guido",150,-1.196,0.021,25,0.024,-0.009,-0.032,0.074,-0.040,0.009,0.026,-0.028,0.007,-1.151,2.920,"U.S. Open","The Country Club"
"Hoag, Bo",150,-1.012,-0.022,33,-0.004,-0.017,-0.067,0.050,-0.040,-0.009,-0.006,-0.026,-0.040,-1.152,2.857,"U.S. Open","The Country Club"
"Thorbjornsen, Michael",150,-1.220,-0.012,20,0.039,0.000,0.034,0.015,-0.040,0.006,0.025,-0.044,-0.013,-1.196,2.900,"U.S. Open","The Country Club"
"Moldovan, Maxwell",150,-1.206,-0.020,-1,0.000,0.000,0.045,0.001,-0.040,-0.008,0.007,-0.027,-0.028,-1.248,2.900,"U.S. Open","The Country Club"
"Mouw, William",150,-1.282,-0.020,-1,0.000,0.000,0.114,-0.000,-0.040,-0.008,0.008,-0.027,-0.028,-1.256,2.900,"U.S. Open","The Country Club"
"Hagestad, Stewart",150,-1.125,-0.009,31,0.005,-0.002,-0.118,0.013,-0.040,0.000,0.043,-0.042,0.001,-1.275,2.900,"U.S. Open","The Country Club"
"Biondi, Fred",150,-1.688,-0.020,-1,0.000,0.000,0.493,-0.008,-0.040,-0.011,0.010,-0.028,-0.029,-1.292,2.900,"U.S. Open","The Country Club"
"Blixt, Jonas",150,-1.277,0.035,38,-0.018,-0.013,-0.075,0.098,-0.040,-0.009,0.001,-0.042,-0.051,-1.341,2.916,"U.S. Open","The Country Club"
"Greaser, Austin",150,-1.444,0.004,-1,0.000,0.013,0.056,0.027,-0.040,0.005,0.017,-0.039,-0.016,-1.401,2.900,"U.S. Open","The Country Club"
"Naegel, Chris",150,-1.272,0.013,39,-0.022,0.000,-0.131,0.020,-0.040,0.003,0.039,-0.050,-0.009,-1.440,2.900,"U.S. Open","The Country Club"
"Gerard, Ryan",150,-1.522,-0.020,-1,0.000,0.000,0.144,-0.002,-0.040,-0.010,0.009,-0.032,-0.033,-1.473,2.900,"U.S. Open","The Country Club"
"Izumida, Daijiro",150,-1.573,-0.020,-1,0.000,0.000,0.035,-0.000,-0.040,-0.010,0.009,-0.036,-0.037,-1.635,2.900,"U.S. Open","The Country Club"
"Salinda, Isaiah",150,-1.517,-0.020,25,0.024,-0.006,-0.126,0.059,-0.040,0.021,0.012,-0.043,-0.010,-1.636,2.900,"U.S. Open","The Country Club"
"Sinnott, Todd",150,-1.985,-0.020,30,0.008,0.000,0.127,0.068,-0.040,0.020,0.045,-0.050,0.015,-1.828,2.900,"U.S. Open","The Country Club"
"Silverman, Ben",150,-1.616,-0.020,34,-0.006,-0.001,-0.244,0.051,-0.040,-0.014,-0.024,-0.053,-0.090,-1.966,2.933,"U.S. Open","The Country Club"
"Mueller, Jesse",14,-2.013,0.020,39,-0.070,0.168,-0.033,-0.033,-0.040,-0.026,0.002,-0.059,-0.083,-2.084,2.958,"U.S. Open","The Country Club"
"Sugiyama, Tomoyasu",150,-2.039,-0.020,-1,0.000,0.001,0.053,-0.002,-0.040,-0.014,0.012,-0.047,-0.048,-2.096,2.900,"U.S. Open","The Country Club"
"Piot, James",150,-2.133,-0.004,23,0.029,0.030,-0.057,0.021,-0.040,-0.009,0.011,-0.059,-0.057,-2.210,2.900,"U.S. Open","The Country Club"
"Dunlap, Nick",104,-2.269,-0.020,-1,0.000,0.000,0.066,-0.005,-0.040,-0.016,0.014,-0.052,-0.054,-2.322,2.900,"U.S. Open","The Country Club"
"Furyk, Jim",150,-1.860,0.047,52,-0.064,-0.029,-0.247,-0.089,-0.040,-0.044,-0.049,-0.040,-0.133,-2.414,2.873,"U.S. Open","The Country Club"
"Shore, Davis",150,-2.540,0.006,-1,0.000,0.000,0.143,0.004,-0.040,-0.010,0.016,-0.062,-0.056,-2.482,2.900,"U.S. Open","The Country Club"
"Morgan, Jediah",150,-2.760,-0.020,22,0.033,0.014,0.037,0.038,-0.040,0.001,0.023,-0.070,-0.046,-2.744,2.900,"U.S. Open","The Country Club"
"Jacklin, Sean",107,-2.547,-0.020,30,0.007,0.000,-0.176,-0.004,-0.040,-0.019,0.016,-0.064,-0.066,-2.846,2.900,"U.S. Open","The Country Club"
"Lorenz, Ben",77,-2.810,-0.020,-1,0.000,0.000,0.052,-0.005,-0.040,-0.020,0.017,-0.065,-0.068,-2.890,2.917,"U.S. Open","The Country Club"
"Reiter, Charles",150,-3.089,-0.020,22,0.032,0.000,0.020,0.125,-0.040,0.059,0.038,-0.080,0.017,-2.955,2.900,"U.S. Open","The Country Club"
"Beckler, Andrew",60,-3.296,-0.020,-1,0.000,0.000,0.438,-0.012,-0.040,-0.023,0.019,-0.067,-0.071,-3.001,2.928,"U.S. Open","The Country Club"
"Quinn, Fran",150,-3.098,0.017,57,-0.081,0.000,-0.091,0.035,-0.040,-0.004,0.014,-0.078,-0.067,-3.325,2.843,"U.S. Open","The Country Club"
"Manuel, Caleb",76,-3.315,-0.020,-1,0.000,0.000,-0.069,-0.005,-0.040,-0.023,0.020,-0.079,-0.083,-3.531,2.918,"U.S. Open","The Country Club"
"Calkins, Brady",0,-3.780,-0.020,-1,0.000,0.000,0.000,-0.005,-0.040,-0.026,0.022,-0.089,-0.093,-3.938,3.038,"U.S. Open","The Country Club"
"Shepherd, Laird",150,-3.685,-0.009,24,0.026,0.053,-0.329,0.038,-0.040,-0.007,0.042,-0.099,-0.064,-4.011,2.900,"U.S. Open","The Country Club"
"Gannon, Luke",133,-3.357,-0.020,-1,0.000,-0.000,-0.643,0.051,-0.040,0.003,0.019,-0.103,-0.081,-4.089,2.900,"U.S. Open","The Country Club"
"Greene, Keith",96,-3.598,-0.020,29,0.013,0.000,-0.354,-0.006,-0.040,-0.027,0.023,-0.092,-0.097,-4.102,2.905,"U.S. Open","The Country Club"
