Player,Roster Position,%Drafted,FPTS
Joseph Bramlett,G,0.20%,24.5
Bo Hoag,G,0.20%,16
Justin Lower,G,0.19%,60
Michael Gligic,G,0.17%,52.5
Dylan Wu,G,0.16%,43.5
James Hahn,G,0.16%,69
Aaron Baddeley,G,0.16%,7
Jim Herman,G,0.15%,30.5
Luke Donald,G,0.15%,66
Paul Barjon,G,0.15%,46.5
Jacob Bridgeman,G,0.13%,22.5
Roger Sloan,G,0.12%,18.5
Morgan Hoffmann,G,0.11%,15.5
Camilo Villegas,G,0.11%,41
Richy Werenski,G,0.10%,23.5
Kevin Tway,G,0.09%,23.5
Jim Knous,G,0.09%,25
Norman Xiong,G,0.09%,29
Turk Pettit,G,0.08%,62
Ben Kohles,G,0.07%,40.5
Dawie Van der Walt,G,0.07%,50.5
David Skinns,G,0.06%,26
Kelly Kraft,G,0.06%,40
Curtis Thompson,G,0.06%,-3
Seth Reeves,G,0.05%,18
William McGirt,G,0.05%,24.5
Max McGreevy,G,0.05%,15
Greg Odom,G,0.05%,9.5
Drew Nesbitt,G,0.04%,25.5
Nicholas Thompson,G,0.04%,19
Jared Wolfe,G,0.03%,21.5
Bo Van Pelt,G,0.03%,17
Brett Drewitt,G,0.03%,20.5
Jonas Blixt,G,0.02%,26.5
Tommy Gainey,G,0.02%,23
Larkin Gross,G,0.01%,9.5
Joshua Creel,G,0.01%,23.5
Pat Perez,G,0.01%,0
Seung-Yul Noh,G,0.00%,0
