player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Al Woods,5646,DI,TEN,9,1,0,,0,0,31,60.0,56.0,83.7,53.8,56.2,52.1,0,3,0,,10.0,1,0,0,0.0,0,0,1,0,0,171,170,151,19,0,0,0,1,83,88,0,5,8,0,3,0,0,0,
O'Brien Schofield,5653,ED,ATL,2,0,0,,0,0,2,,54.2,76.6,52.1,60.3,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,14,14,0,0,14,0,0,0,10,4,0,0,0,0,0,0,0,0,
Kam Chancellor,5656,S,SEA,9,8,2,61.1,0,1,29,83.6,84.1,5.9,90.2,79.3,90.4,0,0,2,55,3.3,2,2,5,82.4,22,0,220,22,330,567,67,0,0,67,0,139,500,6,231,119,27,51,36,0,3,214,100,9.7
Kendrick Lewis,5659,S,BLT,4,0,0,100.0,0,0,3,66.6,67.0,72.7,59.8,60.0,73.3,0,0,0,7,0.0,0,0,0,93.8,2,0,5,0,9,17,3,0,0,3,0,2,14,1,7,7,1,1,2,0,0,13,4,6.5
Perrish Cox,5660,CB,TEN,11,3,0,66.7,2,0,31,42.0,42.9,3.7,60.0,65.4,34.1,0,0,3,50,19.6,10,8,6,103.0,52,0,39,534,428,624,11,0,0,11,0,1,613,1,195,39,9,38,78,0,5,750,275,14.4
Sherrick McManis,5667,CB,CHI,3,0,0,100.0,0,0,6,40.7,34.5,72.2,,39.1,81.2,0,0,0,48,0.0,0,0,0,118.8,2,0,1,2,9,18,0,0,0,0,0,0,18,0,9,15,1,3,2,0,0,56,30,28.0
Nolan Carroll,5668,CB,PHI,13,4,0,62.7,1,0,24,57.7,58.2,61.7,,61.1,60.2,0,0,1,58,12.5,6,5,7,103.3,42,0,45,656,464,741,13,0,0,13,0,0,728,0,277,26,11,38,67,0,3,648,199,15.4
Cam Thomas,5669,DI,LA,13,4,0,100.0,1,0,26,56.7,54.8,26.1,58.7,60.3,74.9,0,8,0,3,0.0,0,0,3,79.2,1,1,0,0,6,324,324,145,174,0,5,0,0,162,156,0,5,6,1,9,0,3,4,3.0
Arthur Jones,5680,DI,IND,8,9,0,,0,0,14,56.7,53.1,64.5,50.6,59.0,59.1,0,3,0,,6.7,2,0,1,0.0,0,0,0,0,1,322,322,14,262,10,36,0,0,154,167,0,12,19,0,3,0,0,0,
Reshad Jones,5686,S,MIA,6,7,2,61.5,0,0,17,86.4,85.3,82.8,59.9,71.2,71.3,0,3,1,21,8.2,4,1,0,42.8,8,1,125,2,226,437,36,0,0,36,0,233,401,23,188,41,17,38,13,4,0,67,30,8.4
Arthur Moats,5701,ED,PIT,12,3,1,50.0,0,0,25,60.1,53.7,87.5,54.6,49.0,80.3,2,15,0,6,0.0,0,0,0,56.3,2,4,32,0,56,377,327,0,2,325,0,0,50,193,128,18,9,9,4,21,0,11,8,5.5
Eugene Sims,5712,ED,LA,13,0,1,,0,0,26,69.5,60.2,74.4,52.6,62.7,43.6,1,8,0,,13.3,2,0,1,0.0,0,2,6,0,7,394,386,0,21,324,41,0,8,223,164,2,11,13,0,11,0,0,0,
Antonio Brown,5718,WR,PIT,1,0,0,,2,0,25,,60.0,60.0,,,,0,0,0,,,0,0,7,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Willie Young,5736,ED,CHI,13,12,2,,2,1,6,60.4,58.9,6.9,62.8,64.8,49.3,1,28,0,,18.8,6,0,9,0.0,0,8,3,1,20,602,588,0,0,588,0,0,14,346,236,10,17,14,0,37,0,0,0,
Dekoda Watson,5740,ED,DEN,6,0,0,100.0,0,0,10,62.2,55.4,76.7,52.3,59.1,75.3,0,2,0,9,0.0,0,0,0,104.2,1,0,0,0,1,38,37,0,0,37,0,0,1,25,12,1,1,3,1,2,0,9,5,9.0
Marc Mariani,5745,WR,TEN,1,0,0,,0,0,31,60.7,70.2,60.0,,,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
C.J. Wilson,5753,DI,CHI,3,1,0,,0,0,6,,82.8,77.0,70.8,76.5,69.8,2,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,45,45,16,20,0,9,0,0,16,29,0,2,2,0,3,0,0,0,
Ricardo Mathews,5761,DI,PIT,13,2,0,,0,0,25,58.0,59.6,83.9,50.6,69.7,75.1,1,6,0,,10.0,1,0,0,0.0,0,1,0,0,3,251,251,6,122,52,71,0,0,167,81,0,7,7,0,8,0,0,0,
Kurt Coleman,5767,S,CAR,12,12,0,67.9,0,1,5,65.8,68.5,86.6,70.0,68.3,77.6,2,4,3,32,9.0,7,1,0,61.0,19,0,244,12,512,806,44,0,0,44,0,401,762,18,276,105,17,59,28,6,1,202,92,10.6
