player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Justin Durant,3664,LB,DAL,2,1,12.8,100.0,96.7,7.3,7.3,0,0,1,25.0,9,48.9,47.6,73.3,57.4,55.5,82.0,0,32,0.0,0,1,0,118.8,4,29,30,0,2,4,0,72,21,2.5,18.0
Charles Johnson,3699,ED,CAR,2,0,,,14.9,,,0,0,0,,5,61.6,80.7,82.7,59.4,88.0,75.4,0,,0.0,0,0,0,0.0,0,7,47,1,1,0,0,0,0,0.0,
Brian Robison,3718,ED,MIN,2,0,9.0,100.0,3.8,3.0,3.0,0,0,0,0.0,18,47.0,60.7,30.8,69.4,57.3,74.0,0,15,,0,0,1,118.8,1,3,79,1,0,1,0,15,6,5.0,15.0
Dashon Goldson,3742,S,ATL,1,0,4.0,100.0,100.0,2.0,2.0,0,0,0,0.0,2,48.1,43.4,69.7,,60.0,22.9,0,14,100.0,1,0,0,118.8,1,2,2,0,0,1,0,14,10,7.0,14.0
Corey Graham,3784,S,BUF,2,0,,,91.4,,,0,0,0,,4,59.4,66.1,83.1,58.5,76.6,68.5,0,,0.0,0,0,0,0.0,0,74,81,0,1,0,0,0,0,0.0,
William Gay,3786,CB,PIT,2,2,6.1,60.0,99.0,16.7,10.0,0,0,1,10.0,25,69.4,68.4,81.1,58.5,57.2,45.3,0,20,12.5,1,1,0,79.2,6,104,105,0,5,10,0,65,15,0.7,10.8
Chris Long,4316,ED,NE,2,0,4.5,100.0,16.7,5.0,5.0,0,0,0,0.0,19,59.9,73.2,80.0,72.1,64.9,54.7,0,8,50.0,1,0,0,87.5,2,11,66,2,1,2,0,10,1,1.0,5.0
Leodis McKelvin,4325,CB,PHI,1,0,7.8,50.0,100.0,11.5,5.8,0,0,0,0.0,24,64.4,62.4,75.3,,53.0,52.6,0,11,33.3,1,0,0,56.3,2,24,24,1,2,4,0,11,2,0.5,5.5
Dominique Rodgers-Cromartie,4330,CB,NYG,2,0,11.2,58.3,92.5,10.1,5.9,1,0,2,16.7,21,54.5,55.9,79.2,66.5,56.8,33.7,0,15,25.0,2,2,1,75.3,7,74,80,0,6,12,0,71,40,1.0,10.1
Aqib Talib,4334,CB,DEN,2,0,9.4,46.2,100.0,11.7,5.4,0,0,2,15.4,10,75.9,77.4,79.6,,75.0,49.2,1,16,25.0,1,2,1,27.4,6,80,80,0,3,13,0,59,17,0.8,9.8
Brandon Flowers,4349,CB,SD,2,1,7.9,62.5,97.0,9.5,5.9,0,0,1,6.3,27,71.7,75.1,78.2,91.9,61.7,86.0,0,22,0.0,0,1,0,75.3,10,98,101,5,11,16,0,81,39,0.9,8.1
Tracy Porter,4354,CB,CHI,2,0,11.9,50.0,100.0,8.3,4.2,0,0,1,5.6,6,62.7,65.3,81.0,,72.8,81.6,1,23,0.0,0,1,0,55.8,9,78,78,1,7,18,1,72,12,1.0,8.0
Jason Jones,4368,ED,MIA,2,0,,,4.7,,,0,0,0,,17,60.7,51.0,83.2,57.9,45.1,72.2,0,,,0,0,0,0.0,0,3,64,2,0,0,0,0,0,0.0,
Kendall Langford,4380,DI,IND,2,0,,,4.7,,,0,0,0,,14,58.5,31.1,79.0,42.7,35.4,26.4,0,,100.0,1,0,0,0.0,0,2,43,0,0,0,0,0,0,0.0,
Cliff Avril,4406,ED,SEA,2,1,,,3.6,,,0,0,0,,29,53.7,54.9,83.4,56.9,56.3,38.7,0,,50.0,1,0,0,0.0,0,2,55,1,0,0,0,0,0,0.0,
Philip Wheeler,4407,LB,ATL,2,1,,,75.0,,,0,0,0,,2,67.1,54.0,78.0,55.8,42.4,25.3,0,,0.0,0,0,0,0.0,0,18,24,0,0,0,0,0,0,0.0,
Tyvon Branch,4414,CB,ARZ,2,0,8.0,66.7,91.5,8.6,5.8,1,0,1,8.3,1,70.1,73.1,80.4,61.0,76.8,87.2,0,15,0.0,0,1,1,79.5,8,75,82,2,10,12,0,63,14,0.9,7.9
William Hayes,4417,ED,LA,2,0,,,1.7,,,0,0,0,,26,60.6,73.0,82.8,58.9,78.9,75.4,0,,0.0,0,0,0,0.0,0,1,59,2,1,0,0,0,0,0.0,
Dwight Lowery,4427,S,SD,2,0,11.9,80.0,100.0,12.5,10.0,0,0,1,10.0,27,64.3,66.0,80.1,,64.9,68.1,0,45,9.1,1,1,0,118.8,8,103,103,1,10,10,0,138,53,1.4,17.3
Quintin Demps,4431,S,HST,2,1,5.0,100.0,100.0,70.0,70.0,0,0,0,0.0,13,64.3,65.1,80.9,,59.9,64.2,0,5,0.0,0,0,0,87.5,1,75,75,0,3,1,0,5,0,0.1,5.0
Brandon Carr,4454,CB,DAL,2,0,12.6,60.0,100.0,8.9,5.3,0,0,2,13.3,9,63.4,64.8,81.6,,67.7,79.1,1,57,0.0,0,1,0,85.4,9,82,82,1,5,15,1,140,31,1.8,15.6
Orlando Scandrick,4457,CB,DAL,2,0,9.0,100.0,98.3,7.1,7.1,0,0,0,0.0,9,61.1,64.6,80.0,72.8,67.0,81.2,0,45,0.0,0,0,0,158.3,8,59,60,1,6,8,1,103,39,1.8,12.9
Erik Walden,4481,ED,IND,2,0,7.0,100.0,26.9,6.5,6.5,0,0,0,0.0,14,42.8,37.2,21.8,54.4,43.1,25.6,0,18,50.0,1,0,1,118.8,2,14,52,1,1,2,0,36,22,2.8,18.0
Wesley Woodyard,4583,LB,TEN,2,0,6.7,66.7,95.0,18.0,12.0,0,0,0,0.0,31,55.9,71.5,77.0,70.1,78.1,32.6,0,8,66.7,2,0,0,79.9,2,38,40,0,1,3,0,16,10,0.4,8.0
Erin Henderson,4656,LB,NYJ,2,1,-4.5,100.0,78.9,7.0,7.0,0,0,0,0.0,22,65.4,59.4,73.9,54.6,54.4,40.5,0,4,0.0,0,0,0,79.2,2,15,19,0,1,2,0,2,11,0.1,1.0
Jerrell Freeman,4888,LB,CHI,2,0,3.2,77.8,90.8,9.7,7.6,0,0,1,11.1,6,87.1,84.0,78.4,68.2,65.6,73.1,0,32,0.0,0,1,0,88.0,7,69,76,4,7,9,0,46,16,0.7,6.6
Cameron Wake,4907,ED,MIA,2,0,,,5.3,,,0,0,0,,17,60.1,62.6,1.3,67.9,59.9,69.6,0,,,0,0,1,0.0,0,2,38,0,0,0,0,0,0,0.0,
Brian Orakpo,4936,ED,TEN,2,0,,,18.6,,,0,0,0,,31,64.7,60.9,82.9,68.8,44.8,74.3,0,,,0,0,0,0.0,0,13,70,2,0,0,0,0,0,0.0,
Malcolm Jenkins,4937,S,PHI,2,2,5.2,50.0,95.6,20.7,10.3,0,1,1,16.7,24,49.6,55.0,76.4,68.4,71.2,62.3,0,16,20.0,1,1,1,68.8,3,65,68,2,2,6,0,36,27,0.6,12.0
Brian Cushing,4938,LB,HST,1,0,,,75.0,,,0,0,0,,13,62.5,57.3,71.6,59.9,56.4,74.9,0,,,0,0,0,0.0,0,3,4,0,0,0,0,0,0,0.0,
Robert Ayers,4941,ED,TB,2,0,4.0,100.0,3.3,2.0,2.0,0,0,0,0.0,30,56.6,59.0,83.8,58.6,64.0,49.4,0,47,,0,0,0,118.8,1,2,61,1,0,1,0,47,43,23.5,47.0
Clay Matthews,4949,ED,GB,2,0,,,3.4,,,0,0,0,,12,60.8,43.2,81.1,51.5,41.3,28.4,0,,,0,0,0,0.0,0,2,59,2,0,0,0,0,0,0.0,
Patrick Chung,4957,S,NE,2,0,9.0,88.9,94.1,9.4,8.3,1,0,0,0.0,19,40.8,44.7,78.3,54.9,65.1,51.4,0,21,20.0,2,0,1,142.6,8,80,85,1,8,9,1,84,31,1.1,10.5
James Laurinaitis,4958,LB,NO,2,1,12.3,66.7,78.7,16.5,11.0,0,0,1,16.7,20,58.9,39.7,80.1,52.0,29.3,46.4,0,25,33.3,2,1,0,101.4,4,74,94,1,3,6,0,63,19,1.0,15.8
Rey Maualuga,4961,LB,CIN,2,1,6.0,60.0,100.0,6.3,3.8,0,0,0,0.0,7,57.9,58.9,77.7,,59.7,70.5,0,9,0.0,0,0,0,105.8,3,19,19,1,1,5,1,17,7,0.9,5.7
Darius Butler,4964,CB,IND,1,0,7.3,33.3,90.0,8.0,2.7,0,0,0,0.0,14,72.1,71.4,72.3,60.0,60.0,75.8,1,9,0.0,0,0,0,2.8,1,9,10,0,1,3,0,9,7,1.1,9.0
Jairus Byrd,4965,S,NO,2,2,8.7,100.0,98.9,27.3,27.3,0,0,0,0.0,20,67.6,68.5,80.3,58.3,60.4,75.1,0,34,0.0,0,0,0,118.8,3,93,94,2,7,3,0,41,15,0.5,13.7
Connor Barwin,4969,ED,PHI,2,0,,,1.9,,,0,0,0,,24,60.5,56.3,83.1,58.7,50.7,72.4,0,,0.0,0,0,0,0.0,0,1,53,1,1,0,0,0,0,0.0,
Mike Mitchell,4970,S,PIT,2,0,12.0,37.5,99.0,32.3,12.1,0,0,2,25.0,25,63.6,63.1,0.0,58.5,67.1,71.9,0,33,11.1,1,2,1,60.9,3,100,101,1,8,8,0,53,2,0.5,17.7
Sean Smith,4984,CB,OAK,2,0,8.8,76.9,100.0,6.2,4.8,0,0,1,7.7,23,36.5,44.7,80.4,,77.8,79.7,0,98,0.0,0,1,0,157.9,10,64,64,1,4,13,3,250,158,4.0,25.0
Sen'Derrick Marks,4985,DI,JAX,2,0,,,3.1,,,0,0,0,,15,59.5,43.4,8.8,47.7,56.3,67.3,0,,,0,0,1,0.0,0,1,32,0,0,0,0,0,0,0.0,
Michael Johnson,4993,ED,CIN,2,0,2.0,0.0,10.3,,6.0,0,0,1,100.0,7,60.6,56.4,42.9,60.2,56.2,39.0,0,,0.0,0,1,1,39.6,0,7,68,0,1,1,0,0,0,0.0,
DeAndre Levy,4999,LB,DET,1,1,6.8,75.0,90.6,15.3,11.5,0,0,0,0.0,11,59.7,52.9,0.0,62.4,52.5,78.4,0,12,0.0,0,0,1,85.4,3,48,53,1,1,4,0,20,19,0.4,6.7
