player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Jordan Wilkins,26618,HB,IND,11,0,14,79.2,0,1,13,12.3,11.7,96.2,0,1,0,13,111,85.6,0,0,6,14.0,13.6,100.0,0,0,6,44
A.J. Derby,9635,TE,MIA,4,0,17,78.9,0,1,13,18.8,17.8,96.2,0,1,0,13,73,75.9,0,1,4,16.0,14.8,87.5,1,0,4,27
Gus Edwards,46027,HB,BLT,7,0,3,47.5,0,2,13,25.5,25.0,92.3,0,2,0,13,52,48.1,0,1,2,15.4,15.4,75.0,1,0,2,13
Jason Croom,12145,TE,BUF,12,0,4,64.8,0,2,13,8.8,8.4,92.3,1,2,0,13,155,69.7,0,0,1,1.4,1.3,100.0,0,0,1,76
Orson Charles,7116,TE,CLV,13,0,8,82.2,0,0,11,28.9,31.0,100.0,0,0,0,13,42,,0,0,0,0.0,0.0,,0,0,0,5
Antonio Gates,1609,TE,LAC,13,0,27,69.3,0,0,11,5.6,5.8,100.0,0,0,0,12,207,63.1,0,0,6,5.7,5.5,100.0,0,0,6,110
Devonta Freeman,8738,HB,ATL,2,0,2,51.9,1,0,12,25.0,24.0,87.5,0,2,1,12,50,22.9,1,0,4,28.6,28.6,62.5,2,1,4,14
Austin Ekeler,12164,HB,LAC,13,0,27,71.0,0,1,11,5.6,5.9,95.5,0,1,0,12,203,84.8,0,0,5,5.8,6.7,100.0,0,0,6,90
Patrick Ricard,48862,FB,BLT,8,0,3,83.3,0,0,9,60.0,64.7,100.0,0,0,0,11,17,,0,0,0,,,,0,0,0,0
Raheem Mostert,9783,HB,SF,8,0,28,75.3,0,0,11,22.9,22.4,100.0,0,0,0,11,49,82.3,0,0,5,29.4,29.4,100.0,0,0,5,17
Robert Woods,7822,WR,LA,13,0,26,78.9,0,0,11,2.2,2.1,100.0,3,0,0,11,530,,0,0,0,0.0,0.0,,0,0,0,229
Rod Smith,9996,HB,DAL,12,0,9,68.4,0,0,10,17.9,18.6,100.0,0,0,0,11,59,50.5,0,0,3,12.5,14.8,100.0,0,0,4,27
Patrick DiMarco,6997,FB,BUF,12,0,4,75.9,0,0,9,25.7,25.6,100.0,0,0,0,10,39,58.1,0,0,3,25.0,25.0,100.0,0,0,3,12
Chase Edmonds,45851,HB,ARZ,13,0,1,49.0,0,1,10,10.8,10.2,85.0,0,2,1,10,98,67.8,0,1,6,15.0,14.3,91.7,1,0,6,42
Rashaad Penny,27414,HB,SEA,11,0,29,70.8,1,0,10,11.8,11.2,95.0,0,1,0,10,89,58.6,1,0,4,13.8,12.9,87.5,1,0,4,31
Rico Gathers,10851,TE,DAL,12,0,9,29.0,0,1,9,20.9,22.2,94.4,0,1,0,10,45,,0,0,0,0.0,0.0,,0,0,0,11
Bradley Sowell,7693,T,CHI,8,0,6,52.2,0,0,7,70.0,76.9,100.0,0,0,0,10,13,,0,0,0,,,,0,0,0,0
Adam Redmond,10915,G,DAL,1,0,9,3.7,1,2,10,100.0,100.0,85.0,0,3,0,10,10,0.0,0,1,3,100.0,100.0,83.3,1,0,3,3
Derek Carrier,7406,TE,OAK,13,0,23,76.2,0,0,9,9.5,10.0,100.0,0,0,0,10,100,69.6,0,0,1,2.3,2.3,100.0,0,0,1,44
Wayne Gallman,11895,HB,NYG,13,0,21,85.5,0,0,8,10.0,11.8,100.0,0,0,0,10,85,81.8,0,0,4,11.1,12.5,100.0,0,0,5,40
Gabe Holmes,9980,TE,ARZ,8,0,1,77.5,0,0,7,26.9,32.1,100.0,0,0,0,9,28,,0,0,0,0.0,0.0,,0,0,0,5
Eric Ebron,8645,TE,IND,13,1,14,72.6,0,0,9,2.3,2.1,100.0,2,0,0,9,421,,0,0,0,0.0,0.0,,0,0,0,211
