player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Colin Kaepernick,6188,QB,SF,6,2.97,2.68,4.21,5.04,216,28,76.5,98,100,6.5,1.95,1,0,0.0,69.0,69,16,8.0,100,46.3,6,30,,,,,85.2,41.2,0.0,,43.4,,,,,,0,3,104,0.0,79.6,0.0,0,0,0,1,2,7,6.7,620,6.2,76.7,73,85,12.3,3.85,0,10,10.8,58.8,50,62,10.7,116,53.7,6,44,,,,,86.7,90.7,81.5,,86.0,,,82.4,,,1,1,129,21.0,118.6,11.2,13,18,0,11,8,2,1.6,836,9.8
Geno Smith,7820,QB,NYJ,6,3.06,2.79,4.62,5.72,215,22,84.7,72,75,4.1,1.85,2,2,2.6,74.7,56,15,8.2,76,35.3,5,23,,,,,83.2,79.1,79.7,,77.4,,,,,,0,0,79,6.7,116.2,1.3,1,0,0,1,6,1,1.3,454,6.1,60.8,97,116,10.5,3.72,3,1,0.8,45.7,53,72,10.2,139,64.7,6,40,,,,,41.3,38.4,81.9,,35.0,,,75.6,,,1,7,144,15.3,39.6,7.9,11,12,0,15,0,10,6.9,685,5.9
Aaron Rodgers,2241,QB,GB,6,2.79,2.56,3.88,5.77,213,12,85.0,107,111,6.3,1.78,2,4,3.5,75.7,84,12,7.7,114,53.5,7,48,,,,,86.1,86.7,81.2,,84.3,,,,,,0,1,118,25.0,119.9,2.6,3,0,0,2,10,2,1.7,759,6.8,62.0,71,78,12.1,3.95,1,9,10.2,48.7,38,51,13.6,99,46.5,6,35,,,,,29.7,79.4,80.9,,75.0,,,79.1,,,1,0,110,23.5,99.3,12.1,12,9,0,5,5,4,3.6,660,8.5
Eli Manning,1722,QB,NYG,6,2.38,2.29,3.08,4.28,209,21,73.7,118,121,7.6,1.8,3,3,2.4,67.8,82,17,5.7,123,58.9,5,42,,,,,86.7,72.1,81.5,,70.9,,,,,,0,3,129,11.8,95.4,1.6,2,0,0,0,7,4,3.1,810,6.7,75.8,66,71,10.3,3.2,0,2,2.5,60.6,43,33,14.0,86,41.1,7,30,,,,,52.9,58.9,80.4,,60.6,,,47.8,,,1,2,96,33.3,89.8,12.8,11,4,0,4,4,4,4.2,515,7.3
Tony Romo,1693,QB,DAL,6,2.72,2.69,3.04,4.1,204,9,74.4,86,87,5.3,1.85,0,1,1.1,70.1,61,13,4.7,88,43.1,3,34,,,,,84.4,68.3,0.0,,68.4,,,,,,0,1,93,7.7,106.5,1.1,1,0,0,1,7,2,2.2,500,5.7,74.0,100,104,12.5,3.39,1,6,5.4,67.3,70,41,5.4,116,56.9,4,47,,,,,86.6,81.8,81.4,,79.8,,,64.0,,,1,4,126,22.0,95.4,7.8,9,3,0,2,4,6,4.8,1010,9.7
Austin Davis,7305,QB,SL,5,2.8,2.73,3.18,4.8,201,26,77.9,68,71,7.5,1.98,1,1,1.4,71.8,51,20,3.8,75,37.3,2,25,,,,,58.2,68.7,79.7,,67.8,,,,,,1,0,79,20.0,99.4,5.3,4,0,0,1,1,2,2.5,558,7.9,67.6,105,112,11.4,3.28,1,3,2.6,59.8,67,63,5.6,126,62.7,4,48,,,,,86.8,59.5,81.6,,59.2,,,60.6,,,2,4,132,17.5,84.9,8.7,11,3,0,4,6,6,4.5,807,7.2
Ryan Tannehill,7014,QB,MIA,5,2.54,2.43,3.55,4.9,200,17,78.5,107,111,5.2,1.91,4,2,1.7,68.5,76,19,9.5,111,55.5,8,40,,,,,86.0,82.2,81.1,,80.2,,,,,,0,1,117,0.0,95.8,0.0,0,0,0,0,4,2,1.7,756,6.8,66.2,65,75,11.8,3.32,3,3,3.7,49.3,37,44,14.0,89,44.5,6,26,,,,,53.2,65.3,80.4,,66.3,,,50.3,,,2,4,96,22.7,60.6,11.2,10,4,0,5,4,6,6.3,393,5.2
Kirk Cousins,7102,QB,WAS,5,2.4,2.37,2.86,5.2,196,32,79.2,101,106,5.1,1.89,4,2,1.8,69.8,74,18,7.5,107,54.6,6,41,,,,,85.7,58.9,81.0,,58.7,,,,,,1,3,112,5.6,100.5,0.9,1,0,0,0,6,3,2.7,843,8.0,68.4,76,82,14.1,3.02,1,9,10.2,51.2,42,31,19.2,89,45.4,10,29,,,,,54.0,64.9,80.4,,66.1,,,46.1,,,0,5,96,19.4,72.6,6.7,6,1,0,5,4,7,7.3,728,8.9
Peyton Manning,327,QB,DEN,5,2.27,2.25,2.98,,194,10,73.4,124,125,6.5,1.77,1,6,4.6,68.0,85,14,6.6,125,64.4,6,47,,,,,86.8,73.6,81.6,,72.3,,,,,,0,2,131,0.0,112.1,0.0,0,0,0,0,12,4,3.1,841,6.7,68.9,61,64,13.9,3.17,1,6,8.7,65.6,42,32,0.0,69,35.6,0,29,,,,,83.0,81.5,79.5,,78.5,,,65.9,,,0,1,75,15.6,110.7,7.2,5,0,0,2,3,3,4.0,689,10.8
Cam Newton,6153,QB,CAR,5,2.7,2.53,2.95,5.73,194,5,73.9,88,91,7.1,1.96,3,3,3.1,64.8,59,19,9.2,93,47.9,6,33,,,,,84.9,78.8,80.5,,77.1,,,,,,0,1,100,10.5,92.2,2.2,2,0,0,0,4,2,2.0,569,6.3,67.9,78,83,11.5,3.39,2,5,5.5,59.0,49,48,7.5,101,52.1,4,34,,,,,85.6,77.6,81.0,,77.2,,,59.4,,,1,1,112,18.8,93.3,8.9,9,9,0,2,3,3,2.7,698,8.4
