player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Montori Hughes,7921,DI,IND,3,0,14,0,1,0,0,0,0,36.7,11,0,0.0,0,0,0,0,100.0,30,30,1,1.7,0,0,1,0,63.3,19,1,2.6,0,1,1,0,1,1
Devin Taylor,7914,ED,DET,4,0,11,1,0,0,1,0,0,69.0,20,1,2.5,0,0,0,0,96.7,29,30,1,1.7,0,0,0,0,31.0,9,0,0.0,0,0,0,0,0,0
Kareem Martin,8719,DI,ARZ,2,0,1,0,1,0,0,0,0,28.1,9,0,0.0,0,0,0,0,94.1,32,34,1,1.6,0,0,1,0,71.9,23,1,2.2,0,0,1,0,0,1
Clifton Geathers,5709,DI,WAS,4,0,32,1,0,0,1,0,0,84.4,27,1,1.9,0,0,0,0,100.0,32,32,1,1.6,0,0,0,0,15.6,5,0,0.0,0,0,0,0,0,0
Corey Lemonier,7869,ED,SF,3,0,28,1,1,0,0,1,0,21.3,13,1,3.8,0,0,0,0,98.4,61,62,2,1.6,0,1,0,0,78.7,48,1,1.0,0,0,2,0,0,2
Dominique Easley,8664,DI,NE,4,0,19,1,1,0,1,0,0,65.4,34,1,1.5,0,0,0,0,98.5,67,68,2,1.5,0,0,1,0,34.6,18,1,2.8,0,0,0,0,0,0
Anthony Johnson,9109,DI,MIA,3,0,17,1,0,0,0,0,0,37.5,12,0,0.0,0,0,0,0,94.6,35,37,1,1.4,0,1,0,0,62.5,20,1,2.5,0,0,0,0,0,0
DeMeco Ryans,2978,LB,PHI,4,0,24,1,0,0,0,0,0,53.8,14,0,0.0,0,0,0,0,23.5,39,166,1,1.3,0,1,0,0,46.2,12,1,4.2,0,0,0,0,0,0
Tony Jerod-Eddie,7432,DI,SF,4,0,28,0,1,0,0,0,0,46.2,18,0,0.0,0,0,0,0,100.0,39,39,1,1.3,0,0,1,0,53.8,21,1,2.4,0,0,0,0,0,0
Desmond Bryant,5204,DI,CLV,2,0,8,0,1,0,0,1,0,23.7,9,1,5.6,0,0,0,0,97.4,38,39,1,1.3,0,0,0,0,76.3,29,0,0.0,0,1,1,0,1,1
Kony Ealy,8695,ED,CAR,3,0,5,1,0,0,1,0,0,76.3,29,1,1.7,0,0,0,0,100.0,38,38,1,1.3,0,0,0,0,23.7,9,0,0.0,0,0,0,0,0,0
DeAngelo Tyson,7220,DI,BLT,4,0,3,0,1,0,0,1,0,62.5,25,1,2.0,0,0,0,0,100.0,41,41,1,1.2,0,0,0,0,37.5,15,0,0.0,0,0,0,0,0,0
Phil Taylor Sr.,6173,DI,CLV,3,0,8,1,0,0,0,0,1,69.8,30,0,0.0,0,0,0,1,97.7,43,44,1,1.2,0,1,0,0,30.2,13,1,3.8,0,1,1,0,1,1
Jarret Johnson,1421,ED,SD,3,0,27,0,1,0,0,1,0,69.8,30,1,1.7,0,0,1,0,61.4,43,70,1,1.2,0,0,0,0,30.2,13,0,0.0,0,0,1,0,0,2
Kamerion Wimbley,2958,ED,TEN,4,1,31,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,63.5,47,74,1,1.1,1,1,0,0,100.0,47,1,1.1,0,0,0,0,0,0
Cedric Thornton,6607,DI,PHI,4,0,24,0,2,0,0,2,0,96.5,82,2,1.2,0,1,2,0,100.0,89,89,2,1.1,0,0,0,0,3.5,3,0,0.0,0,0,0,0,1,2
Pat Sims,4391,DI,OAK,4,0,23,0,1,0,0,1,0,77.4,41,1,1.2,0,0,0,0,100.0,55,55,1,0.9,0,0,0,0,22.6,12,0,0.0,0,1,1,0,1,1
Corbin Bryant,6825,DI,BUF,4,0,4,1,0,0,0,0,0,66.1,39,0,0.0,0,0,1,0,100.0,59,59,1,0.8,0,1,0,0,33.9,20,1,2.5,0,0,0,0,0,1
Brodrick Bunkley,2959,DI,NO,4,0,20,0,1,0,0,0,0,43.2,19,0,0.0,0,0,0,0,100.0,59,59,1,0.8,0,0,1,0,56.8,25,1,2.0,0,0,0,0,0,0
