player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Kirk Cousins,7102,QB,WAS,2,0,32,60.0,100.0,2,3.3,2,60.0,0,93.8,61,65,60.0,100.0,57,93.4,57
Joe Hawley,5641,C,ATL,3,0,2,73.4,100.0,33,54.1,33,56.2,1,100.0,61,61,48.0,100.0,22,36.1,22
Doug Baldwin,6615,WR,SEA,3,0,29,60.0,100.0,1,1.6,1,67.9,0,100.0,61,61,76.7,100.0,55,90.2,55
Zach Miller,3654,TE,SEA,3,0,29,58.8,100.0,1,1.6,1,53.9,1,100.0,61,61,62.6,100.0,50,82.0,50
Matt Ryan,4317,QB,ATL,3,0,2,60.0,100.0,33,54.1,33,60.0,0,100.0,61,61,60.0,100.0,22,36.1,22
Jordy Nelson,4350,WR,GB,3,0,12,59.6,100.0,19,31.1,19,60.7,0,100.0,61,61,60.8,100.0,32,52.5,32
Charles Clay,6326,TE,MIA,3,0,17,66.7,100.0,8,13.3,8,68.0,0,100.0,60,60,62.5,100.0,50,83.3,50
Evan Smith,5390,C,TB,3,0,30,40.9,100.0,21,35.0,21,48.8,1,96.8,60,62,65.2,100.0,32,53.3,32
Dennis Pitta,5638,TE,BLT,3,0,3,45.8,100.0,8,13.3,8,57.4,0,100.0,60,60,63.4,100.0,43,71.7,43
Anquan Boldin,1369,WR,SF,3,0,28,88.9,100.0,27,45.0,27,73.7,1,100.0,60,60,62.1,100.0,29,48.3,29
Aaron Rodgers,2241,QB,GB,3,0,12,60.0,100.0,20,33.3,20,60.0,0,95.2,60,63,60.0,100.0,32,53.3,32
Amini Silatolu,7044,G,CAR,3,0,5,50.8,100.0,32,54.2,32,46.0,0,100.0,59,59,58.1,100.0,22,37.3,22
Brandon Myers,5126,TE,TB,3,0,30,59.3,100.0,20,34.5,20,57.6,0,100.0,58,58,52.8,100.0,29,50.0,29
Andre Roberts,5612,WR,WAS,3,0,32,60.0,100.0,1,1.8,1,59.5,0,98.3,57,58,62.4,100.0,53,93.0,53
Michael Floyd,7019,WR,ARZ,3,0,1,88.2,100.0,26,45.6,26,90.0,0,100.0,57,57,70.9,100.0,21,36.8,21
Markus Wheaton,7860,WR,PIT,3,0,25,72.5,100.0,24,42.9,24,68.4,0,96.6,56,58,61.2,100.0,27,48.2,27
Niles Paul,6307,TE,WAS,3,0,32,60.1,100.0,2,3.6,2,56.8,0,100.0,55,55,56.6,100.0,47,85.5,47
Julio Jones,6158,WR,ATL,3,0,2,71.8,100.0,27,49.1,27,76.2,0,100.0,55,55,62.0,100.0,22,40.0,22
Mike Wallace,5007,WR,MIA,3,0,17,60.4,100.0,7,12.7,7,63.0,0,98.2,55,56,63.1,100.0,47,85.5,47
Colin Kaepernick,6188,QB,SF,3,0,28,60.0,94.4,34,63.0,36,60.0,0,76.1,54,71,60.0,62.1,18,33.3,29
Reggie Wayne,800,WR,IND,3,0,14,61.4,100.0,27,50.0,27,61.7,0,100.0,54,54,62.8,100.0,22,40.7,22
Donald Penn,3459,T,OAK,3,0,23,66.4,100.0,30,55.6,30,67.9,0,100.0,54,54,67.5,100.0,21,38.9,21
Mike Pollak,4373,G,CIN,2,0,7,79.6,100.0,24,44.4,24,65.9,0,100.0,54,54,54.0,100.0,25,46.3,25
Austin Howard,5847,G,OAK,3,0,23,59.4,100.0,30,55.6,30,64.0,0,100.0,54,54,64.0,100.0,21,38.9,21
Andrew Hawkins,6125,WR,CLV,3,0,8,59.8,100.0,5,9.3,5,56.1,0,100.0,54,54,70.8,100.0,48,88.9,48
Gabe Carimi,6181,T,ATL,3,0,2,60.5,100.0,26,48.1,26,61.8,0,100.0,54,54,55.6,100.0,24,44.4,24
Stefen Wisniewski,6200,C,OAK,3,0,23,65.2,100.0,30,55.6,30,68.6,1,100.0,54,54,65.0,100.0,21,38.9,21
Nate Chandler,7521,T,CAR,3,0,5,47.9,100.0,30,55.6,30,51.5,0,100.0,54,54,59.6,100.0,18,33.3,18
Gabe Jackson,8716,G,OAK,3,0,23,59.4,100.0,30,55.6,30,51.3,1,100.0,54,54,44.8,100.0,21,38.9,21
Shelley Smith,5710,G,MIA,2,0,17,71.3,100.0,9,17.0,9,66.2,0,100.0,53,53,62.7,100.0,42,79.2,42
Brandon Linder,8728,G,JAX,3,0,15,46.6,100.0,12,22.6,12,47.9,0,100.0,53,53,56.5,100.0,39,73.6,39
Luke Joeckel,7784,T,JAX,3,0,15,48.1,100.0,12,22.6,12,51.2,0,100.0,53,53,54.3,100.0,39,73.6,39
Golden Tate,5585,WR,DET,3,0,11,52.6,100.0,20,37.7,20,41.7,0,98.1,53,54,56.5,100.0,32,60.4,32
Zane Beadles,5570,G,JAX,3,0,15,58.6,100.0,12,22.6,12,45.3,0,100.0,53,53,42.7,100.0,39,73.6,39
Jermon Bushrod,3741,T,CHI,3,0,6,72.0,100.0,26,50.0,26,69.8,0,100.0,52,52,63.7,100.0,14,26.9,14
Miles Austin,3211,WR,CLV,3,0,8,60.3,100.0,3,5.8,3,57.8,0,100.0,52,52,58.0,100.0,45,86.5,45
Kyle Juszczyk,7912,FB,BLT,3,0,3,56.9,100.0,4,7.7,4,60.4,0,100.0,52,52,63.6,100.0,39,75.0,39
Eric Decker,5611,WR,NYJ,3,0,22,59.4,100.0,13,25.0,13,61.8,0,100.0,52,52,63.2,100.0,36,69.2,36
Jared Cook,5012,TE,SL,3,0,26,49.6,100.0,17,32.7,17,55.8,0,98.1,52,53,72.6,100.0,27,51.9,27
Khalif Barnes,2269,T,OAK,3,0,23,57.6,100.0,29,55.8,29,61.4,0,100.0,52,52,66.0,100.0,21,40.4,21
Jordan Mills,7945,T,CHI,3,0,6,55.5,100.0,26,50.0,26,48.8,0,100.0,52,52,42.2,100.0,14,26.9,14
Kyle Long,7801,G,CHI,3,0,6,78.6,100.0,26,50.0,26,66.8,0,100.0,52,52,52.3,100.0,14,26.9,14
Coby Fleener,7038,TE,IND,3,0,14,54.7,100.0,26,50.0,26,58.0,0,100.0,52,52,56.1,100.0,22,42.3,22
Brandon LaFell,5602,WR,NE,3,0,19,58.6,100.0,26,50.0,26,57.2,0,100.0,52,52,57.2,100.0,17,32.7,17
Derek Carr,8671,QB,OAK,3,0,23,60.7,100.0,30,58.8,30,60.9,0,94.4,51,54,60.2,95.2,20,39.2,21
Calvin Johnson,3618,WR,DET,3,0,11,63.8,100.0,21,41.2,21,64.3,0,100.0,51,51,64.3,100.0,25,49.0,25
Kelvin Benjamin,8663,WR,CAR,3,0,5,80.0,100.0,26,51.0,26,64.7,2,100.0,51,51,63.1,100.0,21,41.2,21
Dennis Kelly,7146,G,PHI,2,0,24,64.0,100.0,8,15.7,8,62.1,1,100.0,51,51,60.8,100.0,41,80.4,41
C.J. Fiedorowicz,8700,TE,HST,2,0,13,70.3,100.0,6,12.0,6,67.8,0,100.0,50,50,64.8,100.0,39,78.0,39
Donnie Avery,4347,WR,KC,3,0,16,61.0,100.0,17,34.0,17,59.8,0,100.0,50,50,59.8,100.0,32,64.0,32
Torrey Smith,6210,WR,BLT,3,0,3,60.5,100.0,7,14.0,7,69.0,0,100.0,50,50,70.1,100.0,38,76.0,38
Drew Stanton,3659,QB,ARZ,2,0,1,60.0,100.0,25,50.0,25,60.0,0,89.3,50,56,60.0,100.0,16,32.0,16
Cory Harkey,7306,FB,SL,3,0,26,77.1,100.0,20,40.0,20,71.6,1,100.0,50,50,63.5,100.0,23,46.0,23
Ryan Hewitt,9107,FB,CIN,3,0,7,54.8,100.0,18,36.7,18,59.8,0,98.0,49,50,66.0,100.0,24,49.0,24
Vernon Davis,2951,TE,SF,2,0,28,60.1,100.0,27,55.1,27,60.0,1,100.0,49,49,59.6,100.0,18,36.7,18
Matt Cassel,2447,QB,MIN,3,0,18,60.0,100.0,26,53.1,26,60.0,0,89.1,49,55,60.0,100.0,18,36.7,18
