player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Ryan Tannehill,7014,QB,TEN,1,2.47,2.34,2.73,3.85,43,31,70.6,17,20,7.9,1.95,2,2,9.5,55.0,11,5,8.3,21,48.8,1,7,,,,,23.7,62.0,75.0,61.7,,,,1,0,22,20.0,86.0,4.8,1,0,0,0,1,1,4.5,103,5.2,66.7,15,15,7.7,2.96,0,0,0.0,66.7,10,12,0.0,22,51.2,0,6,,,,,75.4,64.5,75.0,59.8,,70.1,,0,1,22,41.7,60.1,22.7,5,2,0,0,0,0,0.0,109,7.3
Zach Wilson,82096,QB,NYJ,1,2.84,2.68,3.87,,43,22,93.8,16,17,2.9,1.77,1,0,0.0,70.6,12,7,20.0,20,46.5,3,4,,,,,75.9,70.8,75.2,69.9,,,,0,0,23,42.9,103.8,15.0,3,0,0,0,1,0,0.0,95,5.6,55.6,18,20,17.3,3.78,1,1,5.0,40.0,8,15,20.0,23,53.5,2,6,,,,,24.0,53.5,75.2,53.8,,,,0,1,23,20.0,65.2,13.0,3,0,0,1,1,3,13.0,163,8.2
Daniel Jones,39395,QB,NYG,1,2.57,2.42,2.6,3.95,42,21,66.7,24,24,6.8,2.0,0,0,0.0,58.3,14,4,12.5,25,59.5,2,8,,,,,76.6,59.2,75.6,59.2,,,,0,0,26,25.0,71.5,4.0,1,0,0,0,0,1,3.8,120,5.0,75.0,12,12,12.3,3.41,0,1,7.7,66.7,8,7,11.1,17,40.5,1,6,,,,,22.4,68.4,74.3,83.1,,34.8,,0,0,18,14.3,136.5,5.9,1,4,0,0,1,1,5.6,147,12.3
Patrick Mahomes,11765,QB,KC,1,2.64,2.4,2.65,5.47,41,16,90.9,22,23,4.2,1.76,1,1,4.3,87.0,20,6,0.0,24,58.5,0,11,,,,,76.1,82.7,75.3,80.8,,,,0,0,24,16.7,125.0,4.2,1,0,0,0,2,1,4.2,162,7.0,63.6,11,13,20.6,3.88,0,0,0.0,53.8,7,11,0.0,17,41.5,0,8,,,,,75.4,72.4,74.9,64.2,,80.4,,0,0,21,9.1,124.7,5.9,1,3,0,2,1,0,0.0,175,13.5
Teddy Bridgewater,8667,QB,DEN,1,3.05,2.81,3.75,5.43,41,10,83.3,12,12,6.3,1.93,0,0,0.0,75.0,9,3,10.0,12,29.3,1,5,,,,,72.4,74.3,72.9,73.0,,,,0,0,12,0.0,94.1,0.0,0,0,0,0,0,0,0.0,85,7.1,90.9,22,24,10.0,3.51,1,1,4.2,79.2,19,19,5.0,29,70.7,1,13,,,,,77.2,85.3,76.0,84.7,,60.9,,0,0,29,10.5,125.5,6.9,2,3,0,1,2,1,3.4,179,7.5
Mac Jones,60323,QB,NE,1,2.39,2.36,3.3,,40,19,85.7,21,23,5.2,1.73,2,1,4.2,73.9,17,5,5.6,23,57.5,1,8,,,,,76.1,73.5,75.3,72.3,,,,0,0,24,0.0,89.6,0.0,0,0,0,0,0,0,0.0,143,6.2,80.0,15,16,8.2,3.27,0,3,16.7,75.0,12,9,0.0,17,42.5,0,7,,,,,21.2,76.1,74.7,74.7,,,,0,0,20,11.1,121.4,5.9,1,0,0,1,1,1,5.0,138,8.6
Matt Ryan,4317,QB,ATL,1,2.58,2.52,2.5,4.8,39,2,75.0,16,17,4.9,2.07,0,0,0.0,70.6,12,6,0.0,18,46.2,0,5,,,,,75.1,70.3,74.7,69.4,,,,1,0,20,16.7,84.4,5.6,1,0,0,0,0,0,0.0,96,5.6,68.8,16,18,5.5,3.01,0,0,0.0,50.0,9,10,18.2,21,53.8,2,3,,,,,76.1,53.5,75.3,51.4,,63.9,,0,0,24,20.0,59.5,9.5,2,1,0,2,0,1,4.2,68,3.8
Lamar Jackson,46416,QB,BLT,1,3.11,2.82,3.13,4.55,39,3,46.2,13,14,7.2,2.01,0,0,0.0,42.9,6,4,0.0,14,35.9,0,2,,,,,73.5,55.8,73.7,56.0,,,,1,0,15,0.0,50.3,0.0,0,0,0,0,0,0,0.0,32,2.3,100.0,14,16,9.0,3.72,0,2,12.5,81.3,13,14,7.1,25,64.1,1,12,,,,,16.6,69.1,75.5,72.6,,56.8,,1,0,25,21.4,139.6,12.0,3,6,0,1,1,2,8.0,203,12.7
Jalen Hurts,40291,QB,PHI,1,2.84,2.62,4.7,4.77,38,24,84.2,19,20,0.5,1.9,1,1,5.0,80.0,16,1,0.0,20,52.6,0,6,,,,,74.8,70.9,74.7,69.9,,,,0,0,20,0.0,126.3,0.0,0,0,0,0,2,0,0.0,126,6.3,100.0,11,14,9.0,3.89,1,1,6.7,78.6,11,8,0.0,18,47.4,0,9,,,,,75.1,93.8,74.7,91.9,,75.6,,0,0,20,12.5,131.5,5.6,1,3,0,2,1,0,0.0,138,9.9
Tyrod Taylor,6332,QB,HST,1,2.84,2.6,6.7,4.13,37,13,72.7,22,22,4.3,1.87,0,1,4.3,68.2,15,6,6.3,22,59.5,1,9,,,,,75.9,60.4,75.2,60.2,,,,0,0,23,0.0,115.9,0.0,0,0,0,0,2,1,4.3,141,6.4,60.0,10,11,21.5,4.26,0,2,15.4,54.5,6,12,0.0,15,40.5,0,5,,,,,73.9,79.0,74.1,75.9,,67.1,,0,0,17,8.3,99.6,6.7,1,3,0,1,0,0,0.0,150,13.6
Kyler Murray,38334,QB,ARZ,1,2.91,2.87,4.35,4.2,36,1,78.9,19,19,5.3,1.76,0,3,15.0,78.9,15,2,0.0,19,52.8,0,9,,,,,75.1,80.2,74.7,78.5,,,,0,0,20,0.0,149.0,0.0,0,0,0,0,3,0,0.0,195,10.3,60.0,10,13,16.2,4.44,0,3,23.1,46.2,6,7,0.0,16,44.4,0,5,,,,,73.9,77.5,73.9,73.4,,64.4,,0,1,16,28.6,64.3,12.5,2,1,0,3,1,1,6.3,94,7.2
Sam Darnold,29048,QB,CAR,1,2.46,2.45,2.7,,36,5,70.8,24,24,8.6,1.97,0,2,8.3,62.5,15,5,11.8,24,66.7,2,9,,,,,76.1,77.4,75.3,75.9,,,,0,0,24,0.0,78.6,0.0,0,0,0,0,0,0,0.0,141,5.9,100.0,9,11,6.9,3.44,0,1,8.3,81.8,9,7,0.0,12,33.3,0,5,,,,,72.8,77.7,73.2,76.3,,,,0,0,13,14.3,149.1,8.3,1,0,0,2,1,0,0.0,138,12.5
Ben Roethlisberger,1732,QB,PIT,1,2.25,2.13,2.9,4.8,35,25,59.1,22,23,6.0,1.77,1,0,0.0,56.5,13,3,0.0,23,65.7,0,6,,,,,76.1,51.0,75.3,51.6,,,,0,0,24,0.0,86.3,0.0,0,0,0,0,1,0,0.0,125,5.4,55.6,9,9,6.6,3.16,0,0,0.0,55.6,5,4,0.0,12,34.3,0,3,,,,,20.7,28.8,73.5,29.7,,58.3,,0,0,14,50.0,77.5,16.7,2,1,0,0,0,2,14.3,63,7.0
Baker Mayfield,46518,QB,CLV,1,2.82,2.8,2.45,4.1,31,8,100.0,11,11,1.4,1.76,0,0,0.0,100.0,11,2,0.0,12,38.7,0,8,,,,,72.4,66.4,72.9,65.8,,,,0,0,12,50.0,116.3,8.3,1,0,0,0,0,0,0.0,131,11.9,68.8,16,17,16.1,3.49,0,3,16.7,58.8,10,7,9.1,19,61.3,1,6,,,,,75.1,76.1,74.7,76.2,,58.3,,0,1,20,14.3,73.2,5.3,1,1,0,1,0,1,5.0,190,11.2
Joe Burrow,28022,QB,CIN,1,2.43,2.34,2.9,,31,7,71.4,14,14,7.1,1.92,0,1,7.1,71.4,10,3,0.0,16,51.6,0,6,,,,,73.9,68.2,73.9,67.4,,,,0,0,16,66.7,127.7,12.5,2,0,0,0,1,0,0.0,142,10.1,83.3,12,12,10.8,2.97,0,0,0.0,83.3,10,8,0.0,15,48.4,0,6,,,,,73.9,65.5,73.9,64.9,,,,0,0,16,37.5,135.8,20.0,3,0,0,0,1,1,6.3,119,9.9
Tua Tagovailoa,60326,QB,MIA,1,2.5,2.39,3.95,,29,17,75.0,16,16,8.4,1.76,0,0,0.0,75.0,12,1,0.0,16,55.2,0,7,,,,,73.9,62.1,73.9,61.8,,,,0,0,16,0.0,127.3,0.0,0,0,0,0,1,0,0.0,161,10.1,54.5,11,11,12.6,3.41,0,1,8.3,36.4,4,7,33.3,13,44.8,2,2,,,,,73.2,48.4,73.5,49.2,,,,0,1,14,28.6,10.0,15.4,2,0,0,0,0,2,14.3,41,3.7
Aaron Rodgers,2241,QB,GB,1,2.89,2.86,3.6,,29,12,84.6,13,13,2.5,1.82,0,0,0.0,84.6,11,1,0.0,13,44.8,0,3,,,,,73.9,54.9,73.9,55.1,,,,0,0,16,0.0,86.9,0.0,0,0,0,0,0,0,0.0,63,4.8,54.5,11,15,13.3,3.76,0,1,6.3,26.7,4,9,33.3,16,55.2,2,3,,,,,74.2,38.4,74.1,40.0,,,,1,2,17,11.1,6.9,6.3,1,0,0,3,0,2,11.8,70,4.7
Russell Wilson,7077,QB,SEA,1,2.75,2.48,3.37,4.9,28,29,83.3,12,13,6.6,2.09,0,1,7.1,76.9,10,7,0.0,15,53.6,0,6,,,,,73.9,60.1,73.9,60.0,,,,0,0,16,28.6,121.3,13.3,2,0,0,1,1,0,0.0,92,7.1,88.9,9,10,16.7,3.5,0,2,20.0,80.0,8,6,0.0,13,46.4,0,7,,,,,72.8,92.2,73.2,92.3,,60.6,,0,0,13,16.7,158.3,7.7,1,2,0,1,3,0,0.0,162,16.2
Matthew Stafford,4924,QB,LA,1,2.42,2.37,3.6,,27,26,73.3,15,16,5.1,1.74,1,0,0.0,68.8,11,1,0.0,16,59.3,0,5,,,,,73.9,50.9,73.9,51.5,,,,0,0,16,0.0,83.1,0.0,0,0,0,0,0,0,0.0,91,5.7,90.0,10,10,18.0,3.41,0,3,27.3,90.0,9,6,0.0,11,40.7,0,8,,,,,72.4,94.8,72.9,93.5,,,,0,0,12,16.7,158.3,9.1,1,0,0,0,3,0,0.0,230,23.0
Jimmy Garoppolo,8697,QB,SF,1,2.39,2.29,2.5,4.6,26,28,78.6,14,14,5.4,1.66,0,0,0.0,71.4,10,2,9.1,14,53.8,1,7,,,,,73.2,67.3,73.5,66.6,,,,0,0,14,0.0,137.5,0.0,0,0,0,0,1,0,0.0,184,13.1,87.5,8,10,11.0,3.23,0,0,0.0,70.0,7,5,0.0,12,46.2,0,5,,,,,72.4,75.4,72.9,76.4,,58.3,,0,0,12,20.0,112.5,8.3,1,1,0,2,0,0,0.0,130,13.0
Jameis Winston,9434,QB,NO,1,3.13,2.88,,4.83,23,20,87.5,8,8,3.3,1.91,0,0,0.0,87.5,7,1,0.0,8,34.8,0,3,,,,,70.3,54.7,71.5,55.0,,,,0,0,8,0.0,128.6,0.0,0,0,0,0,2,0,0.0,43,5.4,80.0,10,12,13.4,3.78,0,1,7.7,58.3,7,7,12.5,15,65.2,1,9,,,,,73.9,93.4,73.9,90.2,,80.4,,1,0,16,0.0,126.7,0.0,0,3,0,1,3,0,0.0,105,8.8
Taylor Heinicke,9896,QB,WAS,1,2.88,2.53,,4.67,18,32,85.7,7,8,1.4,1.93,0,0,0.0,62.5,5,4,16.7,8,44.4,1,1,,,,,71.4,50.7,72.3,51.3,,,,0,0,10,0.0,66.7,0.0,0,0,0,1,0,0,0.0,20,2.5,85.7,7,7,14.3,3.65,0,0,0.0,85.7,6,2,0.0,10,55.6,0,6,,,,,71.9,47.4,72.6,53.6,,49.1,,0,0,11,0.0,158.3,0.0,0,3,0,0,1,0,0.0,102,14.6
Jordan Love,40306,QB,GB,1,2.53,2.47,2.9,,8,12,75.0,4,4,5.8,1.65,0,0,0.0,75.0,3,0,0.0,4,50.0,0,1,,,,,66.9,82.7,69.2,80.7,,,,0,0,4,,82.3,0.0,0,0,0,0,0,0,0.0,17,4.3,66.7,3,3,22.7,3.4,0,1,33.3,66.7,2,1,0.0,4,50.0,0,2,,,,,14.5,62.9,69.2,62.6,,,,0,0,4,100.0,109.7,25.0,1,0,0,0,0,1,25.0,51,17.0
Ryan Fitzpatrick,2467,QB,WAS,1,2.59,2.33,2.7,4.0,8,32,100.0,3,4,3.3,1.78,0,0,0.0,50.0,2,2,33.3,4,50.0,1,0,,,,,66.9,61.1,69.2,60.9,,,,1,0,4,0.0,56.3,0.0,0,0,0,0,0,0,0.0,11,2.8,50.0,2,2,4.5,3.4,0,0,0.0,50.0,1,3,0.0,4,50.0,0,0,,,,,66.9,31.3,69.9,37.0,,55.7,,0,0,5,33.3,56.3,25.0,1,1,0,0,0,1,20.0,2,1.0
Justin Fields,82118,QB,CHI,1,1.75,1.75,,,2,6,100.0,2,2,3.0,1.75,0,0,0.0,100.0,2,1,0.0,2,100.0,0,0,,,,,63.6,62.0,66.9,61.8,,,,0,0,2,0.0,87.5,0.0,0,0,0,0,0,0,0.0,10,5.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Trey Lance,91399,QB,SF,1,2.6,2.6,,,1,28,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,3.0,2.6,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,,60.4,60.3,64.6,60.1,,,,0,0,1,,127.1,0.0,0,0,0,0,1,0,0.0,5,5.0
Jarvis Landry,8698,WR,CLV,1,6.5,,,6.5,1,8,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,6.5,0,0,,,0,0,,1,100.0,0,1,,,,,60.4,75.2,63.6,,,64.0,,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,
Matthias Farley,10953,S,TEN,1,1.6,1.6,,,1,31,100.0,1,1,4.0,1.6,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,,60.4,54.6,65.7,56.3,,,,0,0,1,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Taysom Hill,12112,QB,NO,1,2.4,2.4,,,1,20,100.0,1,1,0.0,2.4,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,,60.4,60.2,64.6,60.0,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Justin Jefferson,61398,WR,MIN,1,5.1,5.1,,,1,18,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,10.0,5.1,0,0,0.0,100.0,1,1,0.0,1,100.0,0,1,,,,,60.4,78.4,64.9,68.8,,,,0,0,1,0.0,112.5,0.0,0,0,0,0,0,0,0.0,11,11.0
