player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Mac Jones,60323,QB,NE,7,2.55,2.51,2.79,4.44,266,19,84.7,124,128,4.9,1.84,3,2,1.5,78.9,101,29,3.8,134,50.4,4,48,,,,,87.1,88.1,81.7,,85.8,,,,,0,2,137,20.7,102.6,4.5,6,0,0,1,5,0,0.0,903,7.1,70.4,108,118,11.1,3.3,0,9,6.9,61.9,73,53,3.9,131,49.2,3,37,,,,,36.1,71.5,23.1,,70.4,,67.3,,,2,4,145,15.1,81.7,6.1,8,5,0,8,4,8,5.5,876,7.4
Ryan Tannehill,7014,QB,TEN,7,2.53,2.43,2.7,4.32,260,31,79.2,120,126,6.9,1.95,5,6,4.6,69.8,88,29,7.4,134,51.5,7,46,,,,,63.1,85.3,81.8,,83.1,,,,,1,1,138,27.6,101.8,6.0,8,0,0,0,6,1,0.7,874,6.9,76.1,88,102,10.7,3.16,0,5,4.3,59.8,61,59,9.0,126,48.5,6,49,,,,,87.2,87.6,81.8,,80.6,,90.3,,,6,4,140,22.0,74.1,10.3,13,11,0,8,1,4,2.9,863,8.5
Teddy Bridgewater,8667,QB,DEN,7,2.88,2.72,3.54,5.33,259,10,82.8,99,103,6.4,1.94,3,2,1.9,76.7,79,17,3.7,104,40.2,3,39,,,,,85.4,80.3,80.8,,78.6,,,,,0,0,107,5.9,114.7,1.0,1,0,0,1,6,1,0.9,725,7.0,74.4,117,128,11.9,3.51,2,5,3.7,64.8,83,80,4.6,155,59.8,4,51,,,,,66.9,66.6,82.4,,67.5,,52.2,,,2,5,162,21.3,87.2,11.0,17,10,0,7,6,8,4.9,976,7.6
Matt Ryan,4317,QB,ATL,6,2.57,2.51,3.09,5.05,256,2,78.5,135,140,6.0,1.96,3,3,2.0,72.1,101,38,4.7,141,55.1,5,50,,,,,87.7,81.9,82.0,,79.9,,,,,1,3,148,2.6,95.7,0.7,1,0,0,1,6,2,1.4,944,6.7,72.6,95,103,9.2,3.33,3,8,7.1,63.1,65,50,5.8,115,44.9,4,35,,,,,34.6,81.8,81.4,,81.9,,48.6,,,1,1,125,16.0,99.3,7.0,8,4,0,4,6,4,3.2,724,7.0
Josh Allen,46601,QB,BUF,6,2.88,2.73,3.71,4.77,255,4,82.3,96,99,4.3,1.79,3,2,1.9,76.8,76,12,3.8,99,38.8,3,30,,,,,85.1,70.2,80.6,,69.2,,,,,0,2,103,0.0,93.8,0.0,0,0,0,0,4,3,2.9,540,5.5,68.4,114,131,14.9,3.59,3,15,10.9,55.7,73,83,6.4,155,60.8,5,63,,,,,67.2,84.1,82.4,,81.9,,69.3,,,1,1,164,9.6,111.0,5.2,8,16,0,13,11,7,4.3,1183,9.0
Matthew Stafford,4924,QB,LA,7,2.54,2.47,3.27,4.8,253,26,83.2,125,126,4.2,1.76,1,2,1.5,77.0,97,17,6.7,128,50.6,7,51,,,,,62.1,62.5,81.6,,62.1,,,,,0,0,133,11.8,120.9,1.6,2,0,0,0,10,3,2.3,853,6.8,70.0,110,115,14.7,3.34,1,11,9.1,60.9,70,43,9.1,125,49.4,7,56,,,,,86.8,90.8,81.6,,88.7,,72.8,,,2,4,131,11.6,112.2,4.0,5,5,0,2,9,2,1.5,1319,11.5
Kyler Murray,38334,QB,ARZ,7,2.83,2.63,3.94,5.56,253,1,86.7,113,116,4.8,1.76,0,10,8.3,81.9,95,11,3.1,117,46.2,3,47,,,,,86.3,91.6,81.3,,90.6,,,,,0,2,121,9.1,116.7,0.9,1,0,0,3,8,1,0.8,953,8.2,77.2,92,107,12.7,3.81,4,12,10.6,64.5,69,60,2.8,134,53.0,2,49,,,,,87.5,85.9,81.9,,82.9,,71.8,,,0,3,143,25.0,113.0,11.2,15,12,0,11,9,3,2.1,1049,9.8
Kirk Cousins,7102,QB,MIN,6,2.46,2.42,3.18,4.36,252,18,86.9,122,135,5.2,1.85,6,5,3.5,73.3,99,28,6.6,136,54.0,7,43,,,,,87.5,90.3,81.9,,88.3,,,,,4,0,143,3.6,110.6,0.7,1,0,0,3,8,1,0.7,895,6.6,79.1,91,101,9.9,3.23,0,4,3.7,66.3,67,47,6.9,114,45.2,5,42,,,,,33.8,85.7,14.0,,83.5,,71.4,,,3,2,123,17.0,101.7,7.0,8,5,0,7,5,3,2.4,874,8.7
Ben Roethlisberger,1732,QB,PIT,6,2.29,2.19,3.87,4.2,249,25,80.8,156,161,5.2,1.79,4,4,2.3,72.7,117,20,7.1,162,65.1,9,58,,,,,64.2,68.4,82.6,,67.4,,,,,0,1,173,5.0,97.1,0.6,1,0,0,1,5,2,1.2,1032,6.4,61.4,70,74,11.7,3.23,1,6,7.8,48.6,36,35,16.3,87,34.9,7,19,,,,,20.3,41.0,80.1,,41.8,,61.2,,,2,3,90,31.4,61.9,12.6,11,2,0,1,2,10,11.1,483,6.5
Carson Wentz,10636,QB,IND,7,2.79,2.63,3.14,5.18,246,14,76.0,100,107,4.8,1.86,2,2,1.8,64.5,69,21,9.2,109,44.3,7,29,,,,,57.8,62.4,81.0,,62.0,,,,,2,1,113,9.5,91.4,1.8,2,0,0,3,5,2,1.8,613,5.7,78.4,97,112,11.0,3.53,0,9,7.1,64.3,72,76,5.3,137,55.7,4,46,,,,,61.4,83.4,82.2,,80.1,,73.6,,,6,0,156,17.1,113.8,9.5,13,12,0,9,6,2,1.3,1082,9.7
Aaron Rodgers,2241,QB,GB,7,2.68,2.52,3.27,5.76,242,12,79.3,121,125,5.9,1.72,2,6,4.5,76.8,96,9,0.0,127,52.5,0,52,,,,,87.1,76.3,81.7,,74.8,,,,,0,0,136,22.2,124.2,1.6,2,0,0,2,11,1,0.7,863,6.9,70.7,82,93,13.2,3.73,0,8,8.2,59.1,55,58,5.2,115,47.5,3,42,,,,,86.2,79.8,81.2,,77.4,,68.9,,,2,3,120,24.1,90.2,12.2,14,8,0,9,4,5,4.2,847,9.1
Trevor Lawrence,77632,QB,JAX,6,2.83,2.67,3.77,5.26,237,15,81.1,95,100,5.7,1.91,2,4,4.0,73.0,73,22,5.2,102,43.0,4,30,,,,,55.0,70.6,80.6,,69.6,,,,,0,2,103,9.1,96.0,2.0,2,0,0,3,4,3,2.9,673,6.7,60.8,102,115,12.1,3.55,0,6,4.5,48.7,56,62,9.7,134,56.5,6,39,,,,,87.9,45.8,82.1,,45.3,,63.5,,,5,6,152,12.9,58.3,6.0,8,11,0,8,3,9,5.9,792,6.9
Dak Prescott,10769,QB,DAL,6,2.6,2.5,3.38,4.8,236,9,80.4,112,114,4.7,1.8,2,2,1.7,76.3,87,21,3.3,115,48.7,3,48,,,,,86.3,77.0,81.3,,75.4,,,,,0,2,122,4.8,103.6,0.9,1,0,0,0,6,2,1.6,757,6.6,77.4,93,102,12.4,3.41,1,13,11.0,69.6,71,44,1.4,119,50.4,1,48,,,,,62.5,90.8,81.7,,90.5,,59.5,,,3,2,136,18.2,127.7,6.7,8,9,0,5,10,4,2.9,1056,10.4
Joe Burrow,28022,QB,CIN,7,2.61,2.49,3.29,4.69,234,7,80.7,119,123,6.9,1.97,4,5,4.0,74.8,92,20,4.2,127,54.3,4,45,,,,,86.7,85.5,81.5,,83.3,,,,,0,3,128,20.0,114.2,3.1,4,0,0,0,8,3,2.3,1131,9.2,71.6,81,87,12.0,3.37,1,8,8.6,62.1,54,50,6.9,107,45.7,4,38,,,,,86.0,80.2,81.1,,78.9,,63.4,,,0,5,116,26.0,103.9,12.1,13,7,0,5,9,6,5.2,825,9.5
Zach Wilson,82096,QB,NYJ,6,3.1,2.96,3.9,5.63,205,22,88.7,62,64,3.8,1.85,2,0,0.0,76.6,49,10,10.9,67,32.7,6,17,,,,,82.6,75.5,79.3,,74.1,,,,,0,0,71,30.0,94.2,4.5,3,0,0,0,1,0,0.0,355,5.5,59.8,107,117,12.2,3.71,1,8,6.3,47.0,55,75,14.1,138,67.3,9,34,,,,,64.6,49.0,82.0,,48.9,,63.1,,,2,9,148,22.7,46.7,12.3,17,4,0,7,3,11,7.4,813,6.9
Baker Mayfield,46518,QB,CLV,6,2.99,2.65,3.51,6.06,205,8,82.9,82,85,3.9,1.86,3,3,3.4,78.8,67,11,1.5,90,43.9,1,37,,,,,84.5,75.3,80.3,,73.9,,,,,0,0,94,45.5,114.5,5.6,5,0,0,0,4,0,0.0,656,7.7,67.5,80,86,15.4,3.87,1,7,7.7,57.0,49,49,9.3,115,56.1,5,35,,,,,26.1,62.4,13.5,,66.0,,50.6,,,0,3,122,26.5,82.4,11.3,13,16,0,5,2,6,4.9,818,9.5
Davis Mills,52269,QB,HST,6,2.51,2.42,3.28,4.45,187,13,82.8,99,103,4.5,1.81,3,0,0.0,75.7,78,12,4.9,106,56.7,4,31,,,,,28.8,68.5,80.9,,67.6,,,,,0,3,111,25.0,85.0,2.8,3,0,0,1,3,3,2.7,549,5.3,63.2,57,67,14.0,3.44,1,4,5.2,49.3,33,40,8.3,81,43.3,3,16,,,,,53.2,42.4,80.4,,44.4,,51.0,,,3,4,96,30.0,59.2,14.8,12,2,0,6,2,6,6.3,498,7.4
Jacoby Brissett,10725,QB,MIA,5,2.84,2.63,4.02,5.03,183,17,77.1,83,85,4.2,1.86,0,0,0.0,67.1,57,18,10.9,87,47.5,7,22,,,,,84.0,68.0,80.1,,67.1,,,,,2,2,89,11.1,72.8,2.3,2,0,0,0,1,2,2.2,423,5.0,76.9,65,73,10.8,3.8,0,6,7.1,64.4,47,57,6.0,94,51.4,3,29,,,,,29.4,77.7,80.8,,76.1,,65.7,,,4,0,106,17.5,95.7,10.6,10,11,0,4,3,5,4.7,460,6.3
Jameis Winston,9434,QB,NO,6,3.08,2.91,3.07,5.6,176,20,90.9,55,58,2.4,1.96,1,2,3.4,81.0,47,13,6.0,60,34.1,3,28,,,,,81.6,70.5,78.7,,69.5,,,,,0,0,61,15.4,135.8,3.3,2,0,0,2,6,1,1.6,482,8.3,60.3,78,93,15.4,3.73,3,9,9.1,45.2,42,62,10.6,114,64.8,5,34,,,,,33.8,69.6,81.3,,63.3,,84.7,,,5,3,121,12.9,79.7,7.0,8,13,0,7,7,5,4.1,632,6.8
Justin Fields,82118,QB,CHI,7,2.96,2.58,3.49,5.39,172,6,70.3,74,76,6.0,1.96,1,2,2.5,63.2,48,19,7.7,80,46.5,4,21,,,,,49.2,59.2,79.9,,59.1,,,,,1,4,84,21.1,57.2,5.0,4,0,0,0,0,3,3.6,445,5.9,58.0,50,54,15.0,3.91,0,7,11.5,50.0,27,46,6.9,90,52.3,2,23,,,,,28.6,48.5,80.5,,45.1,,65.0,,,1,2,98,39.1,69.3,20.0,18,18,0,3,2,6,6.1,371,6.9
Jimmy Garoppolo,8697,QB,SF,5,2.58,2.45,3.66,4.93,156,28,78.9,76,78,4.8,1.84,0,0,0.0,67.9,53,8,11.7,79,50.6,7,30,,,,,83.6,63.0,79.8,,62.6,,,,,2,2,82,12.5,83.7,1.3,1,0,0,0,1,3,3.7,587,7.5,71.7,60,66,10.5,3.33,0,1,1.4,62.1,41,34,4.7,77,49.4,2,24,,,,,25.9,50.2,79.8,,51.0,,56.3,,,1,2,82,20.6,99.2,9.1,7,4,0,5,5,7,8.5,519,7.9
Russell Wilson,7077,QB,SEA,5,2.81,2.48,3.77,5.53,149,29,81.7,71,73,5.0,1.88,1,2,2.6,76.7,56,17,3.4,76,51.0,2,24,,,,,83.5,63.6,79.7,,63.1,,,,,0,0,81,17.6,114.1,3.9,3,0,0,1,4,0,0.0,522,7.2,77.3,44,52,16.3,3.78,0,11,19.3,65.4,34,41,0.0,73,49.0,0,28,,,,,83.2,96.6,79.6,,95.8,,70.8,,,1,1,78,26.8,139.1,15.1,11,10,0,7,6,0,0.0,674,13.0
Tua Tagovailoa,60326,QB,MIA,4,2.52,2.39,3.08,4.41,129,17,82.4,68,69,5.6,1.86,0,0,0.0,76.8,53,14,5.4,71,55.0,3,23,,,,,82.9,83.7,79.4,,82.4,,58.3,,,1,1,74,7.1,114.0,1.4,1,1,0,0,5,0,0.0,494,7.2,71.1,45,48,11.3,3.33,0,4,8.2,60.4,29,29,9.4,58,45.0,3,24,,,,,81.5,70.4,78.6,,67.2,,70.5,,,1,3,60,13.8,69.9,6.9,4,6,0,2,2,5,8.3,341,7.1
Geno Smith,7820,QB,SEA,3,2.95,2.81,3.43,4.53,83,29,91.2,34,39,2.7,1.99,3,0,0.0,79.5,31,8,0.0,41,49.4,0,14,,,,,79.3,69.1,77.3,,68.2,,,,,2,0,42,25.0,102.2,4.9,2,0,0,0,1,0,0.0,253,6.5,57.7,26,31,12.7,3.89,0,3,9.4,45.2,14,26,6.7,42,50.6,1,9,,,,,28.8,63.6,77.4,,62.3,,63.5,,,0,1,43,30.8,81.9,19.0,8,3,0,5,2,3,7.0,254,8.2
Trey Lance,91399,QB,SF,4,3.38,2.97,4.15,5.18,60,28,84.2,19,22,2.9,1.9,2,0,0.0,63.6,14,2,12.5,22,36.7,2,9,,,,,75.6,57.1,75.0,,57.1,,,,,1,0,22,0.0,95.8,0.0,0,0,0,0,1,1,4.5,135,6.1,57.1,21,26,15.3,4.23,2,2,6.7,42.3,11,19,8.3,38,63.3,1,12,,,,,79.6,61.8,77.5,,59.8,,63.7,,,1,1,44,10.5,82.1,5.3,2,10,0,2,2,1,2.3,219,8.4
Andy Dalton,6187,QB,CHI,3,2.48,2.21,3.23,5.13,58,6,87.9,33,35,4.3,1.78,2,0,0.0,77.1,27,5,6.9,37,63.8,2,12,,,,,78.4,69.7,76.9,,68.8,,,,,0,1,37,40.0,84.8,5.4,2,0,0,0,1,1,2.7,175,5.0,76.9,13,15,5.2,3.71,0,1,5.9,66.7,10,9,0.0,21,36.2,0,8,,,,,75.9,86.7,75.2,,72.2,,89.0,,,0,0,23,22.2,84.0,9.5,2,4,0,2,0,0,0.0,95,6.3
Tyrod Taylor,6332,QB,HST,2,2.8,2.56,6.7,4.48,49,13,75.9,29,29,4.7,1.87,0,1,3.3,72.4,21,7,4.5,29,59.2,1,12,,,,,77.4,65.1,76.1,,64.6,,,,,0,0,30,0.0,118.0,0.0,0,0,0,0,2,1,3.3,227,7.8,71.4,14,15,16.2,4.16,0,2,11.1,66.7,10,15,0.0,20,40.8,0,8,,,,,75.6,82.4,75.2,,77.9,,71.4,,,0,0,23,6.7,131.9,5.0,1,4,0,1,1,0,0.0,189,12.6
Case Keenum,7323,QB,CLV,2,2.69,2.52,3.7,5.3,39,8,76.5,17,17,3.1,1.72,0,0,0.0,70.6,12,2,7.7,17,43.6,1,5,,,,,74.2,61.9,74.1,,61.6,,,,,0,0,17,0.0,98.2,0.0,0,0,0,0,1,0,0.0,72,4.2,68.8,16,19,11.2,3.44,0,0,0.0,52.6,10,10,9.1,22,56.4,1,7,,,,,75.6,50.6,75.0,,49.9,,61.6,,,1,0,22,10.0,75.1,4.5,1,2,0,2,0,1,4.5,133,7.0
Mike White,46453,QB,NYJ,1,2.41,2.35,4.2,,33,22,64.7,17,19,5.7,1.99,2,1,4.8,52.6,10,1,9.1,19,57.6,1,2,,,,,75.4,41.1,74.9,,42.4,,,,,0,1,21,0.0,45.1,0.0,0,0,0,0,0,1,4.8,96,5.1,76.9,13,13,9.2,2.98,0,0,0.0,76.9,10,3,0.0,14,42.4,0,7,,,,,73.2,54.9,73.5,,55.1,,,,,0,1,14,33.3,93.8,7.1,1,0,0,0,1,2,14.3,106,8.2
Mike Glennon,7854,QB,NYG,1,2.67,2.55,,5.8,26,21,75.0,16,16,5.9,1.87,0,1,6.3,75.0,12,7,0.0,16,61.5,0,9,,,,,73.9,65.3,73.9,,64.8,,,,,0,1,16,0.0,92.4,0.0,0,0,0,0,1,1,6.3,127,7.9,66.7,6,9,19.5,3.96,0,0,0.0,44.4,4,4,0.0,10,38.5,0,2,,,,,72.8,53.0,0.0,,55.6,,62.1,,,0,1,13,0.0,31.5,0.0,0,1,0,3,0,1,7.7,69,7.7
Drew Lock,39517,QB,DEN,1,2.6,2.56,2.9,,24,10,61.5,13,13,7.8,2.11,0,0,0.0,61.5,8,5,0.0,13,54.2,0,4,,,,,72.8,45.2,73.2,,46.2,,,,,0,1,13,0.0,47.3,0.0,0,0,0,0,0,1,7.7,81,6.2,50.0,8,8,12.5,3.19,0,1,11.1,50.0,4,7,0.0,11,45.8,0,0,,,,,72.4,60.6,72.9,,60.5,,,,,0,0,12,42.9,60.4,27.3,3,0,0,0,0,0,0.0,32,4.0
Phillip Walker,12134,QB,CAR,1,2.84,2.56,3.63,4.3,18,5,60.0,5,6,10.0,1.98,1,0,0.0,50.0,3,1,0.0,6,33.3,0,2,,,,,68.9,52.6,70.6,,53.2,,,,,0,0,6,0.0,66.7,0.0,0,0,0,0,0,0,0.0,33,5.5,0.0,8,8,15.9,3.27,0,0,0.0,0.0,0,6,,12,66.7,0,1,,,,,72.8,36.0,73.2,,34.2,,63.1,,,0,0,13,50.0,39.6,25.0,3,1,0,0,0,0,0.0,0,0.0
Chad Henne,4371,QB,KC,1,2.62,2.36,,6.9,17,16,75.0,12,12,6.4,1.98,0,0,0.0,66.7,8,0,11.1,12,70.6,1,4,,,,,72.4,50.2,72.9,,50.9,,,,,0,0,12,,75.0,0.0,0,0,0,0,0,0,0.0,50,4.2,100.0,3,4,8.3,4.16,0,0,0.0,75.0,3,2,0.0,5,29.4,0,2,,,,,68.9,37.3,70.6,,39.6,,58.3,,,0,0,6,0.0,97.9,0.0,0,1,0,1,0,1,16.7,32,8.0
Tyler Huntley,46448,QB,BLT,1,3.59,3.59,,,11,3,100.0,3,3,2.0,1.9,0,0,0.0,100.0,3,1,0.0,3,27.3,0,2,,,,,65.5,63.9,68.2,,63.5,,,,,0,0,3,0.0,95.8,0.0,0,0,0,0,0,0,0.0,21,7.0,37.5,8,8,15.8,4.23,0,0,0.0,25.0,2,5,33.3,8,72.7,1,1,,,,,70.3,54.0,71.5,,54.4,,,,,0,0,8,0.0,39.6,0.0,0,0,0,0,0,0,0.0,18,2.3
Ryan Fitzpatrick,2467,QB,WAS,1,2.59,2.33,2.7,4.0,8,32,100.0,3,4,3.3,1.78,0,0,0.0,50.0,2,2,33.3,4,50.0,1,0,,,,,66.9,61.1,69.2,,60.9,,,,,1,0,4,0.0,56.3,0.0,0,0,0,0,0,0,0.0,11,2.8,50.0,2,2,4.5,3.4,0,0,0.0,50.0,1,3,0.0,4,50.0,0,0,,,,,66.9,31.3,69.9,,37.0,,55.7,,,0,0,5,33.3,56.3,25.0,1,1,0,0,0,1,20.0,2,1.0
Jordan Love,40306,QB,GB,1,2.53,2.47,2.9,,8,12,75.0,4,4,5.8,1.65,0,0,0.0,75.0,3,0,0.0,4,50.0,0,1,,,,,66.9,82.7,69.2,,80.7,,,,,0,0,4,,82.3,0.0,0,0,0,0,0,0,0.0,17,4.3,66.7,3,3,22.7,3.4,0,1,33.3,66.7,2,1,0.0,4,50.0,0,2,,,,,14.5,62.9,69.2,,62.6,,,,,0,0,4,100.0,109.7,25.0,1,0,0,0,0,1,25.0,51,17.0
