Player,Roster Position,%Drafted,FPTS
Alex Smalley,G,2.53%,29.5
J.T. Poston,G,2.44%,38.5
David Lipsky,G,2.40%,128.5
Lee Hodges,G,2.37%,51
Richy Werenski,G,2.36%,45.5
Danny Willett,G,2.33%,104.5
Austin Smotherman,G,2.33%,40
Scott Brown,G,2.23%,89
Ian Poulter,G,2.19%,106.5
Chase Seiffert,G,2.18%,102.5
Brandt Snedeker,G,2.15%,35
Ryan Brehm,G,2.12%,111
Hayden Buckley,G,2.01%,29.5
Taylor Moore,G,1.94%,130
Patrick Rodgers,G,1.92%,97.5
Adam Schenk,G,1.88%,113.5
Kevin Chappell,G,1.87%,107.5
Brian Stuard,G,1.79%,100
Henrik Norlander,G,1.74%,36.5
Vince Whaley,G,1.71%,51
Vaughn Taylor,G,1.44%,29
Branden Grace,G,1.39%,133
Rafa Cabrera Bello,G,1.39%,40.5
Kiradech Aphibarnrat,G,1.30%,79.5
Henrik Stenson,G,1.28%,112.5
John Huh,G,1.23%,47
Hank Lebioda,G,1.17%,102.5
Bill Haas,G,1.15%,87.5
Garrick Higgo,G,1.13%,133
Chad Ramey,G,1.11%,44.5
James Hahn,G,1.02%,107.5
Emiliano Grillo,G,0.99%,40.5
Paul Barjon,G,0.98%,42
Jim Herman,G,0.94%,29
Ben Kohles,G,0.93%,34.5
Robert Garrigus,G,0.93%,52
Nick Watney,G,0.91%,36.5
Michael Kim,G,0.90%,49.5
Chez Reavie,G,0.87%,38
Scott Piercy,G,0.84%,99.5
Wesley Bryan,G,0.84%,52
Sean O'Hair,G,0.82%,99.5
Bo Hoag,G,0.78%,38
Nick Hardy,G,0.76%,101.5
Kyle Stanley,G,0.75%,78
Camilo Villegas,G,0.74%,78
Kevin Tway,G,0.74%,35.5
Lucas Herbert,G,0.73%,46.5
Jason Scrivener,G,0.72%,121
Jonathan Byrd,G,0.71%,35
Trey Mullinax,G,0.69%,52
Sung Kang,G,0.65%,47
Brandon Wu,G,0.63%,97.5
Ryan Armour,G,0.62%,84.5
Matt Wallace,G,0.62%,102
Kurt Kitayama,G,0.61%,79.5
Ben Martin,G,0.57%,42
Danny Lee,G,0.56%,47.5
Jason Dufner,G,0.56%,48.5
Stephan Jaeger,G,0.56%,100
Brandon Hagy,G,0.55%,47.5
Cameron Percy,G,0.54%,47.5
Jay Haas,G,0.52%,87.5
Chesson Hadley,G,0.51%,35
Seth Reeves,G,0.49%,39.5
Kelly Kraft,G,0.47%,35.5
Austin Cook,G,0.45%,48.5
Callum Tarren,G,0.44%,105
Seung-Yul Noh,G,0.43%,49.5
Justin Lower,G,0.43%,115
Arjun Atwal,G,0.41%,46.5
David Skinns,G,0.34%,105
Jared Wolfe,G,0.33%,39.5
Sang-Moon Bae,G,0.32%,47.5
Tommy Gainey,G,0.31%,52
D.A. Points,G,0.30%,40
Michael Gligic,G,0.28%,84.5
Dylan Wu,G,0.28%,115
Martin Trainer,G,0.27%,34
Joshua Creel,G,0.25%,44.5
Curtis Thompson,G,0.25%,101.5
Scott Gutschewski,G,0.24%,40
Dawie Van der Walt,G,0.21%,38
Andrew Novak,G,0.20%,33.5
Max McGreevy,G,0.18%,33.5
Jim Knous,G,0.16%,34
Brett Drewitt,G,0.16%,38
Bo Van Pelt,G,0.10%,42
