player_id,team,opp,pos,name,firstname,lastname,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
610,,,G,Emiliano Grillo,Emiliano,Grillo,51.85,6.6,44.44,81.25,26.75,0,0,7300,,34764,610
984,,,G,Rafa Cabrera Bello,Rafa,Cabrera Bello,,0,44.44,,,0,0,7300,,34746,984
732,,,G,Sang-Moon Bae,Sang-Moon,Bae,,0,33.72,,,0,0,6400,,35243,732
655,,,G,Kiradech Aphibarnrat,Kiradech,Aphibarnrat,,0,33.07,,,0,0,6800,,34740,655
329671,,,G,Kurt Kitayama,Kurt,Kitayama,51.04,1.6,33.07,80.03,26.65,0,0,6800,,36560,329671
688,,,G,Henrik Stenson,Henrik,Stenson,,0,60.03,,,0,0,8100,,34813,688
468,,,G,Ryan Palmer,Ryan,Palmer,,0,80.51,,,0,0,9700,,34924,468
648099,,,G,Adam Schenk,Adam,Schenk,,0,42.4,,,0,0,7100,,37919,648099
689,,,G,Adam Svensson,Adam,Svensson,,0,67.35,,,0,0,8000,,466731,689
1070,,,G,John Huh,John,Huh,45.94,1.8,30.76,73.5,25.25,0,0,6500,,34976,1070
2170,,,G,Chris Kirk,Chris,Kirk,62.17,11.6,68.03,87.91,28.93,0,0,8200,,34775,2170
789,,,G,Richy Werenski,Richy,Werenski,,0,37,,,0,0,6900,,36096,789
509666,,,G,Alex Smalley,Alex,Smalley,48.59,11.4,53.58,78.81,26.01,0,0,7000,,37147,509666
614,,,G,Scott Piercy,Scott,Piercy,45.36,1.2,34.07,75.81,25.01,0,0,6900,,34801,614
856,,,G,Patton Kizzire,Patton,Kizzire,54.07,10.7,59.63,82.37,27.36,0,0,8400,,34898,856
625,,,G,Justin Rose,Justin,Rose,53.33,6.9,60.03,81.52,26.65,0,0,8100,,34804,625
867,,,G,Alex Noren,Alex,Noren,59.92,9.6,62.78,84.76,28.82,0,0,7500,,35121,867
515,,,G,Jonathan Byrd,Jonathan,Byrd,41.34,0.8,27.39,71.01,23.84,0,0,6200,,35030,515
2050,,,G,Tommy Gainey,Tommy,Gainey,,0,29.28,,,0,0,6100,,34874,2050
218,,,G,Peter Uihlein,Peter,Uihlein,45.06,2.2,37,75.53,25.01,0,0,6900,,36567,218
956,,,G,Branden Grace,Branden,Grace,49.35,0,44.34,79.33,26.25,0,0,7300,,34763,956
549,,,G,Brendan Steele,Brendan,Steele,,0,72.43,,,0,0,8500,,34935,549
427014,,,G,Keith Mitchell,Keith,Mitchell,56.73,6.8,58.14,83.74,28.08,0,0,7900,,37916,427014
1480,,,G,Martin Trainer,Martin,Trainer,,0,23.19,,,0,0,6000,,565470,1480
300174,,,G,J.T. Poston,J.T.,Poston,,0,59.63,,,0,0,8400,,36088,300174
946,,,G,Bo Hoag,Bo,Hoag,47.79,0,43.86,78.5,25.5,0,0,6800,,1266429,946
1271,,,G,Kevin Chappell,Kevin,Chappell,,0,40.74,,,0,0,6700,,34861,1271
1062,,,G,Byeong Hun An,Byeong,Hun,,0,63.2,,,0,0,8700,,34739,1062
1194,,,G,Cameron Smith,Cameron,Smith,72.64,15.2,84.92,96.4,32.41,0,0,10200,,34810,1194
308,,,G,Ian Poulter,Ian,Poulter,,0,79.98,,,0,0,9500,,34802,308
509669,,,G,Sam Ryder,Sam,Ryder,47.3,8.2,47.53,77.76,25.71,0,0,7100,,37145,509669
902,,,G,Xander Schauffele,Xander,Schauffele,,0,93.74,,,0,0,10400,,36091,902
804,,,G,Keegan Bradley,Keegan,Bradley,63.72,0,72.43,90.06,29.08,0,0,8500,,34744,804
815,,,G,Jason Day,Jason,Day,61.59,4.6,51.52,88.29,29.01,0,0,7600,,34752,815
1492,,,G,Jim Herman,Jim,Herman,,0,36.54,,,0,0,6400,,34829,1492
304410,,,G,Joseph Bramlett,Joseph,Bramlett,,0,64.09,,,0,0,7700,,1074847,304410
1063,,,G,Michael Gligic,Michael,Gligic,,0,35.29,,,0,0,6200,,469112,1063
703985,,,G,Max McGreevy,Max,McGreevy,,0,38.65,,,0,0,6600,,3083533,703985
1141,,,G,Patrick Rodgers,Patrick,Rodgers,47.32,1.1,46.08,76.88,25.16,0,0,6900,,34996,1141
1163,,,G,Vaughn Taylor,Vaughn,Taylor,46.34,1.8,36.54,75.71,25.27,0,0,6400,,34817,1163
2010,,,G,Cameron Percy,Cameron,Percy,44.29,1,39.29,74.79,24.46,0,0,6600,,34989,2010
1174,,,G,Bill Haas,Bill,Haas,36.29,0.1,20.72,61.83,20.38,0,0,6000,,34765,1174
1295,,,G,Justin Lower,Justin,Lower,,0,35.18,,,0,0,6300,,3083531,1295
2065,,,G,Ben Martin,Ben,Martin,45.09,0.9,28.69,76.27,24.75,0,0,6100,,34910,2065
523168,,,G,Wyndham Clark,Wyndham,Clark,,0,57.91,,,0,0,7800,,37183,523168
698025,,,G,Harry Higgs,Harry,Higgs,,0,41.58,,,0,0,7100,,1266428,698025
729,,,G,Talor Gooch,Talor,Gooch,,0,79.47,,,0,0,9100,,37126,729
2044,,,G,Stephan Jaeger,Stephan,Jaeger,,0,52.13,,,0,0,7300,,37129,2044
699433,,,G,Dylan Wu,Dylan,Wu,42.28,1.2,35.18,66.02,23.47,0,0,6300,,1327333,699433
1154,,,G,Sam Burns,Sam,Burns,73.74,18.5,85.97,97.09,32.07,0,0,10000,,35095,1154
2056,,,G,Mark Hubbard,Mark,Hubbard,47.06,4.8,42.33,70.63,25.18,0,0,6600,,34890,2056
670471,,,G,Callum Tarren,Callum,Tarren,39.94,1.2,34.15,69.52,22.82,0,0,6100,,1074859,670471
