"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"65","Brian Stuard",22064305,6700,50.47,0.007,0.0072,46,2e-04,0.0286,47.94,4.3,74.5,24,0.6132,0.007,0.2818,0.1873,0.0884,0.0412,0.0232,0.0064,69,1.07,0.33,4.5,8,0.0372,47.5,"2022-04-17","RBC Heritage"
"66","Emiliano Grillo",22064306,6700,48.7,0.0019,0.0038,78,0.0019,1,54.51,1.4,80,26,0.4912,0.005,0.1579,0.0927,0.0369,0.0148,0.008,0.0022,100,0.57,-0.17,11.75,14,0.0167,25,"2022-04-17","RBC Heritage"
"67","Branden Grace",22064308,6700,44.96,0.0042,0.0045,70,3e-04,0.0714,48.55,0.53,74.5,24,0.5572,0.008,0.2139,0.1344,0.059,0.026,0.0146,0.0043,35,0.67,-0.07,4.6,6,0.0059,72.5,"2022-04-17","RBC Heritage"
"68","Nate Lashley",22064309,6700,59.9,0.0035,0.004,76,5e-04,0.1429,50.62,3.2,77,24.5,0.5228,0.005,0.1932,0.1184,0.0529,0.024,0.0133,0.0036,100,0.6,-0.14,5.04,8,0.0355,21,"2022-04-17","RBC Heritage"
"69","Charl Schwartzel",22064310,6600,41.79,8e-04,0.0029,95,0.0021,2.625,38.72,1.1,67,21.5,0.3807,0.0027,0.0832,0.0437,0.0164,0.0059,0.0029,8e-04,54,0.44,-0.25,12.12,14,0.0169,60.5,"2022-04-17","RBC Heritage"
"70","Matthew NeSmith",22064311,6600,56.06,0.0055,0.009,34,0.0035,0.6364,51.68,8.4,77.5,25.5,0.5789,0.0062,0.2445,0.1587,0.0744,0.0345,0.0199,0.0056,12,1.36,0.67,12.82,22,0.0512,75,"2022-04-17","RBC Heritage"
"71","J.T. Poston",22064312,6600,42.57,0.0028,0.0035,86,7e-04,0.25,44.5,0.45,71.5,23,0.5159,0.0049,0.1881,0.1146,0.0505,0.0204,0.0117,0.0032,3,0.53,-0.16,5.6,6,0.0116,103.5,"2022-04-17","RBC Heritage"
"72","Harry Higgs",22064313,6600,50.72,0.0023,0.0026,100,3e-04,0.1304,42.39,0.94,70.5,22.5,0.4944,0.0061,0.1626,0.0982,0.0419,0.018,0.0098,0.0026,100,0.39,-0.3,4.58,6,0.0204,26.5,"2022-04-17","RBC Heritage"
"73","Nick Taylor",22064314,6600,58.17,0.0039,0.0036,83,-3e-04,-0.0769,51.34,0.79,78,24.5,0.5498,0.0048,0.2103,0.1296,0.0561,0.0254,0.0134,0.004,100,0.55,-0.14,3.38,4,0.0107,27.5,"2022-04-17","RBC Heritage"
"74","Alex Smalley",22064315,6600,58.94,0.0035,0.0037,80,2e-04,0.0571,49.68,1.6,75,24.5,0.5362,0.0053,0.2016,0.1258,0.0543,0.0242,0.0141,0.004,100,0.56,-0.13,4.37,6,0.0069,26.5,"2022-04-17","RBC Heritage"
