datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Spaun, J.J.","J.J. Spaun",150,22529151,7200,36.322,12:33 pm,0,71.7,2.8,0,74.5,0.65,100,5.96753828357554,
"Kizzire, Patton","Patton Kizzire",150,22529155,7100,36.360,7:56 am,1,71.6,2.8,0,74.3,0.68,100,9.89453063145309,
"Lipsky, David","David Lipsky",150,22529156,7100,35.039,8:51 am,1,65.4,2,0,67.4,0.18,100,3.55030894257043,
"Schwab, Matthias","Matthias Schwab",150,22529159,7100,34.119,12:22 pm,0,63.7,1.8,0,65.5,0.04,100,2.45726955965216,
"Todd, Brendon","Brendon Todd",150,22529158,7100,34.220,8:07 am,1,64.1,1.8,0,65.9,0.07,100,2.68408434168074,
"Theegala, Sahith","Sahith Theegala",150,22529157,7100,35.125,12:11 pm,0,66.4,2.1,0,68.5,0.26,100,8.1695696060333,
"Stallings, Scott","Scott Stallings",150,22529160,7000,35.479,8:29 am,1,66.6,2.1,0,68.7,0.33,100,3.24238657284714,
"Ortiz, Carlos","Carlos Ortiz",150,22529165,7000,34.819,8:07 am,1,64.9,1.9,0,66.8,0.18,100,2.63254741663039,
"Wu, Brandon","Brandon Wu",150,22529164,7000,33.304,1:50 pm,0,61,1.5,0,62.5,-0.07,100,1.7145663829416,
"Rodgers, Patrick","Patrick Rodgers",150,22529163,7000,34.441,12:00 pm,0,64.3,1.8,0,66.1,0.13,100,3.24897029471633,
"Westwood, Lee","Lee Westwood",150,22529162,7000,33.774,1:39 pm,0,61.3,1.5,0,62.8,-0.05,100,1.80640379104613,
"Taylor, Nick","Nick Taylor",150,22529161,7000,35.023,1:06 pm,0,66.7,2.1,0,68.9,0.34,100,3.96448277037402,
"Willett, Danny","Danny Willett",150,22529166,6900,34.643,7:23 am,1,64.7,1.9,0,66.6,0.22,100,2.79662652169547,
"Clark, Wyndham","Wyndham Clark",150,22529171,6900,33.202,6:50 am,1,60.6,1.5,0,62.1,-0.05,100,1.61331046857798,
"Laird, Martin","Martin Laird",150,22529170,6900,33.441,1:06 pm,0,62.6,1.6,0,64.2,0.05,100,3.22800559473902,
"Kim, Joohyung","Joohyung Kim",150,22529168,6900,33.196,2:01 pm,0,60,1.4,0,61.4,-0.08,100,1.82536669863219,
"Sigg, Greyson","Greyson Sigg",150,22529169,6900,34.533,1:50 pm,0,64.5,1.8,0,66.3,0.2,100,3.0167478225606,
"Jaeger, Stephan","Stephan Jaeger",150,22529167,6900,33.793,9:02 am,1,62.6,1.6,0,64.2,0.04,100,2.02587340596863,
"Hubbard, Mark","Mark Hubbard",150,22529172,6900,35.509,1:39 pm,0,68.7,2.4,0,71.1,0.55,100,3.49169375337326,
"Moore, Taylor","Taylor Moore",150,22529175,6800,34.219,12:11 pm,0,64.4,1.8,0,66.2,0.24,100,2.28388875933449,
"Grillo, Emiliano","Emiliano Grillo",150,22529177,6800,32.934,7:12 am,1,59.8,1.3,0,61.1,-0.06,100,1.32289813011112,
"Redman, Doc","Doc Redman",150,22529176,6800,33.312,6:50 am,1,61,1.5,0,62.5,-0.02,100,1.65111369199331,
"Grace, Branden","Branden Grace",150,22529174,6800,34.476,12:33 pm,0,64.1,1.8,0,65.9,0.22,100,2.24272932059296,
"Lashley, Nate","Nate Lashley",150,22529178,6800,34.147,12:44 pm,0,63.4,1.7,0,65.1,0.16,100,2.0124240648882,
"Reavie, Chez","Chez Reavie",150,22529173,6800,31.642,12:33 pm,0,57.1,1.1,0,58.2,-0.17,100,1.27422651210524,
"Molinari, Francesco","Francesco Molinari",150,22529179,6800,33.874,1:17 pm,0,61.9,1.6,0,63.5,0.04,100,1.58960534409719,
"Swafford, Hudson","Hudson Swafford",150,22529181,6700,33.877,8:07 am,1,62.1,1.6,0,63.7,0.11,100,3.3892408959121,
"Stenson, Henrik","Henrik Stenson",150,22529184,6700,33.454,12:55 pm,0,61.7,1.5,0,63.2,0.08,100,1.68581820169063,
"Armour, Ryan","Ryan Armour",150,22548828,6700,34.136,7:12 am,1,63.5,1.7,0,65.3,0.22,100,2.86762402975271,
"Stuard, Brian","Brian Stuard",150,22529182,6700,32.623,1:28 pm,0,60.7,1.4,0,62.1,0,100,1.42379928409518,
"Piercy, Scott","Scott Piercy",150,22529185,6700,33.395,7:01 am,1,61.6,1.5,0,63.1,0.07,100,1.97154090245102,
"Schwartzel, Charl","Charl Schwartzel",150,22529180,6700,32.092,12:22 pm,0,58.3,1.2,0,59.5,-0.1,100,1.31161045140958,
"Perez, Pat","Pat Perez",150,22529183,6700,33.749,1:39 pm,0,63,1.7,0,64.7,0.18,100,2.5220141959576,
"Ryder, Sam","Sam Ryder",150,22529187,6700,33.159,12:00 pm,0,60.6,1.4,0,62,-0.01,100,1.29948411357281,
"Lebioda, Hank","Hank Lebioda",150,22529186,6700,32.722,8:29 am,1,59.8,1.3,0,61.2,-0.04,100,1.48214692384099,
"Hahn, James","James Hahn",150,22529189,6600,33.235,7:01 am,1,61.6,1.5,0,63.1,0.12,100,2.52178374113157,
"Hoffman, Charley","Charley Hoffman",150,22529194,6600,31.491,7:01 am,1,56.1,1,0,57.1,-0.16,100,0.451562477374105,
"Malnati, Peter","Peter Malnati",150,22529191,6600,33.699,8:29 am,1,61.8,1.6,0,63.4,0.13,100,1.68184406677335,
"Smotherman, Austin","Austin Smotherman",150,22529190,6600,32.564,8:40 am,1,59.4,1.3,0,60.7,-0.03,100,1.95126989948124,
"Sabbatini, Rory","Rory Sabbatini",150,22529188,6600,33.158,8:29 am,1,60.3,1.4,0,61.7,0.01,100,1.64536046150555,
"Uihlein, Peter","Peter Uihlein",150,22529195,6600,33.883,7:12 am,1,62.6,1.7,0,64.3,0.2,100,1.64950469184984,
"Snedeker, Brandt","Brandt Snedeker",150,22529192,6600,31.410,7:34 am,1,56.1,1.1,0,57.2,-0.16,100,0.654988356226968,
"Hossler, Beau","Beau Hossler",150,22529193,6600,32.768,1:28 pm,0,59.3,1.2,0,60.6,-0.04,100,1.13311067216611,
"Schenk, Adam","Adam Schenk",150,22529199,6500,33.929,7:01 am,1,62.4,1.6,0,64,0.23,100,2.61506420331725,
"Duncan, Tyler","Tyler Duncan",150,22529202,6500,32.930,8:07 am,1,60.7,1.4,0,62,0.09,100,1.37611579917586,
"Hodges, Lee","Lee Hodges",150,22529201,6500,33.452,12:22 pm,0,61.3,1.5,0,62.8,0.15,100,1.08037629335454,
"Thompson, Michael","Michael Thompson",150,22529204,6500,32.771,8:07 am,1,59.6,1.4,0,60.9,0.01,100,0.819993186846385,
"Putnam, Andrew","Andrew Putnam",150,22529196,6500,34.025,12:11 pm,0,63.6,1.8,0,65.3,0.33,100,2.31137497231052,
"Higgs, Harry","Harry Higgs",150,22529197,6500,34.139,6:50 am,1,63.1,1.7,0,64.7,0.29,100,2.49576891277014,
"Huh, John","John Huh",150,22529200,6500,32.931,8:29 am,1,60.2,1.4,0,61.6,0.06,100,1.46837605615559,
"Bramlett, Joseph","Joseph Bramlett",150,22529198,6500,33.891,2:12 pm,0,62.5,1.6,0,64.1,0.24,100,2.32885821464795,
"Streb, Robert","Robert Streb",150,22529203,6500,33.147,7:34 am,1,61,1.4,0,62.4,0.12,100,1.50024576381161,
"Garnett, Brice","Brice Garnett",150,22529213,6400,32.096,12:22 pm,0,58.3,1.2,0,59.6,-0.02,100,0.575501078856844,
"Wu, Dylan","Dylan Wu",150,22529209,6400,32.188,2:12 pm,0,58.1,1.2,0,59.3,-0.03,100,0.842864843426396,
"Hickok, Kramer","Kramer Hickok",150,22529205,6400,34.184,1:28 pm,0,62.6,1.7,0,64.3,0.31,100,1.79729713097676,
"Whaley, Vincent","Vince Whaley",150,22529212,6400,33.590,1:17 pm,0,61.5,1.6,0,63,0.21,100,1.36071757564506,
"Tarren, Callum","Callum Tarren",150,22529211,6400,32.098,1:50 pm,0,58.1,1.2,0,59.3,-0.03,100,0.694240763676196,
"Mullinax, Trey","Trey Mullinax",150,22529210,6400,32.556,1:17 pm,0,58.2,1.2,0,59.4,-0.03,100,0.823872444079578,
"Svensson, Adam","Adam Svensson",150,22529206,6400,33.330,2:01 pm,0,62.2,1.5,0,63.7,0.26,100,1.61925895610308,
"Donald, Luke","Luke Donald",150,22529207,6400,31.703,7:23 am,1,57.4,1.1,0,58.6,-0.06,100,1.7056515709729,
"Lower, Justin","Justin Lower",150,22529208,6400,31.902,2:12 pm,0,57.7,1.2,0,58.8,-0.05,100,0.735486387940276,
