"","Name","ID","Salary","fpts","FPTS","proj_own","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","own_change","own"
"86","Tyler Duncan",22529202,6500,52.8,42.49,0.53,0.0029,0.0027,-2e-04,-0.069,84,9.64,0
"87","Robert Streb",22529203,6500,49.4,27.49,0.59,0.0026,0.0027,1e-04,0.0385,84,10.21,0
"88","Michael Thompson",22529204,6500,53.55,27.96,0.35,0.0023,0.0021,-2e-04,-0.087,93,9.59,0
"89","Kramer Hickok",22529205,6400,55.63,37.37,0.74,0.0029,0.003,1e-04,0.0345,76,10.26,0
"90","Adam Svensson",22529206,6400,55.76,41.39,1.5,0.0029,0.0028,-1e-04,-0.0345,80,9.84,0
"91","Luke Donald",22529207,6400,51.87,32.2,0.3,0.0022,0.002,-2e-04,-0.0909,96,9.62,0
"92","Trey Mullinax",22529210,6400,54.55,36.24,0.66,0.002,0.0021,1e-04,0.05,93,10.17,0
"93","Hayden Buckley",22529214,6300,54.71,41.04,1.2,0.0025,0.0024,-1e-04,-0.04,88,9.81,0
"94","Andrew Novak",22529216,6300,54.44,40.78,0.26,0.0029,0.0027,-2e-04,-0.069,84,9.68,0
"95","Ben Kohles",22529218,6300,42,35.26,0.24,0.0022,0.002,-2e-04,-0.0909,96,9.63,0
"96","Paul Barjon",22529219,6300,50.54,26.12,0.57,0.0022,0.002,-2e-04,-0.0909,96,9.63,0
"97","Kevin Tway",22529236,6100,45.49,13.04,0.08,0.0026,0.0023,-3e-04,-0.1154,90,9.5,0
