datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Hoag, Bo","Bo Hoag",150,22969301,6100,26.016,8:30 am,1,44.7,0.9,0,45.6,0.18,100,0.885960293412019,
"Herman, Jim","Jim Herman",150,22969295,6100,26.944,12:33 pm,0,45.7,1,0,46.7,0.27,100,1.30904704011358,
"Noh, Seung-Yul","Seung-Yul Noh",150,22969302,6100,26.961,7:22 am,1,45.9,1,0,47,0.29,100,1.13649779847348,
"Barnes, Ricky","Ricky Barnes",150,22969305,6000,21.144,1:17 pm,0,35,0.3,0,35.3,-0.23,100,0.122226334430668,
"Crane, Ben","Ben Crane",150,22969312,6000,20.989,12:22 pm,0,34.9,0.3,0,35.3,-0.23,100,0.109689319510894,
"Travale, Johnny","Johnny Travale",150,22969304,6000,17.495,2:32 pm,0,29.9,0.1,0,30.1,-0.4,100,0.0645560657997111,
"Henry, J.J.","J.J. Henry",150,22980099,6000,21.221,7:57 am,1,34.6,0.3,0,34.9,-0.24,100,0.119718931446713,
"Davis, Brian","Brian Davis",150,22969313,6000,16.941,1:50 pm,0,28.9,0.1,0,29,-0.43,100,0.0545264538638926,
"Weir, Mike","Mike Weir",150,22969303,6000,21.347,7:02 am,1,35.9,0.3,0,36.2,-0.2,100,0.245041700918845,
"McNeill, George","George McNeill",150,22980100,6000,19.618,8:28 am,1,31.6,0.2,0,31.8,-0.34,100,0.0971523045911213,
"Every, Matt","Matt Every",150,22980094,6000,17.977,1:48 pm,0,29,0.2,0,29.2,-0.43,100,0.0745856777355296,
"Adamonis, Brad","Brad Adamonis",75,22980096,6000,16.679,2:32 pm,0,26.5,0.1,0,26.6,-0.51,100,0.0470042449120287,
"Wagner, Johnson","Johnson Wagner",150,22969311,6000,19.888,7:46 am,1,33.1,0.2,0,33.3,-0.29,100,0.0946449016071667,
"McLachlin, Parker","Parker McLachlin",150,22981637,6000,9.320,1:15 pm,0,11.5,0,0,11.5,-1,100,0.0392976814012592,
"Merrick, John","John Merrick",150,22969306,6000,15.905,8:52 am,1,27.7,0.1,0,27.8,-0.47,100,0.0545264538638926,
"Macdonald, Stuart","Stuart Macdonald",150,22969310,6000,24.580,2:32 pm,0,41,0.6,0,41.6,-0.02,100,1.07781837897308,
"Ewart, A.J.","A.J. Ewart",5,22969314,6000,20.743,2:01 pm,0,33.8,0.3,0,34.1,-0.27,100,0.102167110559031,
"Creighton, Myles","Myles Creighton",150,22969307,6000,20.088,9:12 am,1,33.5,0.3,0,33.8,-0.28,100,0.117211528462758,
"Deraney, Joseph","Joseph Deraney",150,22969308,6000,17.785,9:01 am,1,30.3,0.1,0,30.4,-0.39,100,0.0670634687836657,
"Johnson, Richard S.","Richard S Johnson",150,22969309,6000,16.916,8:28 am,1,29.1,0.1,0,29.3,-0.42,100,0.0369746329762102,
