player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Jaeger, Stephan",150,+22372,+17500,-0.217,+12500,-0.439,+11000,-0.506,+18000,-0.195,+14371,-0.356,+8050,-0.637,+10000,-0.551,+16500,-0.261,+12500,-0.439,+10000,-0.551,+12500,-0.439,+10000,-0.551,+12500,-0.439,+10000,-0.551,+12500,-0.439
"Hardy, Nick",150,+23996,+15000,-0.373,+15000,-0.373,+8000,-0.664,+25000,0.042,+17608,-0.265,+25050,0.044,+8000,-0.664,+20000,-0.166,+25000,0.042,+12500,-0.477,+10000,-0.581,+20000,-0.166,+10000,-0.581,+11000,-0.539,+12500,-0.477
"Schwab, Matthias",150,+23996,+15000,-0.373,+12500,-0.477,+11000,-0.539,+15000,-0.373,+14431,-0.397,+17550,-0.268,+10000,-0.581,+17500,-0.270,+15000,-0.373,+12500,-0.477,+12500,-0.477,+20000,-0.166,+15000,-0.373,+10000,-0.581,+12500,-0.477
"Svensson, Adam",150,+24142,+12500,-0.480,+12500,-0.480,+14000,-0.418,+20000,-0.171,+14856,-0.383,+13550,-0.437,+12500,-0.480,+12500,-0.480,+12500,-0.480,+12500,-0.480,+12500,-0.480,+17500,-0.274,+15000,-0.377,+11000,-0.542,+12500,-0.480
"Clark, Wyndham",150,+27111,+15000,-0.445,+15000,-0.445,+16000,-0.408,+20000,-0.261,+15697,-0.419,+18050,-0.333,+15000,-0.445,+21500,-0.206,+15000,-0.445,+15000,-0.445,+15000,-0.445,+20000,-0.261,+20000,-0.261,+15000,-0.445,+15000,-0.445
"Smotherman, Austin",150,+27872,+15000,-0.460,+15000,-0.460,+16000,-0.424,+15000,-0.460,+22061,-0.208,+13050,-0.530,+15000,-0.460,+15000,-0.460,+10000,-0.639,+15000,-0.460,+15000,-0.460,+22500,-0.192,+15000,-0.460,+15000,-0.460,+12500,-0.550
"Malnati, Peter",150,+28069,+20000,-0.286,+20000,-0.286,+21000,-0.251,+20000,-0.286,+22144,-0.210,+25050,-0.107,+20000,-0.286,+20000,-0.286,+25000,-0.109,+20000,-0.286,+20000,-0.286,+22500,-0.198,+25000,-0.109,+20000,-0.286,+20000,-0.286
"Willett, Danny",150,+28269,+12500,-0.556,+15000,-0.468,+11000,-0.609,+25000,-0.115,+16372,-0.419,+13050,-0.536,+10000,-0.644,+22500,-0.203,+15000,-0.468,+12500,-0.556,+15000,-0.468,+22500,-0.203,+12500,-0.556,+12500,-0.556,+15000,-0.468
"Armour, Ryan",150,+28269,+15000,-0.468,+15000,-0.468,+14000,-0.503,+25000,-0.115,+22173,-0.215,+25050,-0.113,+12500,-0.556,+17500,-0.380,+12500,-0.556,+15000,-0.468,+20000,-0.291,+20000,-0.291,+20000,-0.291,+20000,-0.291,+20000,-0.291
"Sigg, Greyson",150,+28886,+22500,-0.220,+17500,-0.393,+14000,-0.514,+20000,-0.307,+19568,-0.321,+25050,-0.132,+12500,-0.565,+22500,-0.220,+12500,-0.565,+15000,-0.479,+15000,-0.479,+20000,-0.307,+17500,-0.393,+20000,-0.307,+20000,-0.307
"Sabbatini, Rory",150,+29312,+20000,-0.317,+15000,-0.487,+11000,-0.623,+18000,-0.385,+22232,-0.241,+14550,-0.502,+10000,-0.657,+20000,-0.317,+15000,-0.487,+12500,-0.572,+15000,-0.487,+21500,-0.266,+12500,-0.572,+15000,-0.487,+15000,-0.487
"Ryder, Sam",150,+29975,+25000,-0.165,+25000,-0.165,+27000,-0.099,+25000,-0.165,+25745,-0.141,+20050,-0.330,+25000,-0.165,,0.00,+30000,0.001,+25000,-0.165,+25000,-0.165,+25000,-0.165,+25000,-0.165,+25000,-0.165,+20000,-0.332
"Bramlett, Joseph",150,+30203,+17500,-0.419,+20000,-0.337,+14000,-0.535,+30000,-0.007,+26908,-0.109,+20050,-0.335,+12500,-0.584,+22500,-0.254,+20000,-0.337,+20000,-0.337,+25000,-0.172,+22500,-0.254,+20000,-0.337,+20000,-0.337,+25000,-0.172
"Piercy, Scott",150,+30203,+25000,-0.172,+15000,-0.502,+16000,-0.469,+25000,-0.172,+24833,-0.177,+17550,-0.418,+15000,-0.502,+18500,-0.386,+20000,-0.337,+15000,-0.502,+15000,-0.502,+13000,-0.568,+20000,-0.337,+20000,-0.337,+20000,-0.337
"Whaley, Vincent",150,+30434,+25000,-0.178,,0.00,+19000,-0.374,+25000,-0.178,+19568,-0.356,+20050,-0.340,+17500,-0.424,+32500,0.068,+15000,-0.505,+20000,-0.342,+25000,-0.178,+25000,-0.178,+25000,-0.178,+25000,-0.178,+25000,-0.178
"Huh, John",150,+31646,+17500,-0.446,+12500,-0.603,+14000,-0.556,+18000,-0.430,+18032,-0.429,+16550,-0.476,+12500,-0.603,+16500,-0.477,+10000,-0.682,+12500,-0.603,+15000,-0.524,+16000,-0.493,+15000,-0.524,+12500,-0.603,+15000,-0.524
"Laird, Martin",150,+31646,+12500,-0.603,+15000,-0.524,+14000,-0.556,+25000,-0.209,+16009,-0.493,+18550,-0.413,+12500,-0.603,+18000,-0.430,+15000,-0.524,+12500,-0.603,+12500,-0.603,+20000,-0.367,+15000,-0.524,+12500,-0.603,+12500,-0.603
"Novak, Andrew",150,+31646,+20000,-0.367,+20000,-0.367,+18000,-0.430,+25000,-0.209,+20073,-0.365,+15050,-0.523,+17500,-0.446,+25000,-0.209,+20000,-0.367,+25000,-0.209,+20000,-0.367,+25000,-0.209,+25000,-0.209,+20000,-0.367,+25000,-0.209
"Hickok, Kramer",150,+32958,+22500,-0.316,+20000,-0.392,+17000,-0.483,+30000,-0.089,+18083,-0.450,+13050,-0.602,+15000,-0.543,+22500,-0.316,+25000,-0.241,+15000,-0.543,+15000,-0.543,+25000,-0.241,+20000,-0.392,+20000,-0.392,+17500,-0.468
"Ortiz, Carlos",150,+34088,+20000,-0.412,+17500,-0.485,+25000,-0.266,+25000,-0.266,+19568,-0.425,+15550,-0.542,+20000,-0.412,+22500,-0.339,+25000,-0.266,+15000,-0.558,+20000,-0.412,+22500,-0.339,+20000,-0.412,+15000,-0.558,+17500,-0.485
"Streb, Robert",150,+34988,+30000,-0.142,+30000,-0.142,+25000,-0.285,+25000,-0.285,+20728,-0.406,+20050,-0.426,+25000,-0.285,,0.00,+25000,-0.285,+25000,-0.285,+30000,-0.142,+30000,-0.142,+30000,-0.142,+25000,-0.285,+25000,-0.285
"Lee, Danny",150,+35614,+17500,-0.507,+15000,-0.577,+17000,-0.521,+30000,-0.157,+24957,-0.298,+14050,-0.604,+15000,-0.577,,0.00,+20000,-0.437,+15000,-0.577,+20000,-0.437,+16000,-0.549,+25000,-0.297,+25000,-0.297,+20000,-0.437
"Hodges, Lee",150,+36597,+22500,-0.384,+20000,-0.452,+21000,-0.425,+25000,-0.316,+18927,-0.482,+20050,-0.451,+20000,-0.452,+22500,-0.384,+20000,-0.452,+20000,-0.452,+20000,-0.452,+22500,-0.384,+20000,-0.452,+20000,-0.452,+15000,-0.589
"Wu, Brandon",150,+39116,+20000,-0.487,+15000,-0.615,+16000,-0.589,+25000,-0.360,+22144,-0.433,+22550,-0.422,+15000,-0.615,+20000,-0.487,+12500,-0.679,+15000,-0.615,+15000,-0.615,+20000,-0.487,+15000,-0.615,+15000,-0.615,+17500,-0.551
"Seiffert, Chase",150,+41567,+35000,-0.158,+25000,-0.398,+21000,-0.494,+25000,-0.398,+22144,-0.466,+22050,-0.468,+20000,-0.518,+35000,-0.158,+20000,-0.518,+25000,-0.398,+30000,-0.278,+27500,-0.338,+25000,-0.398,+20000,-0.518,+25000,-0.398
