"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"71","Mackenzie Hughes",21880968,6300,63.42,0.0021,0.0075,45,0.0054,2.5714,46.15,3.4,71,22.5,0.6173,0.0097,0.306,0.1798,0.0707,0.0286,0.0148,0.0038,50,1.19,0.68,19,22,0.0312,39.5,"2022-04-10","The Masters"
"72","Danny Willett",21880969,6300,48.79,0.0019,0.0034,65,0.0015,0.7895,47.43,1.1,73,23,0.5126,0.0056,0.1942,0.1003,0.0346,0.012,0.006,0.0013,12,0.54,0.03,9.5,10,0.0081,56,"2022-04-10","The Masters"
"73","Padraig Harrington",21880971,6200,61,0.0033,0.0029,68,-4e-04,-0.1212,51.56,0.26,76,24,0.4677,0.0037,0.1504,0.0728,0.0227,0.0077,0.0036,7e-04,100,0.47,0.05,3.27,4,0.0115,19,"2022-04-10","The Masters"
"74","Guido Migliozzi",21880972,6200,35,9e-04,0.0017,78,8e-04,0.8889,46.86,0.47,72.07,23,0.3348,0.0021,0.0681,0.0277,0.007,0.0021,8e-04,1e-04,100,0.27,-0.15,8.72,10,0.0016,18.5,"2022-04-10","The Masters"
"75","Charl Schwartzel",21880973,6200,39.68,9e-04,0.0014,82,5e-04,0.5556,38.05,0.64,65.5,21,0.393,0.0014,0.0971,0.0432,0.0114,0.0031,0.0014,3e-04,10,0.23,-0.19,6.18,6,0.0055,65,"2022-04-10","The Masters"
"76","Mike Weir",21880974,6200,49,9e-04,0.0035,64,0.0026,2.8889,46.84,0.16,73,23,0.1738,5e-04,0.0148,0.0044,8e-04,1e-04,0,0,100,0.56,0.14,13.24,14,0.0027,17,"2022-04-10","The Masters"
"77","Jose Maria Olazabal",21880975,6100,43.25,6e-04,7e-04,87,1e-04,0.1667,29.52,0.14,51.5,17.5,0.0371,1e-04,5e-04,1e-04,0,0,0,0,100,0.11,-0.22,4.25,4,9e-04,10,"2022-04-10","The Masters"
"78","Larry Mize",21880976,6100,38.5,0.0034,7e-04,87,-0.0027,-0.7941,28.12,0.07,38.5,17,0.0059,0,0,0,0,0,0,0,100,0.11,-0.22,1.06,2,2e-04,9,"2022-04-10","The Masters"
"79","Sandy Lyle",21880977,6100,34.33,0.0034,7e-04,87,-0.0027,-0.7941,28.34,0.06,38.5,17,0.0049,0,0,0,0,0,0,0,100,0.11,-0.22,1.06,2,4e-04,11.5,"2022-04-10","The Masters"
"80","Fred Couples",21880978,6100,0,9e-04,0.0028,70,0.0019,2.1111,28.39,0.59,38.5,17,0.3396,0.0022,0.0768,0.0338,0.0096,0.0028,0.0012,2e-04,100,0.46,0.13,11.84,12,0.0019,17.5,"2022-04-10","The Masters"
"81","Bernhard Langer",21880979,6100,75.4,9e-04,0.0015,81,6e-04,0.6667,27.83,0.94,38,17,0.3981,0.0023,0.1012,0.0457,0.0128,0.0045,0.0019,4e-04,100,0.25,-0.08,6.95,8,0.021,13.5,"2022-04-10","The Masters"
"82","Vijay Singh",21880980,6000,59,0.0035,0.0028,70,-7e-04,-0.2,31.62,0.13,57,18,0.1217,3e-04,0.0064,0.0019,4e-04,1e-04,0,0,100,0.47,0.24,2.83,2,0.0057,7.5,"2022-04-10","The Masters"
"83","Laird Shepherd",21880981,6000,0,0.0033,0.0013,84,-0.002,-0.6061,30.48,0.07,54,18,0.0359,0,5e-04,2e-04,0,0,0,0,100,0.22,-0.01,1.47,2,4e-04,3,"2022-04-10","The Masters"
"84","Takumi Kanaya",21880982,6000,42.83,9e-04,0.0027,72,0.0018,2,41.58,0.48,67.5,21,0.4974,0.0033,0.1733,0.0874,0.0286,0.0094,0.0045,0.001,100,0.45,0.22,11.67,12,0.0041,22.5,"2022-04-10","The Masters"
"85","Austin Greaser",21880983,6000,0,9e-04,0.0016,80,7e-04,0.7778,33.33,0.02,54,20.5,0.2544,0.0012,0.0351,0.0128,0.0029,6e-04,3e-04,0,100,0.27,0.04,7.83,8,7e-04,19,"2022-04-10","The Masters"
"86","Stewart Hagestad",21880984,6000,0,9e-04,0.0023,76,0.0014,1.5556,28.32,0.05,39,16.5,0.3792,0.0014,0.0934,0.0417,0.0117,0.0034,0.0019,3e-04,100,0.38,0.15,10.84,10,0.0019,11,"2022-04-10","The Masters"
"87","Aaron Jarvis",21880985,6000,0,6e-04,0.0013,84,7e-04,1.1667,32.73,0.03,53,21.5,0.0289,0,5e-04,0,0,0,0,0,100,0.22,-0.01,9.4,10,5e-04,15.5,"2022-04-10","The Masters"
"88","James Piot",21880986,6000,14,0.002,0.0016,80,-4e-04,-0.2,32.41,0.04,58.07,18.5,0.1428,5e-04,0.0098,0.0024,6e-04,1e-04,0,0,100,0.27,0.04,3.37,4,0.001,16.5,"2022-04-10","The Masters"
