,Name,ID,Salary,fpts,total_pts,odds_open,odds_close,odds_delta,odds_delta_per,odds_rank,proj_own,own_change,own
73,Matt Kuchar,22549534,6800,43.91,41.39,0.0043,0.0046,3.00E-04,0.0698,68,4.7,3.16,0
74,Lucas Herbert,22549535,6800,37.35,45.31,0.0028,0.0023,-5.00E-04,-0.1786,102,0.13,1.92,0
75,Kevin Kisner,22549536,6800,40.41,42.88,0.0054,0.0031,-0.0023,-0.4259,88,0.4,1.7,0
76,Davis Riley,22549537,6800,44.77,41.39,0.0042,0.0044,0.0002,0.0476,70,5.2,3.08,0
77,Joel Dahmen,22677982,6800,44.6,41.39,0.0056,0.0047,-9.00E-04,-0.1607,66,0.58,2.74,0
78,Mito Pereira,22549538,6700,50.66,41.39,0.0087,0.0083,-0.0004,-0.046,37,10.4,4.24,0
79,Min Woo Lee,22549539,6700,38.27,47.63,0.0022,0.0022,0,0,104,0.31,2.39,0
80,Cameron Davis,22549540,6700,44.77,43.82,0.0043,0.0037,-6.00E-04,-0.1395,79,0.97,2.63,0
81,Branden Grace,22549541,6700,41.25,47.63,0.0048,0.0028,-0.002,-0.4167,93,0.19,1.77,0
82,Adri Arnaus,22549542,6700,38.18,42.88,0.0034,0.0031,-3.00E-04,-0.0882,88,0.25,2.47,0
83,Garrick Higgo,22549543,6700,34.46,29.89,0.0097,0.0014,-0.0083,-0.8557,116,0.39,0.39,0
84,Justin Harding,22549544,6700,44.03,42.88,0.0029,0.0024,-5.00E-04,-0.1724,100,0.03,2.17,0
85,Sam Horsfield,22549545,6700,48.81,34.8,0.0028,0.0054,0.0026,0.9286,58,1.7,5.32,0
86,Stewart Cink,22549546,6700,40.86,45.31,0.0034,0.0024,-0.001,-0.2941,100,0.95,1.89,0
87,Brendan Steele,22677976,6700,43.07,43.82,0.0029,0.0034,5.00E-04,0.1724,84,0.52,3.15,0
88,Carlos Ortiz,22549547,6600,40.64,41.39,0.0042,0.003,-0.0012,-0.2857,90,1.3,2.17,0
89,Bernd Wiesberger,22549548,6600,46.78,41.39,0.0034,0.0042,8.00E-04,0.2353,72,0.64,3.65,0
90,Keith Mitchell,22549549,6600,45.91,41.39,0.0065,0.0062,-3.00E-04,-0.0462,50,1.5,3.69,0
91,Henrik Stenson,22549550,6600,33.7,47.63,0.0034,0.0029,-5.00E-04,-0.1471,92,0.16,2.34,0
92,Zach Johnson,22549551,6600,36.74,47.88,0.0034,0.001,-0.0024,-0.7059,122,0.09,0.67,0
93,Mackenzie Hughes,22549552,6600,38.55,41.39,0.0034,0.0033,-1.00E-04,-0.0294,86,1.3,2.76,0
94,Laurie Canter,22549553,6600,43.06,41.39,0.0036,0.0038,2.00E-04,0.0556,78,0.17,3.15,0
95,Matt Jones,22549554,6600,46.61,41.39,0.0034,0.0042,8.00E-04,0.2353,72,0.75,3.65,0
96,Shaun Norris,22549555,6600,37.78,30.38,0.0016,0.0013,-3.00E-04,-0.1875,118,0.44,1.83,0
97,Pablo Larrazabal,22549556,6500,40.11,34.8,0.0025,0.0029,4.00E-04,0.16,92,0.63,3.12,0
98,Patton Kizzire,22549558,6500,44.42,41.39,0.0036,0.0035,-1.00E-04,-0.0278,82,0.43,2.98,0
99,Harry Higgs,22549559,6500,37.13,41.72,0.0019,0.0017,-2.00E-04,-0.1053,111,0.18,2.19,0
100,Lucas Glover,22549560,6500,43.2,42.88,0.003,0.0025,-5.00E-04,-0.1667,98,0.88,2.38,0
101,Richard Bland,22549562,6500,42.47,36.97,0.003,0.0025,-5.00E-04,-0.1667,98,0.29,2.36,0
102,Anirban Lahiri,22549564,6500,42.62,43.82,0.0041,0.004,-1.00E-04,-0.0244,76,1.1,3.13,0
103,Takumi Kanaya,22549565,6400,33.77,51.98,0.0013,0.0015,2.00E-04,0.1538,113,0.08,2.68,0
104,Chan Kim,22549567,6400,36.76,25.14,0.001,8.00E-04,-2.00E-04,-0.2,124,0.04,1.79,0
105,J.J. Spaun,22549568,6400,42.67,41.39,0.0063,0.0064,1.00E-04,0.0159,46,0.47,4.06,0
106,Chad Ramey,22549569,6400,38.61,36.97,0.0027,0.0023,-4.00E-04,-0.1481,102,0.19,2.4,0
107,Sadom Kaewkanjana,22549570,6400,18.81,22.35,0.0016,0.0013,-3.00E-04,-0.1875,118,0.03,1.52,0
108,Troy Merritt,22549571,6400,42.36,41.39,0.0041,0.004,-1.00E-04,-0.0244,76,1.1,3.21,0
109,Oliver Bekker,22549573,6400,43.23,34.8,0.0036,0.0035,-1.00E-04,-0.0278,82,0.2,3.07,0
110,Beau Hossler,22677975,6400,36.31,39.4,0.0021,0.0018,-3.00E-04,-0.1429,109,0.51,2.22,0
111,Adam Schenk,22677979,6400,37.54,41.72,0.0018,0.0015,-3.00E-04,-0.1667,113,0.26,2.09,0
112,Lanto Griffin,22549574,6300,47.13,41.39,0.0062,0.0051,-0.0011,-0.1774,60,3.7,3.39,0
113,Daniel Van Tonder,22549575,6300,38.22,36.97,0.0017,0.0014,-3.00E-04,-0.1765,116,0.05,2.11,0
114,Joohyung Kim,22549577,6300,33.88,36.97,0.0021,0.0018,-3.00E-04,-0.1429,109,0.21,2.27,0
115,Ryan Fox,22549578,6300,48.46,41.39,0.0041,0.0041,0,0,74,2.4,3.44,0
116,Rikuya Hoshino,22549580,6300,29.43,45.31,0.0021,0.0018,-3.00E-04,-0.1429,109,0.07,2.19,0
117,Adam Hadwin,22549582,6300,48.63,41.39,0.0062,0.0055,-7.00E-04,-0.1129,56,3.6,3.65,0
118,Kramer Hickok,22677977,6300,40.84,47.63,0.0025,0.002,-5.00E-04,-0.2,106,0.2,2.3,0
119,Russell Knox,22677980,6300,44.79,41.39,0.0043,0.0041,-2.00E-04,-0.0465,74,0.62,3.31,0
120,Scott Stallings,22677981,6300,42.78,43.82,0.0035,0.0034,-1.00E-04,-0.0286,84,0.18,3.11,0
121,Dean Burmester,22549583,6200,42.78,41.39,0.0041,0.004,-1.00E-04,-0.0244,76,0.9,3.37,0
122,Yuki Inamori,22549595,6100,18.64,27.64,0.0012,0.001,-2.00E-04,-0.1667,122,0.08,1.62,0
123,Bio Kim,22549596,6100,18.53,14.28,0.0011,9.00E-04,-2.00E-04,-0.1818,123,0.05,1.57,0
124,Padraig Harrington,22549599,6100,39.05,28.89,0.0016,0.0013,-3.00E-04,-0.1875,118,0.68,2.16,0
