Player,Roster Position,%Drafted,FPTS
Lucas Herbert,G,0.30%,65
Shaun Norris,G,0.29%,42
Branden Grace,G,0.28%,17.5
Lee Westwood,G,0.28%,24.5
Alex Cejka,G,0.24%,16.5
Rikuya Hoshino,G,0.21%,46
Laurie Canter,G,0.20%,45
John Daly,G,0.18%,16.5
Richard Bland,G,0.18%,12
Hudson Swafford,G,0.17%,11.5
Nicolai Hojgaard,G,0.17%,11
Daniel Van Tonder,G,0.17%,12.5
Garrick Higgo,G,0.15%,12
Chan Kim,G,0.15%,20.5
Yuki Inamori,G,0.14%,12
Adam Schenk,G,0.13%,51
Kramer Hickok,G,0.12%,36
Bio Kim,G,0.11%,20.5
Henrik Stenson,G,0.11%,19.5
Martin Kaymer,G,0.10%,11.5
Zach Johnson,G,0.10%,12.5
Jason Dufner,G,0.08%,14
Y.E. Yang,G,0.08%,19.5
Sadom Kaewkanjana,G,0.08%,15.5
Jinichiro Kozuma,G,0.08%,18.5
Takumi Kanaya,G,0.07%,7.5
Ryosuke Kinoshita,G,0.07%,14
Bryson DeChambeau,G,0.06%,0
Ryan Brehm,G,0.05%,11
Sungjae Im,G,0.03%,0
Ryan Vermeer,G,0.02%,14.5
Jesse Mueller,G,0.02%,18
Wyatt Worthington,G,0.02%,9.5
Shawn Warren,G,0.02%,4.5
Dylan Newman,G,0.02%,18
Paul Casey,G,0.02%,0
Kyle Mendoza,G,0.01%,10
Matthew Borchert,G,0.01%,15.5
Casey Pyne,G,0.01%,3.5
Jared Jones,G,0.01%,4
Alex Beach,G,0.01%,11.5
Nic Ishee,G,0.01%,13.5
Tyler Collet,G,0.01%,11
Paul Dickinson,G,0.01%,10.5
Brandon Bingaman,G,0.01%,9
Rich Beem,G,0.01%,15.5
Colin Inglis,G,0.01%,8
Sean McCarty,G,0.01%,-1
Shaun Micheel,G,0.01%,10
Tim Feenstra,G,0.01%,14.5
Zac Oakley,G,0.01%,-1.5
Austin Hurt,G,0.00%,4.5
Michael Block,G,0.00%,10
Kazuki Higa,G,0.00%,0
Phil Mickelson,G,0.00%,0
Davis Love III,G,0.00%,0
