"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"32","Jason Day",22549491,7500,62.68,0.0111,0.0088,35,-0.0023,-0.2072,49.09,2.5,71.5,22.5,0.5704,0.0051,0.2263,0.1421,0.0638,0.03,0.0168,0.005,55,1.17,0.03,-0.42,2,0.0428,40,"2022-05-22","PGA Championship"
"33","Talor Gooch",22549492,7400,80.06,0.0144,0.008,41,-0.0064,-0.4444,50.87,9.3,73.5,23,0.6116,0.0082,0.271,0.1818,0.0891,0.0433,0.025,0.0076,20,1.08,0.01,-8.01,2,0.0813,58,"2022-05-22","PGA Championship"
"34","Billy Horschel",22549493,7400,79.95,0.0099,0.0092,31,-0.000700000000000001,-0.0707,48.62,7.1,71.5,22.5,0.6308,0.0076,0.285,0.1886,0.0915,0.0435,0.0254,0.0087,68,1.24,0.17,2.67,10,0.1151,41.5,"2022-05-22","PGA Championship"
"35","Matthew Wolff",22549495,7300,58.42,0.0069,0.0024,100,-0.0045,-0.6522,30.22,0.74,54.5,17.5,0.3875,0.002,0.0825,0.0454,0.0174,0.0063,0.0032,7e-04,100,0.33,-0.67,-3.5,0,0.0099,14.5,"2022-05-22","PGA Championship"
"36","Gary Woodland",22549496,7300,57.13,0.0151,0.0069,46,-0.0082,-0.543,49.7,10.6,73,23,0.632,0.0083,0.2596,0.1696,0.0804,0.0371,0.0214,0.0068,34,0.95,-0.05,-11.24,0,0.051,52,"2022-05-22","PGA Championship"
"37","Bubba Watson",22549497,7300,49.17,0.0067,0.005,60,-0.0017,-0.2537,44.6,1.6,68.08,21.5,0.6147,0.0089,0.2432,0.157,0.0733,0.0336,0.0184,0.0052,30,0.68,-0.32,0.76,2,0.0095,62.5,"2022-05-22","PGA Championship"
"38","Jason Kokrak",22549498,7300,72.38,0.0087,0.0093,30,6e-04,0.069,49.05,7.6,72,22.5,0.6127,0.0068,0.2704,0.179,0.0867,0.0403,0.0231,0.0073,60,1.27,0.27,5.3,12,0.0701,47.5,"2022-05-22","PGA Championship"
"39","Justin Rose",22549499,7200,66.25,0.0104,0.0054,57,-0.005,-0.4808,47.37,2.2,70.5,22,0.6038,0.0085,0.2304,0.1499,0.0701,0.032,0.0181,0.0053,13,0.75,-0.17,-5.13,0,0.0241,68,"2022-05-22","PGA Championship"
"40","Patrick Reed",22549500,7200,62.26,0.0114,0.0048,65,-0.0066,-0.5789,41.32,2.7,65,20.5,0.5727,0.0066,0.1893,0.1147,0.0485,0.0211,0.0119,0.0033,34,0.67,-0.25,-7.93,0,0.0379,49.5,"2022-05-22","PGA Championship"
"41","Sergio Garcia",22549501,7200,70.44,0.0114,0.0081,40,-0.0033,-0.2895,53.74,4.5,75.5,24,0.6316,0.0075,0.2866,0.1939,0.0948,0.0448,0.0263,0.0079,100,1.12,0.2,-2.2,2,0.047,16,"2022-05-22","PGA Championship"
"42","Sepp Straka",22549502,7200,59.21,0.0059,0.0049,62,-0.001,-0.1695,42.98,1.2,67.5,21,0.5774,0.0058,0.2242,0.144,0.065,0.0297,0.0165,0.0046,78,0.68,-0.24,2.04,4,0.0194,32.5,"2022-05-22","PGA Championship"
"43","Si Woo Kim",22549503,7200,67.53,0.0084,0.0089,34,5e-04,0.0595,48.88,4.2,71.5,22.5,0.665,0.0118,0.2968,0.199,0.0994,0.0471,0.0275,0.0084,60,1.24,0.32,5.11,10,0.0309,46.5,"2022-05-22","PGA Championship"
"44","Luke List",22549504,7200,57.39,0.0059,0.0048,65,-0.0011,-0.1864,46.12,3.3,70,21.5,0.5536,0.0044,0.2014,0.126,0.0536,0.0236,0.0124,0.0032,41,0.67,-0.25,1.86,6,0.0117,60,"2022-05-22","PGA Championship"
"45","Russell Henley",22549505,7200,79.57,0.0067,0.0102,28,0.0035,0.5224,53.1,5.9,76,23,0.6531,0.0081,0.3098,0.2125,0.1085,0.053,0.0309,0.0097,60,1.42,0.5,12.24,18,0.0825,44,"2022-05-22","PGA Championship"
"46","Thomas Pieters",22549506,7100,58.44,0.0056,0.005,60,-6e-04,-0.1071,46.31,1.8,70.5,21.5,0.6134,0.0084,0.2345,0.151,0.0689,0.0321,0.0187,0.0049,71,0.7,-0.15,2.8,4,0.0116,45,"2022-05-22","PGA Championship"
"47","Erik Van Rooyen",22549507,7100,65.81,0.0086,0.0073,44,-0.0013,-0.1512,45.35,1.5,69.5,21.5,0.5736,0.0064,0.2306,0.148,0.0683,0.031,0.0183,0.0049,100,1.03,0.18,1.55,4,NA,NA,"2022-05-22","PGA Championship"
"48","Maverick McNealy",22549508,7100,79.4,0.0087,0.0073,44,-0.0014,-0.1609,50.02,4.7,73,22.93,0.6136,0.0074,0.2682,0.179,0.0869,0.0421,0.0242,0.0068,75,1.03,0.18,1.36,6,0.0489,37.5,"2022-05-22","PGA Championship"
"49","Cameron Tringale",22549511,7100,69.31,0.0056,0.0045,68,-0.0011,-0.1964,49.21,1.1,72.5,22,0.5421,0.0037,0.1911,0.1172,0.0509,0.0217,0.0116,0.0036,41,0.63,-0.22,1.89,2,0.0149,49,"2022-05-22","PGA Championship"
"50","Tom Hoge",22549512,7100,69.97,0.0087,0.0082,38,-0.000499999999999999,-0.0575,46.98,5,70.5,22,0.6562,0.0117,0.2898,0.1937,0.0962,0.0465,0.0266,0.0085,9,1.15,0.3,3.1,8,0.042,73,"2022-05-22","PGA Championship"
"51","Lee Westwood",22549513,7000,41.65,0.0064,0.0018,108,-0.0046,-0.7188,39.13,0.48,64,20,0.4726,0.0042,0.1153,0.0653,0.0262,0.0111,0.0057,0.0014,100,0.26,-0.51,-3.29,0,0.003,24.5,"2022-05-22","PGA Championship"
"52","Alex Noren",22549514,7000,72,0.0051,0.0087,36,0.0036,0.7059,52.28,12.6,74,23,0.6695,0.0103,0.3012,0.2047,0.0998,0.0485,0.0278,0.0084,100,1.24,0.47,13.33,26,0.1457,20,"2022-05-22","PGA Championship"
"53","Harold Varner III",22549515,7000,67.21,0.0084,0.0085,37,0.000100000000000001,0.0119,49.65,4.3,73,22.5,0.6226,0.0074,0.2816,0.1881,0.0938,0.044,0.0249,0.008,48,1.21,0.44,4.33,8,0.0708,49.5,"2022-05-22","PGA Championship"
"54","Ian Poulter",22549516,7000,52.62,0.0048,0.0036,81,-0.0012,-0.25,43.18,0.48,67.5,20.5,0.486,0.003,0.1448,0.0845,0.0337,0.0136,0.007,0.002,100,0.51,-0.26,1.77,2,0.0039,21,"2022-05-22","PGA Championship"
"55","Seamus Power",22549517,7000,71.76,0.0111,0.0095,29,-0.0016,-0.1441,53.45,1.6,75.5,23.5,0.6336,0.0084,0.2927,0.1961,0.0982,0.0472,0.0273,0.0089,9,1.36,0.59,1.06,2,0.0403,63.5,"2022-05-22","PGA Championship"
"56","Brian Harman",22549518,7000,61.37,0.0067,0.0061,50,-6e-04,-0.0896,51.12,2.9,73.5,23,0.6535,0.0089,0.2752,0.1796,0.0869,0.0397,0.0228,0.0066,34,0.87,0.1,2.86,6,0.0306,65,"2022-05-22","PGA Championship"
"57","Rickie Fowler",22549519,7000,53.42,0.0105,0.0028,92,-0.0077,-0.7333,40.53,0.45,65.5,20.5,0.4727,0.0031,0.138,0.0805,0.0328,0.0132,0.0071,0.0016,23,0.4,-0.37,-9.36,0,0.0175,51.5,"2022-05-22","PGA Championship"
"58","Christiaan Bezuidenhout",22549520,7000,66.11,0.0056,0.0054,57,-2e-04,-0.0357,47.04,2.3,70.5,22,0.5344,0.0046,0.1858,0.1136,0.0487,0.0212,0.0112,0.003,100,0.77,0,3.61,6,0.0315,15.5,"2022-05-22","PGA Championship"
"59","Robert Macintyre",22549521,6900,63.19,0.0068,0.0049,62,-0.0019,-0.2794,46.14,8.2,69.5,22,0.5883,0.0076,0.2116,0.1335,0.0615,0.0272,0.0153,0.0044,77,0.71,0.02,0.52,8,NA,NA,"2022-05-22","PGA Championship"
"60","Francesco Molinari",22549522,6900,55.5,0.0042,0.003,89,-0.0012,-0.2857,40.06,0.64,65,20,0.5328,0.0054,0.1653,0.0992,0.0421,0.0178,0.0094,0.0027,55,0.43,-0.26,1.85,2,0.0063,40,"2022-05-22","PGA Championship"
