player_name,sample_size,baseline,major_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Johnson, Dustin",150,1.241,0.075,37,-0.017,0.041,-0.064,0.030,-0.040,0.022,-0.020,-0.010,-0.008,1.257,2.932,"PGA Championship",Southern Hills CC
"Oosthuizen, Louis",150,1.055,0.144,39,-0.023,0.013,-0.038,0.053,-0.040,-0.001,0.028,-0.011,0.016,1.181,2.906,"PGA Championship",Southern Hills CC
"Burns, Sam",150,1.368,-0.003,25,0.023,-0.020,-0.033,-0.128,-0.040,0.016,-0.002,-0.015,-0.001,1.165,2.942,"PGA Championship",Southern Hills CC
"Finau, Tony",150,0.933,0.103,32,-0.000,0.008,-0.014,0.185,-0.040,0.011,-0.019,-0.006,-0.014,1.161,2.860,"PGA Championship",Southern Hills CC
"Bradley, Keegan",150,1.170,-0.023,35,-0.011,0.002,0.019,-0.014,-0.040,0.011,0.018,-0.007,0.021,1.125,2.904,"PGA Championship",Southern Hills CC
"Young, Cameron",150,0.901,-0.031,25,0.025,0.089,0.052,0.098,-0.040,0.027,0.004,-0.005,0.027,1.121,2.911,"PGA Championship",Southern Hills CC
"Berger, Daniel",150,1.242,-0.021,29,0.012,0.021,-0.055,-0.060,-0.040,0.000,0.031,-0.012,0.019,1.118,2.840,"PGA Championship",Southern Hills CC
"Henley, Russell",150,1.189,0.020,33,-0.001,0.004,0.015,-0.099,-0.040,-0.003,0.036,-0.010,0.022,1.111,2.866,"PGA Championship",Southern Hills CC
"Koepka, Brooks",150,0.727,0.235,32,0.002,0.073,-0.032,0.072,-0.040,0.020,-0.027,-0.004,-0.010,1.027,2.895,"PGA Championship",Southern Hills CC
"Homa, Max",150,1.037,-0.083,31,0.004,0.058,0.050,-0.015,-0.040,0.011,0.008,-0.005,0.015,1.027,2.910,"PGA Championship",Southern Hills CC
"Power, Seamus",150,0.949,0.004,35,-0.008,0.023,0.032,0.050,-0.040,0.005,0.002,-0.012,-0.005,1.005,2.900,"PGA Championship",Southern Hills CC
"Fleetwood, Tommy",150,1.060,0.039,31,0.004,-0.026,-0.019,-0.027,-0.040,0.007,-0.003,-0.011,-0.006,0.985,2.852,"PGA Championship",Southern Hills CC
"Garcia, Sergio",150,1.128,-0.011,42,-0.032,-0.062,0.004,-0.037,-0.036,0.015,0.006,-0.004,0.017,0.972,2.872,"PGA Championship",Southern Hills CC
"Horschel, Billy",150,1.162,-0.033,35,-0.009,-0.013,-0.001,-0.123,-0.040,-0.003,0.037,-0.011,0.023,0.965,2.862,"PGA Championship",Southern Hills CC
"Wise, Aaron",150,0.828,0.008,25,0.022,0.009,-0.023,0.127,-0.040,0.009,0.009,-0.005,0.013,0.944,2.908,"PGA Championship",Southern Hills CC
"Hatton, Tyrrell",150,1.117,-0.076,30,0.007,0.046,0.014,-0.099,-0.040,0.008,-0.022,-0.016,-0.030,0.939,2.933,"PGA Championship",Southern Hills CC
"Varner III, Harold",150,1.059,-0.008,31,0.003,-0.029,0.018,-0.046,-0.040,0.005,-0.012,-0.013,-0.020,0.936,2.903,"PGA Championship",Southern Hills CC
"Munoz, Sebastian",150,0.903,-0.047,29,0.011,0.005,-0.005,0.076,-0.040,0.004,0.020,-0.006,0.018,0.922,2.943,"PGA Championship",Southern Hills CC
"Gooch, Talor",150,0.980,0.010,30,0.007,0.040,-0.011,-0.082,-0.040,0.005,0.008,-0.015,-0.002,0.903,2.911,"PGA Championship",Southern Hills CC
"McNealy, Maverick",150,0.947,-0.017,26,0.020,-0.006,0.002,-0.018,-0.040,0.009,0.004,-0.009,0.003,0.891,2.899,"PGA Championship",Southern Hills CC
"Pereira, Mito",150,0.761,-0.004,27,0.018,0.040,-0.012,0.103,-0.040,0.007,0.017,-0.003,0.020,0.886,2.864,"PGA Championship",Southern Hills CC
"Kokrak, Jason",150,0.934,0.003,37,-0.014,0.023,-0.025,-0.020,-0.040,0.019,0.000,-0.007,0.012,0.872,2.922,"PGA Championship",Southern Hills CC
"Noren, Alex",150,1.087,-0.054,39,-0.023,-0.022,0.011,-0.094,-0.040,0.002,0.008,-0.015,-0.005,0.860,2.881,"PGA Championship",Southern Hills CC
"Kim, Si Woo",150,0.633,-0.010,26,0.019,0.034,0.010,0.168,-0.040,0.001,0.022,-0.007,0.016,0.830,2.896,"PGA Championship",Southern Hills CC
"Scott, Adam",150,0.941,0.032,41,-0.030,-0.027,-0.002,-0.071,-0.009,0.013,-0.018,-0.009,-0.014,0.820,2.886,"PGA Championship",Southern Hills CC
"Hoge, Tom",150,0.815,0.003,32,-0.001,-0.032,-0.010,0.056,-0.040,-0.003,0.024,-0.005,0.016,0.807,2.895,"PGA Championship",Southern Hills CC
"Harman, Brian",150,0.811,0.005,35,-0.009,-0.098,0.013,0.031,-0.040,-0.011,0.045,-0.010,0.025,0.739,2.833,"PGA Championship",Southern Hills CC
"Vegas, Jhonattan",150,0.869,-0.085,37,-0.017,0.016,-0.012,-0.013,-0.040,0.027,-0.019,-0.002,0.006,0.723,2.842,"PGA Championship",Southern Hills CC
"Van Rooyen, Erik",150,0.682,0.028,32,0.001,0.021,0.000,-0.031,-0.040,0.006,0.021,-0.004,0.022,0.683,2.909,"PGA Championship",Southern Hills CC
