"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"48","Maverick McNealy",22549508,7100,79.4,0.0081,0.0072,44,-9e-04,-0.1111,50.02,4.7,73,22.93,0.6466,0.1912,0.0947,0.0453,0.0081,1.01,1,0.17,3.08,8,0
"49","Cameron Tringale",22549511,7100,69.31,0.0056,0.0046,68,-0.001,-0.1786,49.21,1.1,72.5,22,0.5763,0.1304,0.0565,0.0247,0.0039,0.65,1,-0.19,2.21,3,0
"50","Tom Hoge",22549512,7100,69.97,0.0081,0.0076,42,-5e-04,-0.0617,46.98,5,70.5,22,0.6337,0.177,0.0828,0.0392,0.0067,1.07,1,0.23,3.26,8,0
"51","Lee Westwood",22549513,7000,41.65,0.0064,0.0019,107,-0.0045,-0.7031,39.13,0.48,64,20,0.4425,0.0608,0.0232,0.009,0.0013,0.27,1,-0.49,0.45,1,0
"52","Alex Noren",22549514,7000,72,0.0057,0.0084,36,0.0027,0.4737,52.28,12.6,74,23,0.639,0.1855,0.0878,0.0408,0.0061,1.2,1,0.44,4.8,17,0
"53","Harold Varner III",22549515,7000,67.21,0.0084,0.0086,34,0.000200000000000001,0.0238,49.65,4.3,73,22.5,0.6503,0.2028,0.1003,0.05,0.0085,1.23,1,0.47,3.94,8,0
"54","Ian Poulter",22549516,7000,52.62,0.0048,0.0036,80,-0.0012,-0.25,43.18,0.48,67.5,20.5,0.5238,0.0909,0.036,0.0149,0.0018,0.51,1,-0.25,1.88,2,0
"55","Seamus Power",22549517,7000,71.76,0.0103,0.0097,29,-6e-04,-0.0583,53.45,1.6,75.5,23.5,0.6599,0.2179,0.1099,0.0548,0.0107,1.39,1,0.63,4.13,6,0
"56","Brian Harman",22549518,7000,61.37,0.0067,0.0063,48,-4e-04,-0.0597,51.12,2.9,73.5,23,0.6154,0.1629,0.0737,0.0333,0.0054,0.9,1,0.14,3.13,6,0
"57","Rickie Fowler",22549519,7000,53.42,0.0105,0.0027,95,-0.0078,-0.7429,40.53,0.45,65.5,20.5,0.5074,0.0898,0.0378,0.016,0.0021,0.39,1,-0.37,0.63,1,0
