player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Eli Manning,1722,QB,NYG,3,124,70.6,34,35,10.6,2.34,1,4,10.5,62.9,22,11,8.3,38,30.6,2,15,79.2,81.0,77.3,79.1,,,0,1,41,27.3,114.8,7.9,3,0,0,0,3,1,2.4,367,10.5,0,21,62.6,87.7,89.4,33.8,80.0,80,83,8.8,2.7,1,6,7.1,68.7,57,24,10.9,86,69.4,7,34,84.0,90.4,80.0,88.5,,62.9,1,2,87,4.2,89.6,1.2,1,2,0,1,2,3,3.4,644,7.8,80.5,87,88,9.9,2.36,1,8,9.0,70.5,62,0,11.4,89,71.8,8,40,84.2,93.2,80.1,92.4,,55.7,0,1,90,,113.4,0.0,0,1,0,0,5,2,2.2,810,9.2,0,66.7,27,30,7.5,3.18,1,2,6.1,56.7,17,35,5.6,35,28.2,1,9,78.7,63.0,77.0,60.2,,65.6,1,2,38,11.4,49.4,11.4,4,1,0,1,0,2,5.3,201,6.7
Peyton Manning,327,QB,DEN,3,124,73.5,34,37,6.0,2.47,1,1,2.4,54.1,20,14,20.0,41,33.1,5,13,79.8,53.7,77.6,52.4,,64.4,1,0,45,21.4,97.4,7.3,3,1,0,1,2,2,4.4,286,7.7,0,10,87.4,67.5,67.5,56.6,75.0,76,78,10.6,2.61,0,10,11.6,62.8,49,17,14.0,83,66.9,8,26,84.3,75.4,80.2,74.0,,,0,3,91,29.4,80.0,6.0,5,0,1,1,3,8,8.8,538,6.9,74.4,90,93,9.9,2.42,1,11,10.7,60.2,56,0,16.4,93,75.0,11,32,85.1,72.2,80.6,71.0,,,0,2,103,,92.2,0.0,0,0,1,1,5,8,7.8,691,7.4,1,75.0,20,22,6.1,2.98,0,0,0.0,59.1,13,31,13.3,31,25.0,2,7,77.9,56.4,76.5,54.4,,64.4,1,1,33,25.8,57.6,25.8,8,1,0,1,0,2,6.1,133,6.0
Matt Ryan,4317,QB,ATL,3,119,88.6,35,38,7.2,2.44,0,3,7.7,73.7,28,14,9.7,38,31.9,3,19,78.9,93.6,77.1,92.4,,,0,0,39,0.0,131.6,0.0,0,0,0,3,5,1,2.6,260,6.8,0,2,86.6,91.0,91.8,47.9,80.3,66,69,7.8,2.87,1,4,5.6,71.0,49,23,7.5,81,68.1,4,34,83.8,83.9,79.9,85.3,,52.0,1,1,85,17.4,101.9,4.9,4,8,0,1,3,2,2.4,533,7.7,84.6,78,79,7.6,2.42,1,5,6.0,77.2,61,0,7.6,82,68.9,5,45,83.9,93.6,80.0,92.7,,59.4,0,1,86,,127.2,0.0,0,3,0,0,7,2,2.3,692,8.8,1,78.3,23,28,7.7,3.43,0,2,7.1,57.1,16,37,11.1,37,31.1,2,8,78.7,69.2,77.0,72.9,,50.5,1,0,38,10.8,76.6,10.8,4,5,0,4,1,1,2.6,101,3.6
Tony Romo,1693,QB,DAL,3,117,68.6,35,36,10.4,2.52,1,3,8.3,63.9,23,14,4.2,38,32.5,1,18,78.7,76.0,77.0,73.2,,64.4,0,1,38,7.1,98.3,2.6,1,1,0,0,2,2,5.3,311,8.6,0,9,37.7,66.0,68.3,52.2,73.6,72,72,10.7,2.94,0,4,5.4,65.3,47,27,11.3,79,67.5,6,21,27.1,64.8,79.7,63.4,,63.9,0,2,81,22.2,84.8,7.6,6,1,0,0,2,6,7.4,530,7.4,78.7,75,76,8.2,2.43,1,2,2.6,68.4,52,0,11.9,76,65.0,7,26,83.2,70.8,79.6,69.7,,,0,1,77,,90.6,0.0,0,0,0,0,1,2,2.6,594,7.8,2,56.3,32,32,16.3,3.51,0,5,15.2,56.3,18,41,0.0,41,35.0,0,13,21.8,66.0,77.3,62.6,,72.5,0,2,42,17.1,86.3,17.1,7,2,0,0,3,6,14.3,247,7.7
Joe Flacco,4332,QB,BLT,3,116,73.9,23,24,10.0,2.52,1,3,11.5,66.7,16,10,5.9,27,23.3,1,10,77.2,78.8,76.0,77.1,,,0,0,29,30.0,136.1,11.1,3,0,0,0,3,1,3.4,224,9.3,0,3,87.0,65.2,66.3,42.4,66.7,84,86,11.4,2.78,0,11,11.2,64.0,55,29,1.8,89,76.7,1,32,85.0,60.3,80.6,60.8,,55.3,1,2,102,6.9,90.7,2.2,2,1,0,1,3,7,6.9,689,8.0,71.1,76,77,10.8,2.5,1,7,8.0,68.8,53,0,1.9,77,66.4,1,28,84.0,66.2,80.0,65.5,,,0,2,87,,93.2,0.0,0,0,0,0,2,5,5.7,663,8.6,1,61.3,31,33,11.7,3.16,0,7,18.9,54.5,18,39,5.3,39,33.6,1,14,79.5,63.9,77.5,65.0,,55.3,1,0,44,12.8,118.7,12.8,5,1,0,1,4,3,6.8,250,7.6
Jake Locker,6160,QB,TEN,3,112,74.2,31,34,7.7,2.55,0,1,2.9,58.8,20,13,13.0,35,31.3,3,9,78.4,59.0,76.8,57.4,,63.9,2,1,36,0.0,76.5,0.0,0,1,0,1,1,1,2.8,227,6.7,0,31,32.9,70.8,70.8,61.4,80.6,67,70,7.7,2.81,1,4,5.6,67.1,47,19,13.0,77,68.8,7,24,47.2,78.9,79.7,76.2,,69.8,1,1,79,10.5,99.3,2.6,2,5,0,1,3,2,2.5,554,7.9,85.3,75,76,7.3,2.48,1,3,3.9,71.1,54,0,15.6,80,71.4,10,25,83.5,87.2,79.7,84.8,,65.9,0,0,81,,109.0,0.0,0,4,0,0,3,0,0.0,631,8.3,1,56.5,23,28,9.0,3.36,0,2,6.9,46.4,13,32,0.0,32,28.6,0,8,26.9,40.4,76.6,37.4,,71.3,3,2,34,6.3,45.2,6.3,2,2,0,2,1,3,8.8,150,5.4
Philip Rivers,1725,QB,SD,3,111,63.3,30,31,11.6,2.59,0,3,8.6,61.3,19,16,0.0,35,31.5,0,14,28.1,53.0,77.1,53.9,,58.3,0,3,39,18.8,46.2,8.6,3,1,0,1,0,4,10.3,243,7.8,0,27,59.9,68.5,68.7,49.4,79.4,68,72,6.1,2.75,0,2,2.7,69.4,50,33,7.4,76,68.5,4,23,83.2,77.2,79.6,76.3,,58.3,2,0,78,9.1,104.2,3.9,3,1,0,2,4,0,0.0,445,6.2,82.0,61,61,6.9,2.48,0,1,1.5,78.7,48,0,4.0,62,55.9,2,25,82.1,81.8,79.0,80.5,,58.3,0,0,66,,113.8,0.0,0,1,0,0,3,0,0.0,450,7.4,0,62.2,37,42,9.2,2.97,0,4,9.1,50.0,21,49,8.7,49,44.1,2,12,31.7,48.5,78.0,49.6,,58.3,2,3,51,12.2,45.5,12.2,6,1,0,3,1,4,7.8,238,5.7
Sam Bradford,5526,QB,SL,3,111,75.0,24,28,7.2,2.57,1,1,3.4,60.7,17,13,5.6,31,27.9,1,11,77.7,71.5,76.4,68.8,,64.0,1,0,32,15.4,102.2,6.5,2,1,0,2,2,0,0.0,173,6.2,0,26,60.0,72.0,70.5,63.2,76.2,63,67,8.7,2.64,0,4,5.7,65.7,44,30,8.3,80,72.1,4,23,49.6,71.6,79.8,68.9,,71.9,3,3,83,33.3,78.4,12.5,10,3,1,0,2,4,4.8,487,7.3,75.8,66,67,8.3,2.26,0,4,5.7,71.6,48,0,4.0,68,61.3,2,27,82.6,83.3,79.3,80.5,,64.0,0,3,71,,91.3,0.0,0,1,1,0,3,2,2.8,534,8.0,0,76.2,21,28,8.1,3.18,1,1,3.4,46.4,13,43,18.8,43,38.7,3,7,29.3,51.5,77.5,47.9,,71.9,4,0,44,27.9,71.4,27.9,12,3,0,2,1,2,4.5,126,4.5
Alex Smith,2218,QB,SF,3,110,90.3,31,31,6.9,2.84,0,1,3.0,77.4,24,12,14.3,39,35.5,4,18,79.3,81.6,77.3,76.0,,78.4,0,0,42,50.0,124.1,15.4,6,2,0,0,2,0,0.0,268,8.6,0,28,68.0,69.8,67.8,66.0,77.2,57,61,6.6,2.69,2,0,0.0,65.6,40,15,9.1,71,64.5,4,24,56.2,62.5,79.4,59.8,,70.6,0,1,73,26.7,91.8,5.6,4,6,0,2,3,0,0.0,373,6.1,85.5,76,79,6.4,2.36,2,1,1.2,72.2,57,0,12.3,83,75.5,8,38,84.0,78.6,80.0,78.0,,56.9,0,1,87,,104.2,0.0,0,4,0,1,4,0,0.0,576,7.3,1,58.3,12,13,8.5,3.93,0,0,0.0,53.8,7,27,0.0,27,24.5,0,4,28.9,49.7,75.9,34.6,,90.4,0,0,28,37.0,93.4,37.0,10,4,0,1,1,0,0.0,65,5.0
Christian Ponder,6164,QB,MIN,3,110,75.0,32,35,6.3,2.85,0,3,8.1,57.1,20,19,16.7,41,37.3,4,17,79.5,63.3,77.4,61.4,,66.4,1,0,43,21.1,93.5,9.8,4,2,0,2,2,2,4.7,208,5.9,0,18,34.4,65.8,64.4,62.2,81.7,60,62,6.3,2.55,1,3,4.6,77.4,48,11,2.0,69,62.7,1,28,26.2,67.8,79.4,65.2,,69.4,0,0,74,18.2,111.3,2.9,2,5,0,1,2,4,5.4,505,8.1,81.1,74,75,6.3,2.37,1,4,5.1,76.0,57,0,5.0,80,72.7,3,35,83.7,68.3,79.9,70.1,,48.3,0,0,84,,103.5,0.0,0,5,0,0,1,4,4.8,605,8.1,0,72.2,18,22,6.3,3.46,0,2,8.3,50.0,11,30,15.4,30,27.3,2,10,19.8,61.5,76.5,49.9,,91.0,1,0,33,20.0,103.8,20.0,6,2,0,3,3,2,6.1,108,4.9
Andy Dalton,6187,QB,CIN,3,109,58.8,34,36,11.4,2.62,2,5,12.8,55.6,20,17,0.0,44,40.4,0,14,29.6,51.6,77.8,52.2,59.3,,0,2,47,47.1,92.8,18.2,8,0,0,0,3,4,8.5,344,9.6,0,7,60.2,59.4,59.6,54.6,86.0,57,59,8.2,2.49,1,3,4.8,76.3,45,11,8.2,65,59.6,4,21,82.3,67.2,79.1,65.6,,66.1,0,1,68,36.4,112.5,6.2,4,2,0,1,3,1,1.5,523,8.9,79.7,79,81,8.8,2.11,1,5,5.9,72.8,59,0,6.3,81,74.3,4,29,83.8,73.0,80.0,72.0,59.3,,0,1,85,,110.6,0.0,0,0,0,1,4,2,2.4,710,8.8,1,50.0,12,14,13.4,3.8,2,3,18.8,42.9,6,28,0.0,28,25.7,0,6,26.0,30.4,76.1,29.5,,66.1,0,2,30,42.9,84.5,42.9,12,2,0,0,2,3,10.0,157,11.2
Ryan Tannehill,7014,QB,MIA,3,108,73.2,41,48,9.7,2.66,1,3,6.0,54.2,26,22,13.3,50,46.3,4,15,80.6,72.2,78.1,70.6,,63.5,1,2,52,0.0,58.6,0.0,0,2,0,5,0,1,1.9,331,6.9,0,17,68.2,58.3,61.5,41.1,68.6,51,54,7.3,2.67,2,1,1.7,51.9,28,10,20.0,58,53.7,7,14,81.7,53.8,78.8,53.3,,62.6,0,2,62,30.0,57.9,5.2,3,1,0,1,1,1,1.6,284,5.3,65.7,70,73,8.8,2.5,3,4,5.2,52.1,38,0,17.4,76,70.4,8,24,83.4,65.0,79.7,63.4,,67.0,0,3,80,,58.9,0.0,0,3,0,0,1,1,1.3,455,6.2,1,86.4,22,29,6.9,3.05,0,0,0.0,55.2,16,32,15.8,32,29.6,3,5,78.1,56.7,76.6,56.7,,,1,1,34,9.4,56.7,9.4,3,0,0,6,0,1,2.9,160,5.5
