player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Riley, Davis",150,0.706,25,0.024,0.018,-0.035,-0.010,-0.040,-0.072,0.036,0.019,-0.017,0.645,2.990,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Day, Jason",150,0.584,34,-0.006,0.050,0.014,-0.014,0.071,-0.060,-0.017,-0.001,-0.078,0.621,2.990,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Reed, Patrick",150,0.612,31,0.003,-0.054,0.008,-0.117,0.111,0.048,0.004,0.001,0.053,0.616,2.978,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Hadwin, Adam",150,0.536,34,-0.006,0.023,0.002,-0.057,-0.006,0.027,0.067,0.018,0.112,0.605,2.966,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Lahiri, Anirban",150,0.305,34,-0.007,0.051,0.016,0.109,0.087,0.007,0.017,-0.002,0.022,0.581,2.955,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Merritt, Troy",150,0.676,36,-0.013,-0.049,-0.001,-0.195,0.064,0.069,0.040,-0.016,0.093,0.576,2.976,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"List, Luke",150,0.384,37,-0.015,0.025,-0.004,0.354,-0.025,-0.152,-0.041,0.047,-0.147,0.572,2.937,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Mitchell, Keith",150,0.593,30,0.008,0.053,-0.003,0.095,-0.076,-0.111,0.003,0.004,-0.103,0.566,2.990,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Long, Adam",150,0.530,34,-0.007,-0.009,-0.017,-0.076,-0.020,0.072,0.090,0.003,0.165,0.566,3.013,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Van Rooyen, Erik",150,0.449,32,0.001,0.069,-0.027,0.024,-0.005,-0.033,0.045,0.034,0.045,0.556,2.996,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Streelman, Kevin",150,0.211,43,-0.036,-0.078,0.011,0.043,0.226,0.043,0.125,-0.001,0.168,0.544,2.966,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Steele, Brendan",150,0.372,39,-0.021,-0.002,0.018,0.125,0.044,-0.060,0.035,0.033,0.008,0.543,3.001,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"NeSmith, Matthew",150,0.334,28,0.013,0.065,0.002,0.060,-0.075,-0.007,0.072,0.041,0.106,0.506,2.970,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Ghim, Doug",150,0.101,26,0.022,0.035,-0.009,0.241,-0.059,0.023,0.098,0.040,0.161,0.491,2.941,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Glover, Lucas",150,0.339,42,-0.032,-0.094,0.002,0.104,-0.012,0.026,0.100,0.047,0.172,0.478,2.992,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"McCarthy, Denny",150,0.663,29,0.011,-0.027,-0.006,-0.226,-0.020,0.045,0.053,-0.015,0.083,0.478,2.940,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Griffin, Lanto",150,0.539,33,-0.004,-0.016,0.019,-0.038,-0.020,-0.031,-0.006,0.030,-0.007,0.472,2.977,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Vegas, Jhonattan",150,0.637,37,-0.017,0.037,0.002,0.019,-0.032,-0.183,-0.050,0.043,-0.190,0.456,2.934,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Stallings, Scott",150,0.522,37,-0.015,0.048,0.005,-0.186,0.153,-0.045,-0.054,0.021,-0.078,0.450,3.013,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Straka, Sepp",150,0.373,29,0.012,0.116,-0.001,-0.010,-0.011,-0.071,0.003,0.004,-0.065,0.414,2.989,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Rai, Aaron",150,0.204,27,0.018,0.035,0.004,0.038,-0.040,0.027,0.094,0.027,0.148,0.407,2.959,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Jones, Matt",150,0.351,42,-0.031,-0.068,0.013,0.191,0.040,-0.037,-0.070,0.011,-0.097,0.400,2.967,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Davis, Cameron",150,0.565,27,0.018,0.054,0.026,-0.107,-0.055,-0.078,-0.074,0.024,-0.128,0.373,2.979,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Fowler, Rickie",150,0.253,33,-0.002,0.052,-0.010,-0.077,0.161,-0.050,-0.001,0.007,-0.044,0.333,2.996,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
