"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"67","Pat Perez",22890877,6600,55.72,0.006,0.0053,56,-7e-04,-0.1167,52.17,2.3,77,24.5,0.5801,0.0062,0.2102,0.1243,0.0522,0.0211,0.0111,0.0029,26,0.8,0.17,0.65,3,0.0258,72,"2022-06-05","Memorial Tournament"
"68","Brendan Steele",22890878,6600,54.59,0.0058,0.0066,43,8e-04,0.1379,53.96,12.4,78,25,0.6297,0.0072,0.2717,0.1764,0.0801,0.0374,0.021,0.006,10,1,0.37,3.69,16,0.1068,72.5,"2022-06-05","Memorial Tournament"
"69","Erik Van Rooyen",22890879,6600,59.13,0.0052,0.0056,50,4e-04,0.0769,54.12,2.8,78.5,25,0.6312,0.0074,0.27,0.1752,0.083,0.0391,0.0214,0.006,100,0.85,0.22,2.84,6,NA,NA,"2022-06-05","Memorial Tournament"
"70","Min Woo Lee",22890880,6500,38.56,0.0036,0.0032,75,-4e-04,-0.1111,46.75,0.23,73.5,23.5,0.5236,0.0051,0.1614,0.0932,0.0384,0.015,0.0077,0.0019,100,0.49,-0.08,1.21,1,0.0024,22.5,"2022-06-05","Memorial Tournament"
"71","Taylor Moore",22890881,6500,49.83,0.003,0.0027,82,-3e-04,-0.1,45.62,0.28,72.5,23,0.5544,0.0043,0.1845,0.1084,0.044,0.0181,0.0091,0.0024,100,0.42,-0.15,1.4,2,0.0012,15,"2022-06-05","Memorial Tournament"
"72","Hudson Swafford",22890882,6500,56.82,0.0018,0.0016,98,-2e-04,-0.1111,45.52,0.51,73,23,0.494,0.0033,0.1411,0.0804,0.0307,0.0114,0.006,0.0017,100,0.25,-0.32,1.58,2,0.0014,23,"2022-06-05","Memorial Tournament"
"73","Sahith Theegala",22890883,6500,64.83,0.0016,0.0025,85,9e-04,0.5625,52.1,3.1,77,24.5,0.5432,0.005,0.1804,0.1053,0.0424,0.0176,0.0097,0.0021,5,0.38,-0.19,4.4,8,0.0425,85.5,"2022-06-05","Memorial Tournament"
"74","Matthew Wolff",22890884,6500,55.04,0.0021,0.0025,85,4e-04,0.1905,35.52,0.85,62.5,20.5,0.3739,0.002,0.0671,0.0343,0.01,0.0033,0.0012,4e-04,100,0.38,-0.19,2.84,4,0.0082,26.5,"2022-06-05","Memorial Tournament"
"75","Lucas Glover",22890885,6500,61.44,0.0052,0.005,58,-2e-04,-0.0385,53.84,2.8,78,25,0.6186,0.0089,0.2587,0.1636,0.0756,0.0351,0.0196,0.0056,60,0.77,0.2,1.63,4,0.0633,44.5,"2022-06-05","Memorial Tournament"
"76","Patton Kizzire",22890886,6400,59.05,0.0026,0.0023,89,-3e-04,-0.1154,54.43,1.5,79,25,0.5419,0.0049,0.1749,0.1039,0.0427,0.0173,0.0094,0.0024,100,0.36,-0.14,1.41,3,0.0103,11,"2022-06-05","Memorial Tournament"
"77","Alex Smalley",22890887,6400,57.4,0.002,0.0024,88,4e-04,0.2,54.92,1.6,79,25,0.5866,0.0077,0.2255,0.1399,0.06,0.025,0.0138,0.004,100,0.37,-0.13,2.86,4,0.0124,18,"2022-06-05","Memorial Tournament"
"78","Rafa Cabrera Bello",22890888,6400,43.61,5e-04,6e-04,110,9.99999999999999e-05,0.2,42.65,0.42,69.5,22,0.3854,0.0015,0.072,0.0354,0.0114,0.0042,0.0018,4e-04,100,0.09,-0.41,2.22,3,0.0015,21.5,"2022-06-05","Memorial Tournament"
"79","Charles Howell III",22890889,6400,58.12,0.0048,0.0043,65,-5e-04,-0.1042,56.7,1.1,79,26,0.5825,0.0071,0.2188,0.1348,0.0587,0.0265,0.014,0.0042,18,0.67,0.17,1.05,2,0.0127,65.5,"2022-06-05","Memorial Tournament"
"80","J.T. Poston",22890890,6400,45.37,0.0038,0.0034,72,-4e-04,-0.1053,45.27,0.82,71.5,23,0.556,0.0054,0.196,0.1175,0.0498,0.0221,0.0118,0.0033,37,0.53,0.03,1.23,2,0.0036,62.5,"2022-06-05","Memorial Tournament"
"81","Matthew NeSmith",22890891,6400,57.85,0.0036,0.0037,70,1e-04,0.0278,51.59,4.7,77,24.5,0.6198,0.0066,0.2582,0.1638,0.0737,0.0331,0.0188,0.0052,37,0.58,0.08,2.21,7,0.0257,55.5,"2022-06-05","Memorial Tournament"
