datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Lee, Danny","Danny Lee",150,22890903,6200,26.285,N/A,0,44.8,1.1,0,45.9,-0.19,100,5,
"Lower, Justin","Justin Lower",150,22890904,6200,26.567,N/A,0,45.1,1.1,0,46.2,-0.18,100,5,
"Watney, Nick","Nick Watney",150,22890912,6100,23.861,N/A,0,38.9,0.6,0,39.5,-0.44,100,5,
"Snedeker, Brandt","Brandt Snedeker",150,22890913,6100,25.943,N/A,0,44.1,1,0,45.1,-0.2,100,5,
"Morgan, Jediah","Jediah Morgan",150,22890910,6100,16.321,N/A,0,26.1,0.1,0,26.2,-1,100,5,
"McGirt, William","William McGirt",150,22890909,6100,25.353,N/A,0,42.1,0.9,0,43.1,-0.29,100,5,
"Clark, Wyndham","Wyndham Clark",150,22890914,6100,25.989,N/A,0,44.4,1,0,45.4,-0.19,100,5,
"Wu, Brandon","Brandon Wu",150,22890916,6100,27.096,N/A,0,46.9,1.3,0,48.2,-0.07,100,5,
"Dufner, Jason","Jason Dufner",150,22890908,6100,24.539,N/A,0,40.7,0.7,0,41.4,-0.36,100,5,
"Hagy, Brandon","Brandon Hagy",150,22890915,6100,24.573,N/A,0,40.6,0.7,0,41.3,-0.36,100,5,
"Schenk, Adam","Adam Schenk",150,22890911,6100,27.114,N/A,0,47.2,1.3,0,48.5,-0.06,100,5,
"Hoffman, Charley","Charley Hoffman",150,22890922,6000,25.267,N/A,0,42.4,0.8,0,43.2,-0.26,100,5,
"Lingmerth, David","David Lingmerth",150,22890924,6000,26.456,N/A,0,44.5,1.1,0,45.6,-0.16,100,5,
"Villegas, Camilo","Camilo Villegas",150,22890920,6000,25.598,N/A,0,42.6,0.8,0,43.5,-0.25,100,5,
"Brehm, Ryan","Ryan Brehm",150,22890918,6000,23.233,N/A,0,37.8,0.5,0,38.3,-0.46,100,5,
"Hoag, Bo","Bo Hoag",150,22890923,6000,24.315,N/A,0,40.5,0.7,0,41.2,-0.34,100,5,
"Streb, Robert","Robert Streb",150,22890925,6000,26.977,N/A,0,46.2,1.2,0,47.5,-0.08,100,5,
"Ryder, Sam","Sam Ryder",150,22890917,6000,27.542,N/A,0,48.5,1.5,0,50,0.07,100,5,
"Luck, Curtis","Curtis Luck",150,22890926,6000,21.385,N/A,0,34,0.3,0,34.3,-0.63,100,5,
"Piot, James","James Piot",150,22890927,6000,17.141,N/A,0,27.7,0.1,0,27.8,-0.91,100,5,
"Pak, John","John Pak",150,22890919,6000,22.306,N/A,0,35.9,0.4,0,36.3,-0.55,100,5,
"Donald, Luke","Luke Donald",150,22890921,6000,26.505,N/A,0,45.1,1.2,0,46.2,-0.13,100,5,
