"","Name","ID","Salary","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","own_change","own"
"28","Adam Long",22311740,7800,0.0181,0.0176,-5e-04,-0.0276,13,9.6451176,0.2
"29","Austin Smotherman",22311741,7800,0.0104,0.0083,-0.0021,-0.2019,45,5.9451361,0
"30","Scott Stallings",22311742,7700,0.012,0.01,-0.002,-0.1667,34,6.2253889,0.05
"31","David Lipsky",22311743,7700,0.0084,0.008,-0.000399999999999999,-0.0476,47,8.9751576,0
"32","Patrick Rodgers",22311744,7600,0.0102,0.0074,-0.0028,-0.2745,50,4.8910025,0
"33","Wyndham Clark",22311745,7600,0.0136,0.0122,-0.0014,-0.1029,24,7.5233841,0.2
"34","J.T. Poston",22311746,7500,0.012,0.0118,-0.000200000000000001,-0.0167,26,9.8277889,0.15
"35","Pat Perez",22311747,7500,0.0112,0.0087,-0.0025,-0.2232,42,5.4156824,0
"36","Nate Lashley",22311748,7500,0.0079,0.0084,0.000499999999999999,0.0633,44,10.9275689,0
"38","Alex Smalley",22311750,7400,0.0118,0.011,-8e-04,-0.0678,31,8.6559684,0.15
"39","Rafa Cabrera Bello",22311751,7400,0.0051,0.0077,0.0026,0.5098,48,17.6714604,0
"40","Brandon Wu",22311752,7300,0.0066,0.0072,6e-04,0.0909,52,11.1701281,0
"41","Adam Svensson",22311753,7300,0.0101,0.0105,0.000400000000000001,0.0396,32,11.0406816,0.2
"42","Greyson Sigg",22311754,7300,0.0101,0.0113,0.0012,0.1188,30,12.8486344,0.2
"43","Brian Stuard",22311755,7300,0.0056,0.0069,0.0013,0.2321,56,12.9962041,0
"44","Emiliano Grillo",22311756,7200,0.0076,0.0105,0.0029,0.3816,32,17.5411856,0.2
"45","Tyler Duncan",22311757,7200,0.0098,0.0088,-0.000999999999999999,-0.102,41,8.20904,0
"46","Scott Piercy",22311758,7200,0.0065,0.0065,0,0,61,9.865,0
"47","Michael Thompson",22311759,7200,0.0082,0.0074,-8e-04,-0.0976,50,8.4577576,0
"48","Kramer Hickok",22311760,7200,0.009,0.0099,0.000900000000000001,0.1,35,12.125,0.15
"49","Graeme McDowell",22311761,7100,0.0065,0.0036,-0.0029,-0.4462,92,5.8159444,0
"50","Kurt Kitayama",22311762,7100,0.0066,0.0057,-9e-04,-0.1364,68,8.2285496,0
"51","Nick Taylor",22311763,7100,0.0082,0.0095,0.0013,0.1585,36,13.0987225,0.2
"52","Danny Lee",22311764,7100,0.0093,0.0115,0.0022,0.2366,28,15.4172956,0.25
"53","Chase Seiffert",22311765,7100,0.0078,0.0071,-0.000699999999999999,-0.0897,54,8.6729609,0
"54","Joseph Bramlett",22311766,7100,0.0081,0.0089,8e-04,0.0988,40,11.8776144,0.25
"56","Peter Uihlein",22311768,7000,0.0058,0.0059,1e-04,0.0172,64,10.1279584,0
"57","Andrew Putnam",22311769,7000,0.0103,0.0058,-0.0045,-0.4369,66,2.8263161,0
"58","John Huh",22311770,7000,0.006,0.0056,-4e-04,-0.0667,70,9.1394889,0
"59","Matt Wallace",22311771,7000,0.0053,0.0044,-9e-04,-0.1698,80,8.2558204,0
"60","Robert Streb",22311772,7000,0.0075,0.0072,-3e-04,-0.04,52,9.4835,0.1
"61","Kiradech Aphibarnrat",22311773,6900,0.0061,0.0036,-0.0025,-0.4098,92,6.4318604,0
"62","Ben Martin",22311774,6900,0.0026,0.0035,9e-04,0.3462,96,12.7435444,0
"63","Peter Malnati",22311775,6900,0.0079,0.0072,-0.000700000000000001,-0.0886,52,8.8209996,0.1
"64","Adam Schenk",22311776,6900,0.0053,0.0059,6e-04,0.1132,64,11.3356424,0.05
"65","Ryan Armour",22311777,6900,0.0074,0.0064,-0.001,-0.1351,62,8.2425201,0.15
"66","Lee Hodges",22311778,6900,0.0067,0.0089,0.0022,0.3284,40,15.8084656,0.2
"67","Vaughn Taylor",22311779,6900,0.0059,0.0085,0.0026,0.4407,43,17.4271649,0.2
"68","Hayden Buckley",22311781,6800,0.005,0.0054,4e-04,0.08,71,10.879,0.1
"69","Luke Donald",22311782,6800,0.0053,0.0031,-0.0022,-0.4151,102,7.0905801,0
"70","Justin Lower",22311783,6800,0.0041,0.0041,0,0,86,9.8725,0
"71","James Hahn",22311784,6800,0.0074,0.0069,-5e-04,-0.0676,56,9.2256976,0.1
"72","Trey Mullinax",22311785,6800,0.0046,0.0068,0.0022,0.4783,58,16.8602089,0.2
"73","Chez Reavie",22311786,6800,0.0029,0.0046,0.0017,0.5862,78,16.7688044,0
"74","Hank Lebioda",22311787,6700,0.0065,0.0043,-0.0022,-0.3385,82,6.7008225,0
"75","Callum Tarren",22311788,6700,0.0049,0.0081,0.0032,0.6531,46,21.0478961,0
"76","Andrew Novak",22311789,6700,0.006,0.0051,-9e-04,-0.15,73,8.47,0
"77","Brice Garnett",22311790,6700,0.0049,0.0051,0.000200000000000001,0.0408,73,10.4616464,0
"78","Aaron Baddeley",22311791,6700,0.0019,0.0023,4e-04,0.2105,113,10.9731025,0
"79","Bill Haas",22311792,6700,0.0043,0.0047,4e-04,0.093,76,10.88649,0
"80","Curtis Thompson",22311793,6700,0.0017,0.0028,0.0011,0.6471,106,16.1773841,0
"81","Bo Hoag",22311794,6600,0.0028,0.004,0.0012,0.4286,88,14.2144796,0
"82","Dylan Wu",22311795,6600,0.0059,0.0056,-3e-04,-0.0508,70,9.5833064,0
"83","Camilo Villegas",22311796,6600,0.002,0.0024,4e-04,0.2,110,10.99,0
"84","Sung Kang",22311797,6600,0.0043,0.0023,-0.002,-0.4651,113,7.9456801,0
"85","Ben Griffin",22311798,6600,0.0047,0.0058,0.0011,0.234,66,12.92756,0
"86","Roger Sloan",22311799,6600,0.0076,0.0051,-0.0025,-0.3289,73,6.1792521,0
"87","Wesley Bryan",22311800,6600,0.0037,0.007,0.0033,0.8919,55,24.8698561,0
"88","Robert Garrigus",22311801,6600,0.0028,0.002,-8e-04,-0.2857,119,8.9612449,0
"89","Patrick Flavin",22311802,6500,0.0019,0.0032,0.0013,0.6842,100,17.2212964,0
"90","Ben Kohles",22311803,6500,0.004,0.0042,2e-04,0.05,84,10.485,0
"91","Kevin Tway",22311804,6500,0.0053,0.0062,9e-04,0.1698,63,12.3733204,0
"92","Satoshi Kodaira",22311805,6500,0.0034,0.0018,-0.0016,-0.4706,123,8.7971436,0
"93","Stephan Jaeger",22311806,6500,0.0037,0.0039,2e-04,0.0541,89,10.4517681,0
"94","Paul Barjon",22311807,6500,0.0046,0.0047,1e-04,0.0217,76,10.3172089,0
"95","Austin Cook",22311808,6500,0.0016,0.0038,0.0022,1.375,90,33.31375,0
"96","Scott Gutschewski",22311809,6500,0.0042,0.0046,4e-04,0.0952,78,10.9956304,0
"97","Seth Reeves",22311810,6400,0.0024,0.0032,8e-04,0.3333,100,12.7033889,0
"98","Brandon Hagy",22311811,6400,0.0057,0.0045,-0.0012,-0.2105,79,8.1856025,0
"99","Max McGreevy",22311812,6400,0.0024,0.0033,9e-04,0.375,98,13.21375,0
"100","Jason Dufner",22311813,6400,0.0016,0.0017,9.99999999999998e-05,0.0625,124,10.0590625,0
"101","Richy Werenski",22311814,6400,0.0032,0.0066,0.0034,1.0625,60,28.4790625,0
"102","Fabian Gomez",22311815,6400,0.0012,0.0036,0.0024,2,92,54.8375,0
"103","Scott Brown",22311816,6400,0.0032,0.0036,4e-04,0.125,92,10.99375,0
"104","Joshua Creel",22311817,6400,0.0012,7e-04,-5e-04,-0.4167,135,10.4363889,0
"105","Michael Gligic",22311818,6400,0.0018,0.001,-8e-04,-0.4444,132,10.1124136,0
"106","Tommy Gainey",22311819,6300,1e-04,0.0028,0.0027,27,106,7305.4,0
"107","Ryan Blaum",22311820,6300,0.0015,0.0013,-2e-04,-0.1333,128,9.6051889,0
"108","Bryson Nimmer",22311821,6300,0.0015,0.0022,7e-04,0.4667,116,13.5105889,0
"109","David Skinns",22311822,6300,0.0025,0.0043,0.0018,0.72,82,18.964,0
"110","Seung-Yul Noh",22311823,6300,0.0033,0.0042,9e-04,0.2727,84,12.7161529,0
"111","David Hearn",22311824,6300,3e-04,0.0016,0.0013,4.3333,125,200.2323889,0
"112","Alvaro Ortiz",22311825,6300,3e-04,8e-04,5e-04,1.6667,134,38.5463889,0
"113","Martin Trainer",22311826,6300,0.0014,0.0031,0.0017,1.2143,102,28.1827449,0
"114","Turk Pettit",22311827,6300,0.0017,0.0033,0.0016,0.9412,98,22.1185744,0
"115","Armando Favela",22311828,6200,1e-04,0.0025,0.0024,24,109,5774.815,0
"116","Bo Van Pelt",22311829,6200,0.0011,9e-04,-2e-04,-0.1818,133,9.7580124,0
"117","David Lingmerth",22311830,6200,0.0016,0.0032,0.0016,1,100,23.305,0
"118","Jonathan Byrd",22311831,6200,0.0032,0.0042,0.001,0.3125,84,13.2015625,0
"119","Roberto Diaz",22311832,6200,0.0036,0.002,-0.0016,-0.4444,119,8.7299136,0
"120","Brett Drewitt",22311833,6200,0.0011,0.003,0.0019,1.7273,104,43.7106529,0
"121","Jared Wolfe",22311834,6200,0.0029,0.0041,0.0012,0.4138,86,14.3223044,0
"122","Johnson Wagner",22311835,6200,6e-04,0.0027,0.0021,3.5,108,136.745,0
"123","D.J. Trahan",22311836,6200,2e-04,0.0014,0.0012,6,126,372.2875,0
"124","Ricky Barnes",22311838,6100,1e-04,1e-04,0,0,137,9.7825,0
"125","Grayson Murray",22311839,6100,3e-04,0.0021,0.0018,6,117,373.6225,0
"126","Jeffrey Kang",22311840,6100,1e-04,0.0019,0.0018,18,122,3253.6,0
"127","Mark Hensby",22311841,6100,0.0023,0.0012,-0.0011,-0.4783,131,10.0052089,0
"128","Greg Chalmers",22311842,6100,7e-04,0.0023,0.0016,2.2857,113,65.4967449,0
"129","Jim Knous",22311843,6100,8e-04,0.0028,0.002,2.5,106,76.6125,0
"130","Arjun Atwal",22311844,6100,2e-04,0.002,0.0018,9,119,823.615,0
"131","Jonas Blixt",22311845,6100,1e-04,0.0013,0.0012,12,128,1452.325,0
"132","Ben Crane",22311846,6100,3e-04,0.0019,0.0016,5.3333,122,297.6408889,0
"133","Kelly Kraft",22311848,6000,0.0011,0.0023,0.0012,1.0909,113,24.3981281,0
"134","D.A. Points",22311849,6000,1e-04,0.0013,0.0012,12,128,1452.3775,0
"135","Matt Every",22311851,6000,1e-04,0.0013,0.0012,12,128,1452.3775,0
"136","Isidro Benitez",22311852,6000,1e-04,0.0035,0.0034,34,96,11577.0475,0
"137","Jose Antonio Safa",22311853,6000,1e-04,1e-04,0,0,137,9.8275,0
"138","Manuel Inman",22311856,6000,1e-04,1e-04,0,0,137,9.8275,0
