"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own"
"27","Anirban Lahiri",22311739,7900,51.94,0.0112,0.0095,36,-0.0017,-0.1518,52.21,5.8,75.5,24.5,1.2,1,-0.25,6.6429324,10
"28","Adam Long",22311740,7800,58.29,0.0181,0.0176,13,-5e-04,-0.0276,52.52,8.7,75.5,24.5,2.26,1,0.85,9.6451176,20
"29","Austin Smotherman",22311741,7800,53.25,0.0104,0.0083,45,-0.0021,-0.2019,52.19,9.9,75.5,24,1.06,1,-0.35,5.9451361,15
"30","Scott Stallings",22311742,7700,55.79,0.012,0.01,34,-0.002,-0.1667,55.97,11.7,77,25,1.3,1,-0.07,6.2253889,20
"31","David Lipsky",22311743,7700,50.69,0.0084,0.008,47,-0.000399999999999999,-0.0476,54.94,5.5,77,25,1.04,1,-0.33,8.9751576,15
"32","Patrick Rodgers",22311744,7600,52.37,0.0102,0.0074,50,-0.0028,-0.2745,54.27,4.9,77.5,25,0.97,1,-0.35,4.8910025,10
"33","Wyndham Clark",22311745,7600,55.88,0.0136,0.0122,24,-0.0014,-0.1029,43.86,11.3,69.5,22.5,1.61,1,0.29,7.5233841,20
"34","J.T. Poston",22311746,7500,46.38,0.012,0.0118,26,-0.000200000000000001,-0.0167,48.41,7.4,73.5,23.5,1.57,1,0.3,9.8277889,15
"35","Pat Perez",22311747,7500,51.7,0.0112,0.0087,42,-0.0025,-0.2232,55.87,3.3,77.5,25.5,1.16,1,-0.11,5.4156824,10
"36","Nate Lashley",22311748,7500,57.47,0.0079,0.0084,44,0.000499999999999999,0.0633,52.69,8.9,76,24.5,1.12,1,-0.15,10.9275689,20
"38","Alex Smalley",22311750,7400,57.03,0.0118,0.011,31,-8e-04,-0.0678,54.43,12.4,77,25,1.49,1,0.28,8.6559684,20
"39","Rafa Cabrera Bello",22311751,7400,55.7,0.0051,0.0077,48,0.0026,0.5098,43.82,1.1,70,22,1.04,1,-0.17,17.6714604,20
"40","Brandon Wu",22311752,7300,47.89,0.0066,0.0072,52,6e-04,0.0909,42.84,2.6,69,22,0.99,1,-0.15,11.1701281,15
"41","Adam Svensson",22311753,7300,54.94,0.0101,0.0105,32,0.000400000000000001,0.0396,55.73,11.1,78,25,1.44,1,0.3,11.0406816,20
"42","Greyson Sigg",22311754,7300,61.22,0.0101,0.0113,30,0.0012,0.1188,53.16,8.7,76,24.5,1.55,1,0.41,12.8486344,20
"43","Brian Stuard",22311755,7300,50.32,0.0056,0.0069,56,0.0013,0.2321,50.81,0.96,74,24,0.95,1,-0.19,12.9962041,15
"44","Emiliano Grillo",22311756,7200,47.22,0.0076,0.0105,32,0.0029,0.3816,57.17,3.8,78.5,25.5,1.46,1,0.38,17.5411856,20
"45","Tyler Duncan",22311757,7200,58.57,0.0098,0.0088,41,-0.000999999999999999,-0.102,51.84,10.1,75.5,24.5,1.22,1,0.14,8.20904,20
"46","Scott Piercy",22311758,7200,49,0.0065,0.0065,61,0,0,48.76,0.89,73.5,23.5,0.9,1,-0.18,9.865,10
"47","Michael Thompson",22311759,7200,58.1,0.0082,0.0074,50,-8e-04,-0.0976,53.99,2.1,77,24.93,1.03,1,-0.05,8.4577576,10
"48","Kramer Hickok",22311760,7200,50.56,0.009,0.0099,35,0.000900000000000001,0.1,53.09,3.2,76,24.5,1.38,1,0.3,12.125,15
