"","event_name","player_name","salary","ownership","streak_pts","bogey_free_pts","hole_in_one_pts","sub_70_pts","hole_score_pts","finish_pts","total_pts","open_odds","close_odds","odds_delta","odds_delta_per","date","make_cut","top_20","top_10","top_5","top_3","win","dg_id","round_score","sg_putt","sg_arg","sg_app","sg_ott","sg_t2g","sg_total","driving_dist","driving_acc","gir","scrambling","prox_rgh","prox_fw"
"127","The American Express","Mickelson, Phil",8700,0.0897,0,0,0,0,49.5,0,49.5,0.0225,0.0225,0,0,"Jan 19, 2020",0.498625,0.1301,0.06245,0.029,0.0176,0.0055,1547,71,-1.625,-0.648,0.858,0.415,0.625,-1.5,284.6,0.786,0.722,NA,14.638,23.879
"128","The American Express","Cook, Austin",7100,0.0052,3,0,0,0,46.5,0,49.5,0.0091,0.0091,0,0,"Jan 19, 2020",0.47765,0.115275,0.0536,0.0238,0.0134,0.004175,18579,71,1.256,3.145,-2.632,-0.115,0.398,-1.32866666666667,282.4,0.643,0.556,NA,43.45,29.308
"129","The American Express","Baddeley, Aaron",6400,0.0108,3,0,0,0,46,0,49,NA,NA,NA,NA,"Jan 19, 2020",0.53945,0.151525,0.074825,0.036725,0.021225,0.0065,6252,71.3333333333333,0.472,0.537,0.235,-0.59,0.182,-1.662,266.9,0.5,0.667,NA,52.548,33.176
"130","The American Express","Chalmers, Greg",6500,0,0,0,0,0,49,0,49,NA,NA,NA,NA,"Jan 19, 2020",0.154,0.010875,0.003275,0.001025,0.00055,0.000125,5625,70.6666666666667,0.15,-0.097,-0.395,-0.004,-0.496,-0.995333333333333,273,0.643,0.722,NA,48.387,32.334
"131","The American Express","Stadler, Kevin",6000,2e-04,3,0,0,0,46,0,49,NA,NA,NA,NA,"Jan 19, 2020",0.1426,0.0098,0.00285,9e-04,0.000425,1e-04,7602,71.6666666666667,-3.305,-0.651,-1.375,0.331,-1.695,-2.16666666666667,272.2,0.786,0.722,NA,52.909,41.029
"132","The American Express","Kokrak, Jason",9100,0.1144,0,0,0,0,49,0,49,0.0225,0.0225,0,0,"Jan 19, 2020",0.71535,0.315925,0.18395,0.103025,0.0664,0.023275,12337,70.6666666666667,0.47,-2.007,-0.727,-0.082,-2.816,-0.995333333333333,280.2,0.286,0.611,NA,35.685,28.52
"133","The American Express","Bozzelli, Dominic",6500,0.0124,3,0,0,0,45.5,0,48.5,0.0061,0.0061,0,0,"Jan 19, 2020",0.3842,0.0715,0.02965,0.0128,0.007,0.001875,17564,74.3333333333333,-0.205,-1.684,0.991,-5.729,-6.422,-4.75566666666667,269.8,0.357,0.5,NA,39.571,33.536
"134","The American Express","Lee, Danny",7300,0.063,0,0,0,0,48.5,0,48.5,0.0114,0.0114,0,0,"Jan 19, 2020",0.555475,0.169325,0.0848,0.040025,0.02385,0.00775,11826,70.3333333333333,0.667,-1.485,-0.89,1.081,-1.294,-0.755666666666667,290.8,0.643,0.778,NA,43.656,25.792
"135","The American Express","Covello, Vince",6000,1e-04,0,0,0,0,47.5,0,47.5,NA,NA,NA,NA,"Jan 19, 2020",0.240525,0.0266,0.008775,0.002975,0.00135,0.000375,11441,70.6666666666667,-1.576,-1.051,-0.253,0.534,-0.77,-0.995333333333333,276.2,0.643,0.722,NA,33.424,28.969
"136","The American Express","Shelton, Robby",6200,0.0047,3,0,0,0,43.5,0,46.5,NA,NA,NA,NA,"Jan 19, 2020",0.359925,0.064325,0.02635,0.010775,0.00555,0.001625,18635,72.6666666666667,-1.159,-1.715,-0.668,-0.458,-2.841,-3.16666666666667,286.3,0.571,0.556,NA,31.202,33.66
