"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"60","Peter Malnati",22819035,6800,59.86,0.0057,0.0049,66,-8e-04,-0.1404,46.33,2.7,72.5,22.5,0.537,0.1054,0.0431,0.0185,0.0027,0.72,1,-0.08,1.32,4,0
"61","Denny McCarthy",22819036,6800,64.66,0.0075,0.0064,50,-0.0011,-0.1467,48.97,4.4,73.5,23.5,0.6255,0.1672,0.0765,0.0359,0.006,0.94,1,0.14,2.88,8,0
"62","Kevin Streelman",22819037,6800,54.66,0.0061,0.0061,52,0,0,59.22,4.3,82,25.5,0.6226,0.1634,0.0744,0.034,0.0056,0.9,1,0.1,4.92,10,0
"63","Alex Smalley",22819038,6700,57.18,0.0048,0.0041,76,-0.000699999999999999,-0.1458,54.62,3.3,77.5,25,0.5708,0.1316,0.0582,0.0256,0.0036,0.61,1,-0.16,2.9,6,0
"64","Taylor Moore",22819039,6700,51.82,0.0044,0.0037,85,-7e-04,-0.1591,49.76,1.2,74.5,23.5,0.5918,0.1314,0.0562,0.0232,0.0032,0.55,1,-0.22,0.53,2,0
"65","Doug Ghim",22819040,6700,54.97,0.0091,0.0078,42,-0.0013,-0.1429,57.96,6.4,80,25.5,0.6667,0.2088,0.1013,0.0478,0.0078,1.16,1,0.39,4.26,10,0
"66","Lucas Glover",22819041,6700,61.88,0.0087,0.0085,36,-0.000199999999999999,-0.023,57.54,6.1,80.5,25.5,0.6154,0.1686,0.0785,0.0363,0.0062,1.27,1,0.5,6.03,12,0
"67","Rory Sabbatini",22819042,6700,60.65,0.0087,0.0085,36,-0.000199999999999999,-0.023,49.48,0.79,75,23.5,0.6124,0.1608,0.0741,0.0327,0.0054,1.27,1,0.5,3.41,4,0
"68","Richard Bland",22819043,6600,53.11,0.0073,0.0063,51,-0.001,-0.137,51.51,0.19,75,24,0.505,0.0855,0.0333,0.0129,0.0017,0.95,1,0.22,1.54,2,0
"69","Brian Stuard",22819044,6600,48.41,0.0044,0.0037,85,-7e-04,-0.1591,47.26,0.57,72.5,22.5,0.5671,0.1188,0.0497,0.021,0.0028,0.56,1,-0.17,-0.91,0,0
"70","J.T. Poston",22819045,6600,46.69,0.0065,0.0058,57,-7e-04,-0.1077,49.58,5.5,74.5,23.5,0.6241,0.1751,0.0819,0.0378,0.0061,0.88,1,0.15,0.11,6,0
"71","Matthias Schwab",22819046,6600,59.25,0.0055,0.0047,69,-0.000799999999999999,-0.1455,55.4,0.8,78,25,0.5671,0.1198,0.0496,0.0216,0.0033,0.71,1,-0.02,3.67,4,0
"72","Patrick Rodgers",22819047,6600,57.41,0.0063,0.0054,59,-9e-04,-0.1429,52.35,0.91,76.5,24.5,0.569,0.1199,0.0526,0.0229,0.0028,0.82,1,0.09,2.81,4,0
"73","Carlos Ortiz",22819048,6500,58.59,0.0044,0.004,78,-4e-04,-0.0909,49.36,0.95,75,23,0.5146,0.0923,0.0371,0.0149,0.0021,0.62,1,-0.07,2.26,4,0
"74","Charley Hoffman",22819049,6500,46.93,0.0055,0.0048,68,-7e-04,-0.1273,52.31,0.77,77,24.5,0.4545,0.0641,0.0229,0.009,0.0012,0.74,1,0.05,1.1,2,0
"75","Greyson Sigg",22819050,6500,57.55,0.0045,0.0039,80,-6e-04,-0.1333,47.36,0.62,72.5,23,0.5516,0.1101,0.0453,0.0189,0.0028,0.6,1,-0.09,0.89,2,0
"76","Sahith Theegala",22819051,6500,65.42,0.0034,0.0033,92,-9.99999999999998e-05,-0.0294,53.7,8.3,78,25,0.5708,0.119,0.0487,0.0206,0.0032,0.51,1,-0.18,4.76,14,0
"77","Beau Hossler",22819052,6500,53.43,0.0034,0.0029,96,-5e-04,-0.1471,41.22,0.63,67,21.5,0.4854,0.0793,0.0319,0.013,0.0016,0.45,1,-0.24,-2.46,0,0
"78","Brandon Wu",22819053,6500,52.91,0.0048,0.0041,76,-0.000699999999999999,-0.1458,47.73,0.98,72.5,23.5,0.5413,0.103,0.0422,0.0174,0.0024,0.63,1,-0.06,0.07,2,0
"79","Mark Hubbard",22819055,6400,70.94,0.0061,0.0064,50,3e-04,0.0492,50.54,3.4,74.5,23.5,0.6575,0.1931,0.0912,0.0411,0.0066,1,1,0.36,5,8,0
"80","Zach Johnson",22819056,6400,38.91,0.0053,0.0046,70,-7e-04,-0.1321,45.59,0.14,72,22.5,0.5798,0.1242,0.0513,0.0214,0.0031,0.72,1,0.08,-2.52,0,0
"81","Scott Stallings",22819057,6400,55.4,0.0051,0.0044,72,-7e-04,-0.1373,52.13,0.65,76,24,0.5798,0.137,0.0606,0.0271,0.004,0.69,1,0.05,2.19,2,0
"82","Harry Higgs",22819058,6400,46.2,0.0042,0.0036,88,-6e-04,-0.1429,45.33,0.42,71.5,22.5,0.5495,0.107,0.0454,0.0188,0.003,0.56,1,-0.08,-1.61,0,0
"83","Kurt Kitayama",22819059,6400,52.6,0.0049,0.0042,74,-7e-04,-0.1429,54.3,3.8,78.5,24.5,0.4854,0.0768,0.0307,0.0128,0.0018,0.66,1,0.02,2.73,6,0
"84","Sam Ryder",22819060,6300,54.45,0.0044,0.0037,85,-7e-04,-0.1591,47.43,0.28,73,23,0.5192,0.0887,0.0348,0.0141,0.002,0.59,1,-0.01,0.61,0,0
"85","Austin Smotherman",22819061,6300,58.1,0.0028,0.0024,100,-4e-04,-0.1429,50.28,7.6,75,24,0.4975,0.0847,0.0326,0.0127,0.0016,0.38,1,-0.22,1.91,10,0
"86","Nick Taylor",22819062,6300,53.84,0.0036,0.0039,80,3e-04,0.0833,51.8,0.93,75.5,24,0.5935,0.1393,0.0611,0.0258,0.004,0.62,1,0.02,1.96,2,0
"87","Tyler Duncan",22819063,6300,54.82,0.0034,0.0033,92,-9.99999999999998e-05,-0.0294,46.23,0.65,71,22.5,0.5261,0.1016,0.0425,0.0176,0.0024,0.52,1,-0.08,-0.1,0,0
"88","Chad Ramey",22819064,6300,56.4,0.0045,0.0039,80,-6e-04,-0.1333,44.8,0.57,70.08,22.5,0.5575,0.1094,0.0462,0.0191,0.0023,0.62,1,0.02,-0.24,0,0
"89","Chez Reavie",22819065,6300,49.24,0.0039,0.0034,91,-5e-04,-0.1282,46.74,0.46,71.5,23,0.5169,0.0903,0.0352,0.014,0.0019,0.54,1,-0.06,-1.01,0,0
"90","Danny Lee",22819066,6300,48.5,0.0044,0.0037,85,-7e-04,-0.1591,44.95,0.85,71.08,22.5,0.5434,0.1082,0.0446,0.0181,0.0026,0.59,1,-0.01,-1.32,0,0
"91","Michael Thompson",22819067,6200,57.44,0.003,0.0029,96,-1e-04,-0.0333,47.25,0.59,71.5,23,0.5392,0.1062,0.0454,0.0197,0.0031,0.47,1,-0.08,0.59,2,0
"92","Paul Barjon",22819068,6200,47.97,0.0024,0.002,104,-4e-04,-0.1667,44.76,0.22,70.5,22.5,0.4255,0.0491,0.0174,0.0064,6e-04,0.32,1,-0.23,-1.94,0,0
"93","Bill Haas",22819069,6200,53.07,0.0024,0.002,104,-4e-04,-0.1667,40.11,0.28,66,21,0.4405,0.0531,0.0196,0.0069,7e-04,0.32,1,-0.23,-2.97,0,0
"94","Garrick Higgo",22819070,6200,46.03,0.002,0.0021,102,9.99999999999998e-05,0.05,42.81,0.64,68.5,22.5,0.4,0.0387,0.013,0.0049,0,0.34,1,-0.21,-2.84,0,0
"95","Brandt Snedeker",22819071,6200,43.91,0.0026,0.0032,94,6e-04,0.2308,47.57,0.7,73,23,0.505,0.0812,0.0312,0.0126,0.0016,0.52,1,-0.03,-0.79,0,0
"96","Kramer Hickok",22819073,6200,46.81,0.0038,0.0032,94,-6e-04,-0.1579,47.58,0.69,73,23,0.5434,0.108,0.0449,0.0185,0.0023,0.52,1,-0.03,-0.81,0,0
"97","Andrew Putnam",22819074,6200,52.18,0.0061,0.0052,60,-0.000900000000000001,-0.1475,47.48,0.87,72.5,23,0.6078,0.1502,0.066,0.0296,0.0041,0.84,1,0.29,0.35,2,0
"98","Lee Hodges",22819078,6100,51.47,0.0028,0.0024,100,-4e-04,-0.1429,48.63,0.32,73.5,23.5,0.5025,0.0808,0.0305,0.0128,0.0015,0.39,1,-0.11,0.18,0,0
"99","Trey Mullinax",22819079,6100,52.11,0.0028,0.0024,100,-4e-04,-0.1429,48.62,0.6,73.5,23.5,0.4878,0.0733,0.0271,0.0105,0.0013,0.39,1,-0.11,0.3,0,0
"100","Doc Redman",22819081,6100,50,0.0051,0.0044,72,-7e-04,-0.1373,44.32,0.73,70,22,0.5169,0.0893,0.0363,0.0143,0.0023,0.72,1,0.22,-1.21,0,0
"101","Adam Svensson",22819082,6100,53.02,0.0042,0.0036,88,-6e-04,-0.1429,51.29,1.4,75,24,0.5098,0.0894,0.0351,0.0143,0.002,0.59,1,0.09,1.36,2,0
"102","Nick Watney",22819085,6000,47.78,0.002,0.0017,105,-3e-04,-0.15,36.68,0.15,62.5,20,0.3759,0.037,0.0127,0.004,6e-04,0.28,1,-0.17,-5.37,0,0
"103","Robert Streb",22819087,6000,48.86,0.0044,0.0037,85,-7e-04,-0.1591,43.44,0.49,68.5,22,0.5305,0.1024,0.0417,0.017,0.0028,0.62,1,0.17,-2.16,0,0
"104","Luke Donald",22819090,6000,49.77,0.0028,0.0024,100,-4e-04,-0.1429,46.38,0.54,71.5,22.5,0.4608,0.0645,0.0237,0.0094,0.0011,0.4,1,-0.05,-0.93,0,0
"105","Adam Schenk",22819091,6000,47.73,0.0057,0.0049,66,-8e-04,-0.1404,45.66,1.4,72.08,22.5,0.5146,0.0921,0.0368,0.0148,0.0023,0.82,1,0.37,-0.54,0,0
