course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg
"TPC Harding Park",70,7180,457,197,1.04,0.12,0.11,-0.38,288.2,19.5,0.5839,0.011,-0.016,-0.004,0.004
"Keene Trace Golf Club",72,7145,457,187,-3.23,-0.04,-0.07,-0.6,290.5,17.5,0.701,0,0.02,0.054,0.036
"TPC Boston",71,7144,454,197,0.1,0.11,0.03,-0.24,283.2,15.3,0.6828,0.002,-0.007,-0.01,0.02
"Pete Dye Stadium Course",72,7133,456,187,-1.24,0.09,-0.04,-0.31,279.9,16.4,0.6432,0.007,0.045,0.001,-0.024
"TPC Sawgrass",72,7121,458,178,0.75,0.15,0.13,-0.3,280.4,18.5,0.651,-0.006,-0.028,-0.044,-0.032
"Trinity Forest Golf Club",71,7120,457,178,-1.8,-0.02,-0.02,-0.49,287.3,18.4,0.816,-0.002,0.002,0.044,0.058
"The Old White TPC",70,7113,451,198,-0.83,0.05,-0.03,-0.34,291.1,18.8,0.6783,0.005,0.01,0.045,0.025
"TPC Deere Run",71,7107,455,186,-1.76,-0.05,-0.04,-0.37,287.3,17.8,0.7521,0.011,0.004,0.029,0.043
"RTJ Trail (Grand National)",71,7095,453,190,-2.13,0.01,-0.06,-0.51,282.9,17,0.7141,-0.005,0.026,0.06,0.039
"Silverado Resort &amp; Spa (North)",72,7094,452,191,-0.99,0.08,0,-0.33,285.9,21,0.5953,-0.002,-0.01,-0.001,-0.003
"TPC Southwind",70,7085,456,174,0.31,0.05,0.07,-0.39,289.3,17.7,0.6547,0.008,-0.007,-0.013,0.012
"Innisbrook Resort (Copperhead)",71,7083,469,199,0.71,0.12,0.11,-0.23,276.3,17,0.6401,-0.004,0.016,-0.018,-0.059
"Memorial Park Golf Course",70,7081,478,177,0.98,0.06,0.11,-0.13,290.7,16.6,0.6254,0.002,-0.052,-0.015,0.025
"TPC Summerlin",71,7078,451,190,-1.38,0.05,-0.02,-0.44,297.8,19.3,0.6417,0.009,-0.049,0.014,0.051
"TPC Potomac at Avenel Farm",70,7069,451,190,0.93,0.07,0.08,-0.13,280.8,18.1,0.6629,0.004,-0.016,0.001,-0.03
"Aronimink GC",70,7036,446,199,-1.14,0.04,-0.03,-0.46,286.3,16.5,0.7441,0.011,-0.011,0.037,0.037
"Waialae Country Club",70,7019,448,185,-1.23,0.04,-0.01,-0.66,290.4,20.8,0.6234,0.004,0.036,0.039,0.017
"PGA National (Champion)",70,7016,448,187,1.59,0.2,0.12,-0.34,276.5,16.2,0.6719,0.004,0.019,-0.058,-0.036
"Pebble Beach Golf Links (U.S. Open)",71,7003,450,176,1.61,0.11,0.15,-0.16,270.2,17.9,0.6493,-0.001,-0.05,-0.04,-0.048
"Colonial Country Club",70,6993,445,193,0.47,0.07,0.05,-0.23,279,19,0.6175,0.006,0.026,-0.001,-0.049
"Conway Farms GC",71,6987,445,191,-0.81,0.11,-0.02,-0.34,281,19.9,0.6496,0.005,0.01,0.012,0.015
"Sherwood Country Club",72,6986,464,192,-2.11,0.05,-0.04,-0.4,276.3,17.5,0.7741,0.018,0.023,0.006,-0.028
"TPC Four Seasons Resort",70,6978,446,183,-0.01,0.02,0.06,-0.4,284.9,17.9,0.6269,0.001,-0.001,0.017,-0.012
"Sedgefield Country Club",70,6957,442,194,-1.35,-0.03,-0.01,-0.57,285.2,17.8,0.7044,-0.006,-0.032,0.072,0.031
"Harbour Town Golf Links",71,6947,444,183,-0.02,0.13,0.04,-0.34,274.6,19.5,0.6205,-0.003,0.052,-0.024,-0.059
"Pebble Beach Golf Links",72,6887,443,171,-0.45,0.06,0.03,-0.26,271.8,17.8,0.7413,-0.018,0.023,-0.04,-0.019
"Sea Island GC (Seaside)",70,6877,435,195,-1.04,0.01,-0.02,-0.4,279.8,15.7,0.7652,0.005,0.023,0.025,-0.006
"PGA West (Palmer)",72,6844,460,173,-1.98,0.03,0.05,-0.51,277.8,15,0.6954,0,0.046,-0.022,0
"Hamilton Golf &amp; Country Club",70,6832,430,202,-0.62,0.09,0,-0.47,285.3,17.5,0.6332,-0.006,-0.006,0.004,0.008
"Plainfield CC",70,6829,438,175,1.05,0.07,0.1,-0.21,282.2,21.7,0.5511,-0.012,-0.033,-0.009,-0.018
"TPC River Highlands",70,6802,432,188,-0.36,0.02,0.01,-0.27,283.6,18.7,0.6965,0.002,-0.047,0.01,-0.005
