player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Drew Brees,802,QB,NO,3,2.53,2.46,3.53,,136,20,85.9,71,74,3.3,1.86,2,2,2.6,81.1,60,10,1.6,74,54.4,1,27,,,,,83.1,82.9,79.5,81.0,,,0,0,76,0.0,114.1,0.0,0,0,0,1,3,0,0.0,603,8.1,64.7,51,53,11.5,3.33,0,1,1.6,50.9,27,25,18.2,62,45.6,6,14,,,,,42.1,47.0,79.3,47.9,,,1,2,71,36.0,63.9,14.5,9,0,0,1,1,6,8.5,366,6.9
Andrew Luck,7007,QB,IND,3,2.6,2.41,3.72,4.52,130,14,69.4,62,66,6.2,1.81,1,1,1.5,63.6,42,17,2.3,66,50.8,1,19,,,,,82.3,49.6,79.1,50.2,,,1,2,68,0.0,75.2,0.0,0,0,0,2,2,4,5.9,358,5.4,54.3,46,50,15.3,3.42,0,3,5.5,46.0,23,36,8.0,64,49.2,2,25,,,,,26.1,49.5,79.4,53.4,,46.4,0,5,73,13.9,53.8,7.8,5,9,0,4,3,7,9.6,395,7.9
Derek Carr,8671,QB,OAK,4,2.45,2.37,4.9,4.9,127,23,79.0,62,65,4.4,1.75,1,1,1.5,66.2,43,8,12.2,65,51.2,6,18,,,,,82.1,61.8,79.0,61.4,,,0,1,66,0.0,96.8,0.0,0,0,0,2,4,2,3.0,398,6.1,65.5,58,58,11.1,3.19,0,4,6.1,58.6,34,20,10.5,62,48.8,4,25,,,,,44.1,72.0,79.2,75.3,,39.9,0,1,70,15.0,98.6,4.8,3,1,0,0,3,2,2.9,524,9.0
Andy Dalton,6187,QB,CIN,4,2.31,2.18,3.4,4.26,127,7,78.5,79,86,10.3,1.77,4,9,9.7,66.3,57,14,8.1,86,67.7,5,33,,,,,84.4,92.3,80.3,91.2,,,2,1,93,0.0,119.3,0.0,0,0,0,1,7,1,1.1,819,9.5,84.0,25,30,10.7,3.53,1,3,8.3,70.0,21,22,0.0,40,31.5,0,14,,,,,29.4,73.0,77.7,70.5,,67.5,0,0,46,9.1,133.7,5.0,2,8,0,4,2,1,2.2,368,12.3
Nick Foles,7089,QB,SL,4,2.61,2.54,2.77,4.3,121,26,81.7,60,60,5.4,1.98,0,2,3.2,71.7,43,15,12.2,61,50.4,6,18,,,,,81.8,74.0,78.8,72.7,,,0,1,63,6.7,95.1,1.6,1,0,0,0,2,1,1.6,420,7.0,78.0,41,51,12.5,3.25,0,4,7.0,52.9,27,35,15.6,60,49.6,5,18,,,,,40.5,75.1,79.0,73.3,,65.1,0,0,66,14.3,98.1,8.3,5,4,0,10,3,1,1.5,395,7.7
Marcus Mariota,9435,QB,TEN,3,2.82,2.68,3.42,5.45,111,31,76.1,46,46,6.8,1.97,0,0,0.0,71.7,33,5,5.7,47,42.3,2,22,,,,,80.9,65.2,78.3,64.6,,,0,1,54,20.0,126.2,2.1,1,0,0,0,6,2,3.7,373,8.1,71.1,45,50,14.1,3.44,1,1,1.9,56.0,28,38,12.5,64,57.7,4,23,,,,,20.9,59.3,0.0,62.9,,45.3,1,1,68,31.6,92.1,18.8,12,2,0,3,2,4,5.9,460,9.2
Josh McCown,1085,QB,CLV,3,2.57,2.49,2.92,4.8,109,8,73.1,52,54,5.0,1.9,2,0,0.0,66.7,36,13,5.3,56,51.4,2,16,,,,,81.5,59.1,78.6,59.0,,,0,0,60,15.4,90.6,3.6,2,0,0,0,2,1,1.7,267,4.9,76.9,39,44,14.0,3.27,1,6,12.5,65.9,29,29,3.3,53,48.6,1,19,,,,,24.0,73.6,78.5,76.8,,39.7,1,1,57,24.1,108.0,13.2,7,2,0,3,2,4,7.0,479,10.9
Jay Cutler,2956,QB,CHI,3,2.7,2.53,3.68,5.08,96,6,75.6,45,46,4.3,1.85,1,1,2.2,69.6,32,8,5.9,46,47.9,2,12,,,,,79.9,68.1,77.7,67.3,,,0,2,46,0.0,79.9,0.0,0,0,0,0,2,1,2.2,259,5.6,68.4,38,41,12.0,3.48,1,1,2.1,53.7,22,28,15.4,50,52.1,4,23,,,,,34.9,72.2,78.4,72.6,,55.4,0,1,56,17.9,90.2,10.0,5,4,0,2,2,3,5.4,367,9.0
Ben Roethlisberger,1732,QB,PIT,3,2.45,2.44,2.54,,94,25,88.2,51,52,5.8,1.67,1,3,5.0,80.8,42,6,6.7,53,56.4,3,22,,,,,81.6,87.4,78.7,85.0,,,0,0,61,16.7,106.0,1.9,1,0,0,0,1,0,0.0,411,7.9,74.3,35,37,18.5,3.46,0,7,17.1,67.6,25,18,3.8,41,43.6,1,17,,,,,79.8,92.8,77.6,91.7,,,0,2,45,22.2,115.0,9.8,4,0,0,2,3,2,4.4,501,13.5
Tony Romo,1693,QB,DAL,2,2.42,2.39,2.33,4.5,76,9,70.3,37,37,6.8,1.87,0,1,2.5,67.6,25,5,3.8,38,50.0,1,15,,,,,79.2,61.7,77.3,61.4,,,0,1,41,20.0,86.0,2.6,1,0,0,0,1,0,0.0,265,7.2,88.2,34,35,5.2,2.97,0,0,0.0,82.9,29,17,3.3,38,50.0,1,16,,,,,28.6,67.4,77.3,65.2,,64.0,1,1,42,11.8,107.9,5.3,2,1,0,0,2,1,2.4,286,8.2
Brian Hoyer,5277,QB,HST,2,2.48,2.45,2.84,,69,13,68.6,35,35,9.1,1.88,0,0,0.0,57.1,20,3,16.7,36,52.2,4,13,,,,,78.4,63.6,76.8,63.1,,,0,1,36,33.3,82.1,2.8,1,0,0,0,2,1,2.8,212,6.1,61.5,26,29,18.2,3.13,0,0,0.0,51.7,15,13,6.3,33,47.8,1,12,,,,,26.9,64.7,76.5,64.1,,,2,0,33,30.8,93.5,12.1,4,0,0,1,1,1,3.0,256,8.8
Brandon Weeden,7028,QB,DAL,3,2.62,2.41,3.7,4.87,67,9,82.4,34,34,6.0,1.91,0,0,0.0,79.4,27,2,3.6,34,50.7,1,12,,,,,78.4,68.7,76.8,67.8,,,0,0,36,0.0,119.4,0.0,0,0,0,0,2,2,5.6,270,7.9,75.0,24,25,9.7,3.34,1,1,3.3,72.0,18,12,0.0,33,49.3,0,14,,,,,78.7,68.1,77.0,68.5,,57.3,0,1,38,41.7,92.3,15.2,5,3,0,0,0,1,2.6,281,11.2
Matt Hasselbeck,408,QB,IND,1,2.37,2.28,3.83,,50,14,74.2,31,32,6.6,1.87,0,0,0.0,65.6,21,2,8.7,32,64.0,2,7,,,,,78.1,66.6,76.6,65.9,,,1,0,34,0.0,77.1,0.0,0,0,0,0,0,0,0.0,156,4.9,66.7,15,15,13.0,3.28,0,0,0.0,60.0,9,8,10.0,18,36.0,1,7,,,,,23.3,61.4,74.7,61.1,,,0,0,20,37.5,109.3,16.7,3,0,0,0,1,1,5.0,126,8.4
Johnny Manziel,8657,QB,CLV,2,3.04,2.72,3.48,4.8,50,8,60.0,20,20,6.0,1.84,0,1,5.0,50.0,10,7,16.7,20,40.0,2,5,,,,,75.1,48.1,74.7,48.9,,,0,1,20,0.0,67.1,0.0,0,0,0,0,1,2,10.0,132,6.6,70.6,17,19,16.6,3.84,0,2,10.0,57.9,11,21,8.3,30,60.0,1,9,,,,,12.3,42.7,76.5,39.4,,62.2,0,0,33,23.8,134.1,16.7,5,6,0,2,2,5,15.2,222,11.7
Jimmy Clausen,5573,QB,CHI,2,2.52,2.32,3.03,4.5,47,6,76.2,21,24,2.6,1.82,2,0,0.0,62.5,15,6,6.3,24,51.1,1,1,,,,,76.1,53.4,75.3,53.7,,,0,0,24,0.0,69.4,0.0,0,0,0,1,0,0,0.0,88,3.7,61.5,13,16,13.9,3.25,1,0,0.0,50.0,8,13,0.0,23,48.9,0,6,,,,,76.1,39.7,75.3,41.1,,55.5,0,1,24,30.8,42.7,17.4,4,3,0,2,0,1,4.2,96,6.0
Michael Vick,773,QB,PIT,2,3.04,2.36,4.25,5.45,44,25,72.2,18,18,3.3,1.89,0,0,0.0,72.2,13,6,0.0,19,43.2,0,4,,,,,74.5,34.9,74.5,36.7,,,0,0,19,16.7,77.3,5.3,1,0,0,0,0,2,10.5,65,3.6,92.3,13,14,11.1,3.9,0,0,0.0,78.6,11,10,8.3,25,56.8,1,7,,,,,76.3,61.5,75.5,63.7,,56.4,1,0,25,50.0,119.3,20.0,5,6,0,0,1,0,0.0,97,6.9
Luke McCown,1827,QB,NO,1,2.71,2.57,8.1,,39,20,95.2,21,21,4.3,1.95,0,2,9.1,90.5,19,0,5.0,21,53.8,1,11,,,,,75.6,87.3,75.0,85.0,,,0,0,22,,100.4,0.0,0,0,0,0,0,0,0.0,170,8.1,81.3,16,17,10.8,3.61,1,0,0.0,70.6,12,7,7.7,18,46.2,1,8,,,,,75.9,64.8,75.2,64.3,,,0,1,23,14.3,70.7,5.6,1,0,0,0,0,1,4.3,140,8.2
Matt McGloin,8374,QB,OAK,1,1.97,1.94,2.4,,33,23,88.5,26,26,4.1,1.77,0,0,0.0,76.9,20,9,13.0,27,81.8,3,8,,,,,25.5,48.9,75.9,49.6,,,0,0,28,11.1,109.9,3.7,1,0,0,0,2,1,3.6,113,4.3,75.0,4,5,11.0,2.85,0,0,0.0,60.0,3,4,0.0,6,18.2,0,2,,,,,68.9,39.8,70.6,41.3,,,0,1,6,25.0,36.7,16.7,1,0,0,1,0,1,16.7,29,5.8
Kellen Clemens,2994,QB,SD,1,2.32,2.32,,,6,27,100.0,3,3,10.3,1.97,0,0,0.0,100.0,3,1,0.0,3,50.0,0,2,,,,,65.5,63.0,68.2,62.7,,,0,0,3,0.0,153.5,0.0,0,0,0,0,1,0,0.0,34,11.3,66.7,3,3,17.7,2.67,0,0,0.0,66.7,2,0,0.0,3,50.0,0,2,,,,,65.5,63.2,68.2,62.9,,,0,0,3,,97.9,0.0,0,0,0,0,0,0,0.0,29,9.7
Sam Koch,3148,P,BLT,1,1.0,1.0,,,1,3,100.0,1,1,-5.0,1.0,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,,60.4,61.3,60.5,60.5,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,-3,-3.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Marshawn Lynch,3628,HB,SEA,1,7.1,,,7.1,1,29,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,7.1,0,0,,,0,0,,1,100.0,0,0,,,,,60.4,70.2,62.8,,,65.6,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,
Johnny Hekker,7252,P,SL,1,2.2,2.2,,,1,26,0.0,1,1,5.0,2.2,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,,60.4,46.4,65.7,50.6,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Antonio Brown,5718,WR,PIT,1,5.5,,5.5,,1,25,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,5.5,0,0,,,0,1,,1,100.0,0,0,,,,,60.4,55.6,64.9,60.0,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Jeremy Maclin,4942,WR,KC,1,6.0,,6.0,,1,16,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,6.0,0,0,,,0,1,,1,100.0,0,0,,,,,60.4,55.6,64.9,60.0,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
