player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Jason Pierre-Paul,5540,ED,NYG,5,3,0,21,0,-1.0,50.0,2.7,2.0,1.0,0,0,0.0,46.1,0,16,0.0,0,0,77.1,1,2,66.7,75,0,1,2,0,16,18,8.0,16.0,0,0,,,1.0,,,0,0,,71.0,0,,0.0,0,0,0.0,0,1,33.3,103,2,2,0,0,0,0,0.0,
Derrick Morgan,5541,ED,TEN,10,52,0,31,0,5.0,100.0,6.5,7.0,7.0,0,0,0.0,50.7,0,5,66.7,2,0,127.1,1,7,13.5,108,2,1,1,1,5,0,0.7,5.0,0,0,4.4,60.0,24.0,12.7,7.6,0,1,20.0,62.1,0,10,33.3,1,1,110.8,3,41,78.8,171,3,2,5,1,23,6,0.6,7.7
Sean Weatherspoon,5544,LB,ARZ,10,48,0,1,1,1.7,33.3,55.6,15.0,5.0,0,0,0.0,50.3,0,12,0.0,0,0,46.5,1,15,31.3,27,1,2,3,0,12,16,0.8,12.0,0,0,4.3,75.0,80.6,9.3,7.0,1,0,0.0,53.9,0,12,33.3,1,0,89.6,3,29,60.4,36,0,2,4,0,24,12,0.9,8.0
Kareem Jackson,5545,CB,HST,9,283,0,13,1,11.4,67.9,96.5,6.4,4.3,0,1,3.6,40.9,0,43,5.6,1,1,94.6,19,136,48.1,141,3,16,28,0,242,46,2.0,12.7,0,1,8.4,73.9,96.3,7.2,5.3,0,0,0.0,79.3,1,33,13.3,2,0,92.8,17,131,46.3,136,4,12,23,1,181,67,1.5,10.6
Dan Williams,5551,DI,OAK,13,2,0,23,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,95,0,0,0,0,0,0,,,0,0,,,1.5,,,0,0,,54.7,0,,,0,0,0.0,0,2,100.0,130,1,0,0,0,0,0,0.0,
Devin McCourty,5552,S,NE,13,550,0,19,3,5.7,60.9,98.1,17.3,10.5,1,4,17.4,60.9,0,18,15.8,3,4,105.3,14,260,47.3,265,3,13,23,2,130,64,0.5,9.3,0,1,16.3,77.8,100.0,31.7,24.7,1,0,0.0,77.9,1,26,0.0,0,0,67.8,7,233,42.4,233,5,12,9,0,88,16,0.4,12.6
Kyle Wilson,5554,CB,NO,12,273,0,20,0,10.1,61.5,95.8,12.3,7.5,0,1,7.7,58.3,0,31,0.0,0,1,131.4,8,113,41.4,118,1,5,13,3,120,56,1.2,15.0,0,0,4.4,75.0,97.3,11.8,8.9,0,0,0.0,73.1,1,45,11.1,1,0,91.9,12,146,53.5,150,2,8,16,1,125,63,0.9,10.4
Jerry Hughes,5556,ED,BUF,13,49,0,4,0,23.0,0.0,5.9,,15.0,0,1,100.0,79.2,0,,16.7,1,1,39.6,0,16,32.7,272,4,5,1,0,0,0,0.0,,0,0,11.3,25.0,10.4,23.0,5.8,0,1,25.0,64.2,0,9,25.0,1,0,39.6,1,24,49.0,230,3,3,4,0,9,3,0.4,9.0
Patrick Robinson,5557,CB,SD,13,359,0,27,0,9.3,60.0,97.7,12.4,7.5,1,0,0.0,54.8,0,17,15.4,2,0,76.5,9,126,35.1,129,1,11,15,0,88,36,0.8,9.8,0,3,7.4,53.8,97.7,14.4,7.8,1,5,19.2,74.6,1,13,0.0,0,4,60.7,14,211,58.8,216,4,11,26,1,106,93,0.5,7.6
Nate Allen,5562,S,OAK,5,132,0,23,2,7.4,87.5,97.1,8.9,7.8,0,0,0.0,39.3,0,37,14.3,1,0,158.3,7,66,50.0,68,0,4,8,2,115,72,1.9,16.4,0,1,5.5,100.0,98.4,29.5,29.5,0,0,0.0,61.2,1,14,0.0,0,0,70.8,2,60,45.5,61,0,0,2,0,21,10,0.4,10.5
