player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kyler Murray,38334,QB,ARZ,8,2.85,2.56,4.07,5.55,310,1,83.9,149,156,5.2,1.82,3,3,1.8,77.6,121,17,3.2,156,50.3,4,67,,,,88.7,76.0,82.5,74.5,,,,0,3,167,0.0,105.4,0.0,0,0,0,4,9,2,1.2,1032,6.6,71.8,103,117,13.9,3.92,2,9,7.0,59.0,69,59,6.8,153,49.4,5,55,,,,67.2,79.3,29.5,70.5,,90.6,,0,4,165,16.9,96.0,6.5,10,26,0,12,7,7,4.2,1098,9.4
Gardner Minshew,41401,QB,JAX,7,2.8,2.52,3.93,5.07,309,15,77.2,149,153,6.8,1.9,1,6,3.8,72.5,111,36,3.5,156,50.5,4,59,,,,88.4,77.5,82.4,75.9,,,,0,3,162,8.3,101.7,1.9,3,0,0,3,8,2,1.2,1097,7.2,73.5,98,113,10.9,3.71,1,6,5.0,57.5,65,69,9.7,153,49.5,7,43,,,,45.7,61.3,82.4,57.5,,71.8,,3,2,162,27.5,85.3,12.4,19,21,0,11,5,5,3.1,758,6.7
Nick Foles,7089,QB,CHI,7,2.38,2.31,3.27,4.83,303,6,77.6,174,186,5.5,1.89,6,6,3.1,71.5,133,43,1.5,189,62.4,2,54,,,,89.9,70.0,83.1,69.0,,,,2,3,197,7.0,91.5,1.6,3,0,0,4,8,3,1.5,993,5.3,66.7,87,98,14.0,3.2,0,10,9.6,55.1,54,63,6.9,114,37.6,4,32,,,,60.3,66.2,81.3,65.8,,58.0,,2,4,121,20.6,69.8,11.4,13,3,0,9,2,7,5.8,753,7.7
Ben Roethlisberger,1732,QB,PIT,8,2.19,2.13,3.41,5.03,303,25,83.3,203,210,4.9,1.75,7,5,2.2,72.9,153,19,9.5,210,69.3,16,73,,,,90.2,85.3,83.6,83.2,,,,0,2,224,0.0,107.3,0.0,0,0,0,0,13,2,0.9,1405,6.7,61.6,73,78,13.2,3.23,1,6,6.8,55.1,43,42,4.4,91,30.0,2,29,,,,54.7,56.2,2.3,56.1,,67.3,,1,2,102,23.8,87.0,11.0,10,3,0,3,5,4,3.9,529,6.8
Matthew Stafford,4924,QB,DET,8,2.55,2.45,3.03,4.43,303,11,78.5,149,152,5.1,1.89,2,0,0.0,73.0,111,31,5.1,157,51.8,6,57,,,,88.5,59.0,82.4,58.8,,,,1,4,163,16.1,96.1,3.2,5,0,0,0,7,3,1.8,1048,6.9,64.6,113,120,14.8,3.26,0,13,9.8,52.5,63,62,13.7,146,48.2,10,54,,,,66.6,75.7,82.3,71.5,,81.6,,3,3,160,25.8,92.3,11.0,16,10,0,4,7,7,4.4,1079,9.0
Jared Goff,10635,QB,LA,8,2.6,2.53,2.8,4.88,301,26,85.3,129,140,4.9,1.91,6,3,2.1,75.7,106,31,3.6,144,47.8,4,57,,,,42.7,70.5,82.0,69.4,,,,0,4,149,12.9,99.9,2.8,4,0,0,5,6,6,4.0,1087,7.8,69.0,126,143,10.0,3.24,3,7,4.6,55.9,80,52,8.0,157,52.2,7,50,,,,67.4,66.3,29.8,66.5,,60.1,,1,2,166,11.5,90.0,3.8,6,8,0,13,7,5,3.0,1058,7.4
Aaron Rodgers,2241,QB,GB,8,2.64,2.5,3.46,6.19,297,12,83.2,149,151,5.2,1.74,1,8,5.1,77.5,117,10,5.6,153,51.5,7,61,,,,88.2,92.1,82.3,91.1,,,,0,2,158,20.0,120.8,1.3,2,0,0,1,13,1,0.6,1124,7.4,72.9,107,128,14.7,3.59,1,16,11.3,56.3,72,62,7.7,144,48.5,6,58,,,,67.3,91.8,82.4,91.4,,59.5,,0,0,162,11.3,114.4,4.9,7,9,0,20,11,3,1.9,1129,8.8
Justin Herbert,28237,QB,LAC,7,2.69,2.52,3.55,4.67,296,27,85.7,133,140,4.3,1.84,2,5,3.4,76.4,107,24,6.1,143,48.3,7,58,,,,87.8,80.2,82.1,78.4,,,,1,1,150,12.5,101.6,2.1,3,0,0,4,4,0,0.0,984,7.0,67.8,115,126,12.8,3.48,2,14,10.3,58.7,74,81,5.1,153,51.7,4,53,,,,88.6,69.3,82.4,66.6,,71.1,,4,4,165,13.6,110.6,7.2,11,16,0,5,13,7,4.2,1162,9.2
Drew Brees,802,QB,NO,8,2.51,2.48,2.92,4.2,295,20,85.7,147,151,4.7,1.98,3,3,2.0,78.8,119,21,5.6,153,51.9,7,54,,,,88.0,74.6,82.2,73.3,,,,0,1,155,9.5,115.0,1.3,2,0,0,1,11,2,1.3,971,6.4,79.5,122,132,7.6,3.08,2,7,5.0,69.7,92,58,5.2,142,48.1,5,56,,,,42.4,74.4,82.1,73.8,,54.2,,1,2,151,13.8,105.3,5.6,8,2,0,7,6,7,4.6,1149,8.7
Derek Carr,8671,QB,LV,8,2.74,2.53,3.96,5.19,285,23,84.1,132,137,4.5,1.91,2,6,4.2,77.4,106,20,4.5,138,48.4,5,49,,,,87.5,73.5,81.9,72.3,,,,2,0,143,5.0,123.9,0.7,1,0,0,1,12,3,2.1,925,6.8,72.2,108,119,12.0,3.52,3,10,7.6,62.2,74,62,5.1,147,51.6,4,53,,,,27.9,66.3,82.3,65.2,,63.7,,2,2,161,21.0,95.8,8.8,13,15,0,6,4,8,5.0,1077,9.1
Philip Rivers,1725,QB,IND,8,2.42,2.37,4.13,4.0,280,14,83.0,159,166,4.5,1.92,3,6,3.4,75.3,125,26,5.3,167,59.6,7,63,,,,89.1,74.0,82.7,72.7,,,,1,1,177,3.8,107.5,0.6,1,0,0,3,8,2,1.1,1159,7.0,64.3,98,106,12.9,3.16,2,9,7.8,57.5,61,44,3.2,113,40.4,2,40,,,,86.4,67.4,10.4,67.6,,58.3,,2,6,124,13.6,69.2,5.3,6,1,0,4,2,9,7.3,928,8.8
Ryan Tannehill,7014,QB,TEN,8,2.55,2.46,2.7,4.65,276,31,83.0,141,148,6.5,1.97,4,3,1.9,75.0,111,25,5.1,150,54.3,6,62,,,,88.2,84.8,82.2,82.6,,,,3,0,157,8.0,124.9,1.3,2,0,0,0,13,5,3.2,1104,7.5,66.3,89,106,12.1,3.25,2,7,6.1,52.8,56,57,5.1,126,45.7,3,49,,,,38.9,71.1,81.6,66.5,,81.1,,5,3,134,15.8,87.7,7.1,9,11,0,10,6,8,6.0,877,8.3
Lamar Jackson,46416,QB,BLT,8,3.07,2.77,3.99,5.21,257,3,75.8,95,101,5.7,1.9,5,2,1.9,64.4,65,13,9.7,103,40.1,7,34,,,,85.4,58.1,80.8,58.0,,,,1,3,108,15.4,80.2,1.9,2,0,0,0,4,6,5.6,573,5.7,71.6,102,111,12.1,3.88,1,7,6.0,62.2,69,83,5.5,153,59.5,4,54,,,,27.9,83.2,82.3,81.4,,68.6,,1,1,160,22.9,109.4,12.4,19,23,0,7,8,7,4.4,940,8.5
Baker Mayfield,46518,QB,CLV,8,3.03,2.85,4.54,5.46,242,8,76.0,100,102,6.8,1.97,2,6,5.7,68.6,70,16,7.9,103,42.6,6,44,,,,85.4,69.6,80.8,68.6,,,,0,4,107,6.3,102.7,1.0,1,0,0,0,10,6,5.6,664,6.5,72.8,103,119,11.2,3.82,2,6,4.8,56.3,67,52,10.7,139,57.4,8,43,,,,65.4,62.3,24.1,61.7,,65.1,,0,3,148,19.2,82.3,7.2,10,10,0,14,5,7,4.7,850,7.1
Dak Prescott,10769,QB,DAL,5,2.61,2.52,3.0,4.54,239,9,78.8,113,116,5.5,1.93,3,5,4.2,72.4,84,12,5.6,117,49.0,5,45,,,,86.3,68.6,81.3,67.7,,,,0,1,121,8.3,99.0,0.9,1,0,0,0,4,4,3.3,798,6.9,77.1,96,105,11.5,3.25,0,7,6.5,63.8,67,55,9.5,122,51.0,7,52,,,,54.6,90.5,81.4,86.9,,78.6,,4,3,125,16.4,101.2,7.4,9,8,0,5,5,5,4.0,1058,10.1
Kirk Cousins,7102,QB,MIN,8,2.83,2.76,3.1,4.6,230,18,77.3,88,92,7.8,2.03,2,4,4.2,70.7,65,26,4.4,96,41.7,3,39,,,,84.9,75.6,80.5,74.1,,,,1,2,100,15.4,112.8,4.2,4,0,0,1,7,2,2.0,784,8.5,72.0,107,116,12.2,3.4,0,10,7.6,62.1,72,62,6.5,134,58.3,5,51,,,,87.7,81.2,82.1,78.7,,69.3,,4,8,150,19.4,86.5,9.0,12,6,0,5,8,6,4.0,1071,9.2
Ryan Fitzpatrick,2467,QB,MIA,6,2.44,2.23,4.19,3.91,223,17,79.7,133,140,6.8,1.94,4,6,4.1,70.7,99,27,6.6,141,63.2,7,56,,,,87.7,70.3,82.0,68.9,,62.6,,2,4,149,0.0,98.6,0.0,0,1,0,1,9,7,4.7,943,6.7,77.4,53,56,11.5,3.31,1,3,5.0,69.6,39,41,4.9,82,36.8,2,33,,,,84.0,76.9,80.0,68.6,,84.0,,1,3,87,24.4,87.8,12.2,10,16,0,1,1,4,4.6,592,10.6
Sam Darnold,29048,QB,NYJ,6,2.8,2.58,3.26,4.89,223,22,76.5,102,105,4.8,1.84,0,2,1.8,71.4,75,22,3.8,107,48.0,3,28,,,,85.7,55.3,80.9,55.4,,,,1,4,111,9.1,71.4,1.9,2,0,0,2,1,4,3.6,567,5.4,61.1,72,83,11.4,3.69,0,4,4.3,44.6,37,70,15.9,116,52.0,7,25,,,,61.3,58.9,81.5,52.6,,80.0,,6,2,129,24.3,61.2,14.7,17,16,0,5,2,4,3.1,478,5.8
Cam Newton,6153,QB,NE,7,2.83,2.64,3.37,5.48,213,19,80.0,90,96,3.2,1.86,3,0,0.0,70.8,68,19,5.6,98,46.0,4,31,,,,85.0,61.7,80.6,61.3,,,,2,2,101,10.5,81.2,2.0,2,0,0,1,2,2,2.0,503,5.2,78.6,84,94,11.8,3.66,3,7,6.9,66.0,62,45,6.1,115,54.0,4,46,,,,86.4,89.9,81.4,84.7,,81.5,,2,5,125,22.2,75.4,8.7,10,11,0,5,0,3,2.4,914,9.7
Drew Lock,39517,QB,DEN,6,2.91,2.74,3.68,5.29,209,10,83.5,85,89,7.9,2.02,1,7,7.6,71.9,64,18,9.9,91,43.5,7,32,,,,84.5,74.4,80.3,73.0,,,,3,3,94,11.1,94.2,2.2,2,0,0,0,4,2,2.1,668,7.5,55.2,87,101,13.5,3.59,1,4,3.8,43.6,44,59,8.3,118,56.5,4,30,,,,60.1,46.6,14.0,49.4,,49.7,,6,3,123,11.9,56.2,5.9,7,10,0,7,2,7,5.7,572,5.7
Dwayne Haskins,41897,QB,WAS,4,2.36,2.18,3.37,6.08,164,32,69.7,99,101,6.3,1.86,2,5,4.9,66.3,67,20,2.9,105,64.0,2,38,,,,56.1,54.1,80.8,54.3,,,,0,3,107,20.0,84.7,3.8,4,0,0,0,3,4,3.7,722,7.1,57.5,40,45,8.4,3.31,1,0,0.0,48.9,22,25,4.3,58,35.4,1,13,,,,81.7,40.2,78.8,42.8,,49.7,,2,0,63,36.0,70.3,15.5,9,4,0,2,1,2,3.2,217,4.8
Jimmy Garoppolo,8697,QB,SF,6,2.52,2.39,3.49,4.3,155,28,81.3,80,82,4.8,1.87,1,1,1.2,72.0,59,14,9.2,82,52.9,6,36,,,,83.7,76.2,79.9,74.8,,,,0,1,84,0.0,123.2,0.0,0,0,0,1,7,2,2.4,744,9.1,65.5,58,58,8.9,3.25,0,3,5.0,60.3,35,24,7.9,73,47.1,3,20,,,,82.9,53.4,79.5,52.9,,62.4,,0,4,75,45.8,48.9,15.1,11,4,0,0,0,2,2.7,352,6.1
Nick Mullens,12282,QB,SF,5,2.43,2.42,2.86,,143,28,84.1,69,74,5.5,1.9,2,2,2.7,75.7,56,16,3.4,75,52.4,2,32,,,,83.2,71.9,79.6,70.8,,,,2,0,77,6.3,116.2,1.3,1,0,0,1,3,1,1.3,667,9.0,65.5,55,59,8.7,3.05,1,2,3.2,59.3,35,37,2.8,67,46.9,1,21,,,,25.9,43.9,79.3,44.8,,,,1,4,71,21.6,68.2,11.9,8,0,0,2,2,5,7.0,476,8.1
Joe Flacco,4332,QB,NYJ,4,2.82,2.66,3.52,5.75,114,22,75.6,45,48,7.1,1.94,1,2,4.1,64.6,31,10,8.8,48,42.1,3,12,,,,80.3,60.6,77.9,60.4,,,,0,0,49,0.0,93.0,0.0,0,0,0,2,2,1,2.0,267,5.6,61.2,49,56,13.8,3.45,0,2,3.2,50.0,28,40,6.7,66,57.9,2,18,,,,45.0,46.1,79.4,46.0,,61.8,,0,2,74,15.0,69.9,9.1,6,4,0,7,2,5,6.8,392,7.0
Kyle Allen,26152,QB,WAS,4,2.81,2.64,3.91,4.53,98,32,90.2,41,43,2.5,1.83,2,1,2.2,81.4,35,3,5.4,43,43.9,2,15,,,,79.9,80.0,77.7,78.4,,,,0,0,46,0.0,109.2,0.0,0,0,0,0,2,0,0.0,279,6.5,72.2,36,44,10.8,3.58,0,2,4.2,56.8,25,28,3.8,55,56.1,1,18,,,,38.2,58.7,78.7,55.3,,73.2,,1,1,61,25.0,86.5,12.7,7,4,0,7,2,3,4.9,331,7.5
Andy Dalton,6187,QB,DAL,4,2.65,2.49,2.83,5.54,98,9,74.5,47,50,5.6,1.88,1,1,1.9,64.0,32,9,8.6,52,53.1,3,14,,,,81.1,57.4,78.4,57.3,,,,2,2,56,22.2,61.2,3.8,2,0,0,0,0,1,1.8,269,5.4,80.6,31,35,8.0,3.59,0,1,2.7,57.1,20,25,20.0,45,45.9,5,12,,,,29.6,55.4,77.7,60.5,,43.3,,1,1,47,20.0,69.1,11.1,5,5,0,3,1,3,6.4,183,5.2
Mitchell Trubisky,11757,QB,CHI,3,2.99,2.77,4.53,5.68,98,6,74.2,31,33,7.6,1.97,2,2,6.1,66.7,22,2,4.3,33,33.7,1,12,,,,77.9,72.1,76.5,71.0,,,,0,1,33,0.0,103.6,0.0,0,0,0,0,3,1,3.0,224,6.8,59.6,52,53,12.3,3.56,0,4,7.5,54.7,29,21,6.5,64,65.3,2,24,,,,31.2,69.9,78.9,62.1,,91.4,,1,2,64,33.3,77.2,10.9,7,4,0,0,3,5,7.8,336,6.3
Jeff Driskel,10841,QB,DEN,2,2.63,2.43,2.88,5.9,78,10,73.7,38,40,9.2,2.03,2,2,4.5,55.0,22,17,21.4,44,56.4,6,11,,,,80.1,55.1,77.8,55.3,,,,0,2,48,23.5,77.6,9.1,4,0,0,0,3,1,2.1,245,6.1,63.6,22,24,13.6,3.39,0,0,0.0,54.2,13,20,7.1,34,43.6,1,8,,,,78.6,51.7,76.9,49.5,,66.1,,0,0,37,35.0,79.7,20.6,7,3,0,2,0,2,5.4,187,7.8
Tua Tagovailoa,60326,QB,MIA,3,2.56,2.28,2.9,5.68,59,17,79.4,34,35,6.7,1.93,0,1,2.6,65.7,23,5,14.8,35,59.3,4,11,,,,78.7,68.2,77.0,67.4,,,,0,0,38,0.0,112.1,0.0,0,0,0,1,3,0,0.0,224,6.4,73.3,15,16,9.6,3.46,0,0,0.0,68.8,11,12,0.0,24,40.7,0,9,,,,24.9,45.2,0.0,45.6,,63.1,,0,0,26,33.3,92.2,16.7,4,4,0,1,0,2,7.7,126,7.9
Alex Smith,2218,QB,WAS,2,2.58,2.4,3.26,5.7,58,32,78.6,28,29,2.6,1.84,1,1,3.4,75.9,22,4,0.0,30,51.7,0,8,,,,26.0,62.0,76.1,61.7,,,,0,0,30,25.0,90.0,3.3,1,0,0,0,0,1,3.3,172,5.9,63.2,19,20,6.7,3.37,0,0,0.0,55.0,11,14,8.3,28,48.3,1,6,,,,77.2,45.6,76.0,47.0,,58.3,,0,3,29,50.0,64.6,25.0,7,1,0,1,1,2,6.9,190,9.5
Ben DiNucci,34311,QB,DAL,2,2.82,2.68,3.27,5.4,50,9,87.0,23,23,3.1,1.6,0,1,4.2,78.3,18,3,10.0,23,46.0,2,9,,,,76.1,57.7,75.3,57.7,,,,0,0,24,0.0,98.6,0.0,0,0,0,0,0,1,4.2,176,7.7,35.3,17,19,15.8,3.86,1,0,0.0,26.3,5,19,16.7,27,54.0,1,2,,,,14.0,19.7,75.8,20.2,,65.9,,0,0,27,36.8,39.6,25.9,7,1,0,1,0,5,18.5,43,2.3
Brett Rypien,46487,QB,DEN,2,2.51,2.5,2.9,,41,10,91.3,23,24,7.6,2.02,1,4,14.3,83.3,20,5,4.8,24,58.5,1,9,,,,77.2,79.8,76.0,78.1,,,,0,1,29,0.0,98.4,0.0,0,0,0,0,1,1,3.4,203,8.5,58.3,12,16,13.2,3.2,0,0,0.0,43.8,7,13,0.0,17,41.5,0,3,,,,74.8,18.9,0.0,21.2,,,,0,3,20,7.7,43.8,5.9,1,0,0,4,1,4,20.0,92,5.8
Jake Luton,17287,QB,JAX,1,2.67,2.56,3.25,5.4,41,15,88.2,17,18,4.2,1.76,1,0,0.0,72.2,13,4,13.3,18,43.9,2,5,,,,74.8,53.3,74.5,53.7,,,,0,0,19,0.0,84.7,0.0,0,0,0,0,0,0,0.0,97,5.4,73.7,19,20,13.7,3.38,1,4,19.0,65.0,13,10,7.1,23,56.1,1,9,,,,75.9,73.4,75.3,66.3,,70.8,,0,1,24,20.0,95.2,8.7,2,1,0,0,1,2,8.3,207,10.4
Garrett Gilbert,8848,QB,DAL,1,2.71,2.54,3.7,4.8,41,9,73.3,15,19,9.8,2.03,3,1,5.3,57.9,11,5,0.0,19,46.3,0,5,,,,74.8,67.7,74.5,67.0,,,,0,0,19,0.0,75.5,0.0,0,0,0,1,0,0,0.0,115,6.1,64.7,17,18,12.0,3.3,0,1,5.3,55.6,10,13,9.1,22,53.7,1,7,,,,75.9,65.3,75.2,58.4,,78.3,,1,1,23,15.4,73.4,9.1,2,2,0,0,1,2,8.7,128,7.1
C.J. Beathard,11859,QB,SF,2,2.46,2.48,2.3,,39,28,85.7,21,22,7.0,1.96,0,0,0.0,77.3,17,6,5.6,23,59.0,1,10,,,,77.0,70.1,75.9,69.1,,,,1,0,28,16.7,112.5,4.3,1,0,0,0,1,0,0.0,163,7.4,50.0,12,14,11.8,3.18,0,0,0.0,42.9,6,9,0.0,16,41.0,0,4,,,,22.6,31.5,74.3,33.5,,,,1,0,18,22.2,58.3,12.5,2,0,0,1,0,1,5.6,69,4.9
Tyrod Taylor,6332,QB,LAC,2,2.66,2.65,3.4,3.9,34,27,66.7,15,16,8.4,1.98,0,1,5.9,56.3,9,4,10.0,16,47.1,1,5,,,,74.2,63.3,74.1,62.9,,,,1,0,17,0.0,77.6,0.0,0,0,0,0,0,0,0.0,110,6.9,66.7,12,14,13.8,3.47,0,0,0.0,50.0,7,7,12.5,17,50.0,1,6,,,,75.1,61.6,74.7,62.9,,56.8,,0,0,20,14.3,72.9,5.9,1,2,0,2,0,0,0.0,98,7.0
Brian Hoyer,5277,QB,NE,1,2.51,2.27,4.65,4.1,27,19,81.3,16,16,5.6,1.99,0,0,0.0,75.0,12,4,7.7,16,59.3,1,6,,,,73.9,72.3,73.9,71.2,,,,0,1,16,0.0,60.7,0.0,0,0,0,0,0,1,6.3,85,5.3,42.9,7,8,13.7,3.27,0,1,12.5,37.5,3,3,0.0,11,40.7,0,3,,,,19.2,39.9,72.6,36.3,,63.9,,0,0,11,66.7,56.8,18.2,2,1,0,1,0,2,18.2,45,5.6
